"Id","Code","DataType","DefaultHelpText","DefaultValue","Description","DeveloperName","IsActive","IsRequired","Label","Name","SourceSystemIdentifier","ValueDescription","PicklistId","UnitOfMeasureId","Errors"
"0tjO50000001TWWIA2","Operating Voltage AD","Picklist","#N/A","12V","#N/A","Operating_Voltage","true","false","Operating Voltage","Operating Voltage","#N/A","#N/A","0v5O50000001BSuIAM","#N/A","#N/A"
"0tjO50000001TWXIA2","powerkW","Picklist","#N/A","#N/A","#N/A","powerkW","true","false","powerkW","powerkW","#N/A","#N/A","0v5O50000001BT1IAM","#N/A","#N/A"
"0tjO50000001TWYIA2","Quoted Low Voltage Generators","Number","#N/A","#N/A","#N/A","Quoted_Low_Voltage_Generators","true","false","Quoted Low Voltage Generators","Quoted Low Voltage Generators","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWZIA2","Quoted Medium Voltage Generators","Number","#N/A","#N/A","#N/A","Quoted_Medium_Voltage_Generators","true","false","Quoted Medium Voltage Generators","Quoted Medium Voltage Generators","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWaIAM","Reserve Capacity (kW)","Number","#N/A","#N/A","#N/A","reserveCapacityKW","true","false","Reserve Capacity (kW)","Reserve Capacity (kW)","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWbIAM","Running Power Output (kW)","Number","#N/A","#N/A","#N/A","gc_runningKw","true","false","Running Power Output (kW)","Running Power Output (kW)","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWcIAM","Seismic Certification","Picklist","#N/A","#N/A","#N/A","seismicCertification","true","false","Seismic Certification","Seismic Certification","#N/A","#N/A","0v5O50000001BT4IAM","#N/A","#N/A"
"0tjO50000001TWdIAM","Size_AD","Picklist","#N/A","36""","Bucket Size","Size","true","false","Size","Size","#N/A","#N/A","0v5O50000001BSsIAM","#N/A","#N/A"
"0tjO50000001TWeIAM","Special Application","Picklist","#N/A","None - Standard","#N/A","specialApplication","true","false","Special Application","Special Application","#N/A","#N/A","0v5O50000001BT5IAM","#N/A","#N/A"
"0tjO50000001TWfIAM","Standards and Compliance","Picklist","#N/A","#N/A","#N/A","standardsAndCompliance","true","false","Standards and Compliance","Standards and Compliance","#N/A","#N/A","0v5O50000001BT6IAM","#N/A","#N/A"
"0tjO50000001TWgIAM","Surge Load (kW)","Number","#N/A","#N/A","#N/A","surgeLoadKW","true","false","Surge Load (kW)","Surge Load (kW)","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWhIAM","Total Power Required (kW)","Number","#N/A","#N/A","#N/A","Total_Power_Required_kW","true","false","Total Power Required (kW)","Total Power Required (kW)","#N/A","#N/A","#N/A","#N/A","#N/A"
"0tjO50000001TWiIAM","Transmission_AD","Picklist","#N/A","One-Speed","#N/A","Transmission","true","false","Transmission","Transmission","#N/A","#N/A","0v5O50000001BT7IAM","#N/A","#N/A"
"0tjO50000001TWjIAM","Use Assets","Checkbox","#N/A","false","#N/A","UseAssets","true","false","Use Assets","Use Assets","#N/A","#N/A","#N/A","#N/A","#N/A"
