$$Name$SourceProduct.StockKeepingUnit$DestinationProduct.StockKeepingUnit$CurrencyIsoCode,CurrencyIsoCode,DestinationProduct.$$Name$StockKeepingUnit,Name,Priority,SourceProduct.$$Name$StockKeepingUnit
1:1 Decomposition - Additional QB DataGraph (500M);QB-DAT-GRPH;QB-DRO-DAT-GRPH;USD,USD,QB Platform - Additional QB DataGraph (500M);QB-DRO-DAT-GRPH,1:1 Decomposition - Additional QB DataGraph (500M),,Additional QB DataGraph (500M);QB-DAT-GRPH
1:1 Decomposition - API Access Requests (AEH);QB-API-REQT;QB-DRO-API-REQT;USD,USD,QB Platform - API Access Requests (AEH);QB-DRO-API-REQT,1:1 Decomposition - API Access Requests (AEH),,API Access Requests (AEH);QB-API-REQT
1:1 Decomposition - Additional Automation QB Credits;QB-AUT-CRED;QB-DRO-AUT-CRED;USD,USD,QB Platform - Additional Automation QB Credits;QB-DRO-AUT-CRED,1:1 Decomposition - Additional Automation QB Credits,,Additional Automation QB Credits;QB-AUT-CRED
1:1 Decomposition - Additional API Prod;QB-API-PROD;QB-DRO-API-PROD;USD,USD,QB Platform - Additional API Prod;QB-DRO-API-PROD,1:1 Decomposition - Additional API Prod,,Additional API Prod;QB-API-PROD
1:1 Decomposition - QuantumBit Subscription;TEST-SUB;QB-DRO-TEST-SUB;USD,USD,QB Platform - QuantumBit Subscription;QB-DRO-TEST-SUB,1:1 Decomposition - QuantumBit Subscription,,QuantumBit Subscription;TEST-SUB
1:1 Decomposition - AEH Object Store - Restricted Use;QB-AEH-OBJ;QB-DRO-AEH-OBJ;USD,USD,QB Platform - AEH Object Store - Restricted Use;QB-DRO-AEH-OBJ,1:1 Decomposition - AEH Object Store - Restricted Use,,AEH Object Store - Restricted Use;QB-AEH-OBJ
1:1 Decomposition - AEH Environment Runtime;QB-AEH-ENV;QB-DRO-AEH-ENV;USD,USD,QB Platform - AEH Environment Runtime;QB-DRO-AEH-ENV,1:1 Decomposition - AEH Environment Runtime,,AEH Environment Runtime;QB-AEH-ENV
1:1 Decomposition - Provisioning and Activation Service;QB-AEH-CPU;QB-DRO-PROV;USD,USD,QB Platform - Provisioning and Activation Service;QB-DRO-PROV,1:1 Decomposition - Provisioning and Activation Service,,Provisioning and Activation Service;QB-AEH-CPU
1:1 Decomposition - Additional Flows - QB Enterprise;QB-FLO-ENTR;QB-DRO-FLO-ENTR;USD,USD,QB Platform - Additional Flows - QB Enterprise;QB-DRO-FLO-ENTR,1:1 Decomposition - Additional Flows - QB Enterprise,,Additional Flows - QB Enterprise;QB-FLO-ENTR
1:1 Decomposition - Additional Messages - QB Enterprise;QB-MSG-ENTR;QB-DRO-MSG-ENTR;USD,USD,QB Platform - Additional Messages - QB Enterprise;QB-DRO-MSG-ENTR,1:1 Decomposition - Additional Messages - QB Enterprise,,Additional Messages - QB Enterprise;QB-MSG-ENTR
1:1 Decomposition - QuantumBit Rack Enclosure;QB-BDL-RAXS;QB-DRO-BDL-RAXS;USD,USD,QB Platform - QuantumBit Rack Enclosure;QB-DRO-BDL-RAXS,1:1 Decomposition - QuantumBit Rack Enclosure,,QuantumBit Rack Enclosure;QB-BDL-RAXS
1:1 Decomposition - QuantumBit Collaboration Suite;QB-CS;QB-DRO-CS;USD,USD,QB Platform - QuantumBit Collaboration Suite;QB-DRO-CS,1:1 Decomposition - QuantumBit Collaboration Suite,,QuantumBit Collaboration Suite;QB-CS
1:1 Decomposition - Additional API Pre-Prod;QB-API-PREP;QB-DRO-API-PREP;USD,USD,QB Platform - Additional API Pre-Prod;QB-DRO-API-PREP,1:1 Decomposition - Additional API Pre-Prod,,Additional API Pre-Prod;QB-API-PREP
1:1 Decomposition - QuantumBit Services Project;QB-BDL-SRVC;QB-DRO-BDL-SRVC;USD,USD,QB Platform - QuantumBit Services Project;QB-DRO-BDL-SRVC,1:1 Decomposition - QuantumBit Services Project,,QuantumBit Services Project;QB-BDL-SRVC
1:1 Decomposition - QuantumBit Complete Solution;QB-COMPLETE;QB-DRO-COMPLETE;USD,USD,QB Platform - QuantumBit Complete Solution;QB-DRO-COMPLETE,1:1 Decomposition - QuantumBit Complete Solution,,QuantumBit Complete Solution;QB-COMPLETE
1:1 Decomposition - QuantumBit Starter;QB-BDL-STND;QB-DRO-BDL-STND;USD,USD,QB Platform - QuantumBit Starter;QB-DRO-BDL-STND,1:1 Decomposition - QuantumBit Starter,,QuantumBit Starter;QB-BDL-STND
1:1 Decomposition - QuantumBit Enterprise;QB-BDL-ENTR;QB-DRO-BDL-ENTR;USD,USD,QB Platform - QuantumBit Enterprise;QB-DRO-BDL-ENTR,1:1 Decomposition - QuantumBit Enterprise,,QuantumBit Enterprise;QB-BDL-ENTR
1:1 Decomposition - QuantumBit Business Critical;QB-BDL-CRTL;QB-DRO-BDL-CRTL;USD,USD,QB Platform - QuantumBit Business Critical;QB-DRO-BDL-CRTL,1:1 Decomposition - QuantumBit Business Critical,,QuantumBit Business Critical;QB-BDL-CRTL
1:1 Decomposition - PowerSwerve R750 Rack Server;QB-BDL-R750;QB-DRO-BDL-R750;USD,USD,QB Platform - PowerSwerve R750 Rack Server;QB-DRO-BDL-R750,1:1 Decomposition - PowerSwerve R750 Rack Server,,PowerSwerve R750 Rack Server;QB-BDL-R750
