"Id","Abbreviation","Code","DisplayValue","IsDefault","Name","Sequence","Status","Value","Picklist.Name","PicklistId"
"WZ63ZA5ZZ2G3QVJRGS","#N/A","IBC Seismic Certification","IBC Seismic Certification","false","IBC Seismic Certification","10","Active","IBC Seismic Certification","seismicCertification","AIHBNLQSEODQ9OC3VO"
"1XIQ6283P7TBWCWGWP","#N/A","Install-OutsideUS","Install-OutsideUS","false","Install-OutsideUS","20","Active","Install-OutsideUS","applicationEmissionCertification","7AI9TSIXB6IFTGMQER"
"VIWP7EBLF8WCU5V1D9","#N/A","Install-US-Stat","Install-US-Stat","false","Install-US-Stat","10","Active","Install-US-Stat","applicationEmissionCertification","7AI9TSIXB6IFTGMQER"
"FU7WDTO2SAZU3YEZUX","#N/A","Language_Chinese(Mandarin)","Chinese (Mandarin)","false","Chinese (Mandarin)","1","Active","Chinese (Mandarin)","Languages","DPB1IP0VLT0T42RDCR"
"BG0XYXQICKKIFEQDDG","#N/A","Language_Danish","Danish","false","Danish","2","Active","Danish","Languages","DPB1IP0VLT0T42RDCR"
"EAM6FJQROUOFAGR75R","#N/A","Language_Dutch","Dutch","false","Dutch","3","Active","Dutch","Languages","DPB1IP0VLT0T42RDCR"
"OC6QDXQ6EDLKV313JI","#N/A","Language_English","English","true","English","4","Active","English","Languages","DPB1IP0VLT0T42RDCR"
"RYGHUCOF3VUCTCUGIU","#N/A","Language_Finnish","Finnish","false","Finnish","5","Active","Finnish","Languages","DPB1IP0VLT0T42RDCR"
"34KWUVQ6X71ETBRSGZ","#N/A","Language_French","French","false","French","6","Active","French","Languages","DPB1IP0VLT0T42RDCR"
"ISQWGIZFSMEBXX0GCQ","#N/A","Language_German","German","false","German","7","Active","German","Languages","DPB1IP0VLT0T42RDCR"
"YAUZWDYX82KM0I0VXM","#N/A","Language_Greek","Greek","false","Greek","8","Active","Greek","Languages","DPB1IP0VLT0T42RDCR"
"8O01MA8NVOY3DZRRAA","#N/A","Language_Italian","Italian","false","Italian","9","Active","Italian","Languages","DPB1IP0VLT0T42RDCR"
"AZEBQVE2LKJIZL0KVX","#N/A","Language_Norwegian","Norwegian","false","Norwegian","10","Active","Norwegian","Languages","DPB1IP0VLT0T42RDCR"
"CFRVNYIFDG7SSTBPRT","#N/A","Language_Portuguese","Portuguese","false","Portuguese","11","Active","Portuguese","Languages","DPB1IP0VLT0T42RDCR"
"YWV3FTU86BVE4SXS5O","#N/A","Language_Russian","Russian","false","Russian","12","Active","Russian","Languages","DPB1IP0VLT0T42RDCR"
"IOSG86JAKB853BAI04","#N/A","Language_Spanish","Spanish","false","Spanish","13","Active","Spanish","Languages","DPB1IP0VLT0T42RDCR"
"RYYVACISYIVWRPL9UD","#N/A","Liquid-Cooled","Liquid-Cooled","false","Liquid-Cooled","2","Active","Liquid-Cooled","Cooling Method","3KAPWE6I3EIGZP70Q3"
"SDEVEJZKPAN9LVVHII","#N/A","Listing-UL 2200","Listing-UL 2200","false","Listing-UL 2200","20","Active","Listing-UL 2200","standardsAndCompliance","AYXBWKQQWQXXD5OBFY"
"JCMYRUCNXLD9ORRAMI","#N/A","Methanol","Methanol","false","Methanol","2","Active","Methanol","Fuel Type","FN3NVBSTOLE8DNVWHG"
"6AAJTQHOOLZJUY6MNU","#N/A","Motor Starting","Motor Starting","false","Motor Starting","20","Active","Motor Starting","SpecialApplication","EMBGIOPZ51FM0XPK58"
"WBLVSSG4ATZXZK7IJ0","#N/A","NaturalGas","Natural Gas","false","Natural Gas","3","Active","Natural Gas","Fuel Type","FN3NVBSTOLE8DNVWHG"
"MYRD1V5GYWWWMN8IGK","#N/A","None - Standard","None - Standard","true","None - Standard","10","Active","None - Standard","SpecialApplication","EMBGIOPZ51FM0XPK58"
"EJWKN6EMWFTSAP8IRM","#N/A","One-Speed","One-Speed","true","One-Speed","10","Active","One-Speed","Transmission","74MXQ0FH1HZCDHHMSU"
"KDFENJBWWV66LENIDN","#N/A","OSHPD Seismic Certification","OSHPD Seismic Certification","false","OSHPD Seismic Certification","20","Active","OSHPD Seismic Certification","seismicCertification","AIHBNLQSEODQ9OC3VO"
"NZU35AYLWHVZWAABIO","#N/A","Prime Power (PRP)","Prime Power (PRP)","false","Prime Power (PRP)","20","Active","Prime Power (PRP)","DutyRating","NTS0XNJBJE0VVVNSBL"
"XQ9TCGTRAU0KZH0ROZ","#N/A","Two-Speed","Two-Speed","false","Two-Speed","20","Active","Two-Speed","Transmission","74MXQ0FH1HZCDHHMSU"
"ANRBW9C3AEKNPTUB26","#N/A","UL2200","UL2200","false","UL2200","2","Active","UL2200","gc_certificate","YW3JRIPURDV355LKDI"
