"Id","Code","Description","MaxBundleComponents","MinBundleComponents","Name","Sequence","ParentProduct.StockKeepingUnit","ParentProductId","ParentGroup.$$Code$ParentProduct.StockKeepingUnit","ParentGroupId"
"BSDXWT1NR3G18A4LPA","Output Terminals","#N/A","1","0","Output Terminals","31","FESBA-FRD","0GK9LOKCAS2IRELJQJ","Alternator","#N/A"
"ZYNYRHBITRTE4NARDV","Packing for Shipment","#N/A","1","1","Packing for Shipment","48","FESBA-FRD","0GK9LOKCAS2IRELJQJ","Services","#N/A"
"UBT1WVUD5VJHDEXDKC","PMG","#N/A","1","1","PMG","30","FESBA-FRD","0GK9LOKCAS2IRELJQJ","Alternator","#N/A"
"SPH8QYQGUFBEAREOBT","Primary Electrical Isolation Device Options","#N/A","99","0","Primary Electrical Isolation Device Options","39","FESBA-FRD","0GK9LOKCAS2IRELJQJ","Alternator","#N/A"
"79HLNORTRACDUE4WMS","Services","#N/A","#N/A","#N/A","Services","5","FESBA-FRD","0GK9LOKCAS2IRELJQJ","","#N/A"
"KBHVD0IJP1PYEMTVYQ","Starter Motor","#N/A","1","1","Starter Motor","19","FESBA-FRD","0GK9LOKCAS2IRELJQJ","Engine","#N/A"
"LBML0MKPFCJSJYAITO","Temperature Sensors","#N/A","2","0","Temperature Sensors","29","FESBA-FRD","0GK9LOKCAS2IRELJQJ","Alternator","#N/A"
"0HNE4EYJUMMV5A3NTD","Testing","#N/A","99","1","Testing","46","FESBA-FRD","0GK9LOKCAS2IRELJQJ","Services","#N/A"
"KZZKNH0VXHCRT7HAXW","Voltage Connection","#N/A","1","1","Voltage Connection","15","FESBA-FRD","0GK9LOKCAS2IRELJQJ","General","#N/A"
"NIGYNIGN6DDS6Z6Y68","Warranty","#N/A","1","1","Warranty","45","FESBA-FRD","0GK9LOKCAS2IRELJQJ","Services","#N/A"
"CTX11FUFNNJTFT3CKC","CTM PCG","#N/A","#N/A","#N/A","Cooling / Thermal Management","2","FUCEL","ABTWDPHWZVIMYPBZGK","","#N/A"
"9YJAHOX68OGOFKCTBJ","EC PCG","#N/A","#N/A","#N/A","Electrical / Control","3","FUCEL","ABTWDPHWZVIMYPBZGK","","#N/A"
"8XQGKU3RWTHVU1NOEW","FSS PCG","#N/A","#N/A","#N/A","Fuel Supply / Storage","1","FUCEL","ABTWDPHWZVIMYPBZGK","","#N/A"
"CPIEHH6EXBGTIIKDPL","SWGB PCG","#N/A","99","1","Switchgear Bay","1","PCSWG","I4TFP3DIEIZAANV7PO","","#N/A"
"CQI5VV3POTQUWUTBB4","Included Entitlements","#N/A","#N/A","#N/A","Included Entitlements","10","SC-GOLD","AT3WQ3F3NYRSJV1QB0","","#N/A"
"URJ6B5XWZOZ5B93D2X","Optional Entitlements","#N/A","#N/A","#N/A","Optional Entitlements","20","SC-GOLD","AT3WQ3F3NYRSJV1QB0","","#N/A"
"ID0000000000000006","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000007","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000008","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000009","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000010","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000011","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000012","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000013","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000014","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000015","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000016","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000017","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000018","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000019","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000020","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000021","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000022","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000023","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000024","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000025","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000026","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000027","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000028","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000029","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000030","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000031","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000032","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000033","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000034","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000035","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000036","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000037","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000038","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000039","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000040","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000041","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000042","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000043","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000044","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000045","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000046","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000047","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000048","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000049","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000050","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000051","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
