"Id","IsPrimaryCategory","ProductCategory.Code","Product.StockKeepingUnit","Catalog.Code","ProductId","ProductCategoryId"
"UPXXLKYRNMZB8ILETB","false","Generators","AMEL-FRD","GeneratorCatalog","XJTLU7LCH9XITBN4GR","O8C6GXNLY2OYPFJM7F"
"EX9J6CCJFHI8B3X3TT","false","Generators","CUGR-FRD","GeneratorCatalog","CBV0TCNWJHCAUFBBF3","O8C6GXNLY2OYPFJM7F"
"3BWOGXXUKCLQ08MKXU","false","Generators","FESBA-FRD","GeneratorCatalog","0GK9LOKCAS2IRELJQJ","O8C6GXNLY2OYPFJM7F"
"BSLTKZ8IDASVSUGP9F","false","Generators","GAMD-FRD","GeneratorCatalog","0XLRYOKRR7HSPD00SO","O8C6GXNLY2OYPFJM7F"
"C003O5SEAVLUBEBLP4","false","Industrial Motors & Controls","BG-KIT-MTR1","Badger Industrials","AB6BRWINDWJMQHBERP","UDBXIBXJKJA9OAAKAX"
"WLJSEO5KGLPFWUUGVY","false","Industrial Motors & Controls","BG-MTR-1201","Badger Industrials","MXRNCBFLGNGJMMCESA","UDBXIBXJKJA9OAAKAX"
"CWLN8GCWLVQRMLQVJB","false","Industrial Motors & Controls","BG-MTR-1202","Badger Industrials","OOWT7PVOU2QCKCFSQ0","UDBXIBXJKJA9OAAKAX"
"G62OIINENOWXTI8Z5O","false","Industrial Solvents","ACET-50-200L","Badger Chemicals","JOYDVTDYPV01AMTF9D","P4YL4Q3QANV9DU8YEZ"
"XZQTXCRBZ6GAWSUYX8","false","Industrial Solvents","ACET-50-20L","Badger Chemicals","WGKB2F3CS1W0XV0GIG","P4YL4Q3QANV9DU8YEZ"
"MVFLQBM6SUCSEWMKOZ","false","Industrial Solvents","TOL-100-1000L","Badger Chemicals","AGZSKXCHEBHGWIGPLY","P4YL4Q3QANV9DU8YEZ"
"3I5ZEOIYN1QXJAGPRG","false","Industrial Solvents","TOL-100-200L","Badger Chemicals","ROL7OSK1RX5W4ZITXK","P4YL4Q3QANV9DU8YEZ"
"OCOWRJG027AES0A9UX","false","Industrial Solvents","XYL-200-1000L","Badger Chemicals","XEJVEY8NYILFOIUGHN","P4YL4Q3QANV9DU8YEZ"
"53NEIYJSYT3SROW62Q","false","Industrial Solvents","XYL-200-200L","Badger Chemicals","1KRNIOGKCPJUS2DCVB","P4YL4Q3QANV9DU8YEZ"
"D726DZCXJBSTP1WEAC","false","Kits","BG-KIT-CPL95","Badger Industrials","4VGCBYAXOHQY3J8KOR","9BLZOZ5LCHXBDEEO43"
"QMOOTGHT2YHJPPP9BJ","false","Kits","BG-KIT-MTR1","Badger Industrials","AB6BRWINDWJMQHBERP","9BLZOZ5LCHXBDEEO43"
"VKXDIC4K5BH8YRILGN","false","Lubricants","RLM-SW-40","Badger Equipment Catalog","O2RKIGVHVTQGUQKKHX","M0Y3FJAY58V0XVG7VT"
"UCCWKOKTB7MSSQGVAM","false","Pneumatics & Hydraulics","BG-PNH-9001","Badger Industrials","XKY8GXGT0ZKIKJDPJW","VWORHP8WS37ZBICTBH"
"9HCUTLNMKT5PPYIT28","false","Pneumatics & Hydraulics","BG-PNH-9002","Badger Industrials","QCPBUISNZQWHOTR7TB","VWORHP8WS37ZBICTBH"
"3WQM3YFJXTQLXVROPU","false","Polymers & Resins","AR-300-1000KG","Badger Chemicals","UQZQZKMDHM5ASIKFIH","CX98VLZPNOZ1SYDB04"
"EUI0A0IEKD7JOCLRCZ","false","Polymers & Resins","AR-300-200KG-DR","Badger Chemicals","GGWMXVK0MPTC8HLLPJ","CX98VLZPNOZ1SYDB04"
"S4CNZH1ILND9FGIDEA","false","Polymers & Resins","EPX-500-200KG","Badger Chemicals","SZNEBSPQT2AU42GSOG","CX98VLZPNOZ1SYDB04"
"IMJQNW3CSIE0D0UZOG","false","Polymers & Resins","EPX-500-20KG","Badger Chemicals","MO1BMG8DS4HF8NPJ7R","CX98VLZPNOZ1SYDB04"
"JM7IOLKYVWBTNH3OA8","false","Polymers & Resins","PE-1000-25KG","Badger Chemicals","PTTVQSPGZ9ZZ8RMUGQ","CX98VLZPNOZ1SYDB04"
"J2R0HT2UVT2DW1VECK","false","Replacement Parts","414LP-KAA-TT1","Badger Equipment Catalog","DF3AEEQVPKIYIC6J71","BH0UKLBTE633NFUDFV"
"NQCLXITDWOEVGUVAN0","false","Replacement Parts","414LP-KAA-TT2","Badger Equipment Catalog","RBSNFIANPRLGDVNUES","BH0UKLBTE633NFUDFV"
"F1HKQHLBPA7FJ3HZMD","false","Replacement Parts","EP-43253","Badger Equipment Catalog","ZGVIZO8G6KPQMYKB5E","BH0UKLBTE633NFUDFV"
"ONAIXRITUIISXU8VWC","false","Replacement Parts","RHO-ENG-022","Badger Equipment Catalog","1J1IUDSSS4VPOMAZBN","BH0UKLBTE633NFUDFV"
"Y9RZWACCBKT4TFKXQH","false","Service Contracts","SC-GOLD","Badger Equipment Catalog","AT3WQ3F3NYRSJV1QB0","KMRDL7BHWO8WAEJPJH"
"FLYWBYOXDZPMDK1NH4","false","Skid Steers","414LP-KAA-E-SSL","Badger Equipment Catalog","6FHYB4CMZ0LPLC4WUN","QI9DNDNUJ3EGUAEOUJ"
"8KTWNR4E054BZMXKO7","false","Specialty Chemicals","CI-3000-200L","Badger Chemicals","GUNV5WQZ9TMVJ5KHDY","DJCNDFUCX0YVXE33B3"
"XSNM0K5FW1ERZSBBNU","false","Specialty Chemicals","CI-3000-20L","Badger Chemicals","3IQZBBLTTUKEUXATTH","DJCNDFUCX0YVXE33B3"
"ZDHH8A5L8O7P3KL43A","false","Specialty Chemicals","DF-4000-200L","Badger Chemicals","CMD1CYIXQM5HUQBJP3","DJCNDFUCX0YVXE33B3"
"VL7LPGBSXLCVKLQRGY","false","Specialty Chemicals","DF-4000-20L","Badger Chemicals","VMB756D1GKM0QUWKQT","DJCNDFUCX0YVXE33B3"
"MDASYXO477OWZLASFY","false","Specialty Chemicals","UV-2000-25KG","Badger Chemicals","19KTWMBVZK87K75SD6","DJCNDFUCX0YVXE33B3"
"ORNCXUGOL7EYFNPUIV","false","Switchgears","PCSWG","GeneratorCatalog","I4TFP3DIEIZAANV7PO","DEXNJSGAHX77UB6DKL"
"TIDURKGNQIWYHSERZM","false","Tiers","SC-GOLD","Service Contracts","AT3WQ3F3NYRSJV1QB0","JMUN6HHPECDOE3DKJO"
"THVADI2O85V8CLMXCL","false","Warranty","EW","Service Contracts","RYEMXBGQIOVBVTMRUJ","VAKND0WGZYGCWYC463"
