"Id","AttributeNameOverride","DefaultValue","Description","DisplayType","HelpText","IsHidden","IsPriceImpacting","IsReadOnly","IsRequired","MaximumCharacterCount","MaximumValue","MinimumCharacterCount","MinimumValue","Name","Sequence","Status","StepValue","ValueDescription","AttributeCategory.Code","AttributeDefinition.Code","ProductClassification.Code","UnitOfMeasure.UnitCode","AttributeDefinitionId","AttributeCategoryId","ProductClassificationId"
"I5WDWR5PGMNWBCJHAC","FB_Full Load Required (kW)","500","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Full Load Required (kW)","#N/A","Active","#N/A","#N/A","Application","FB_Full Load Required (kW)","Generator Set PC","#N/A","QXMT8JX2IKHVPEOYRU","XPSUXWDNALVUKIU4T1","MFE6YEVBAKUX5MKLX0"
"9HR8AMBEV35AKYTYT7","FB_max dB level","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","max dB level","#N/A","Active","#N/A","#N/A","Application","FB_max dB level","Generator Set PC","#N/A","HGJY31H67NXEOWCG63","XPSUXWDNALVUKIU4T1","MFE6YEVBAKUX5MKLX0"
"LX0XFOU1JRND3EQLWY","FB_Voltage","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Voltage","#N/A","Active","#N/A","#N/A","Application","FB_Voltage","Generator Set PC","#N/A","C1HFY7OQTT4LCXZOLA","XPSUXWDNALVUKIU4T1","MFE6YEVBAKUX5MKLX0"
"OSPRSTJR943UJENH2G","Reserve Capacity (kW)","125","#N/A","#N/A","#N/A","false","false","true","false","#N/A","#N/A","#N/A","#N/A","Reserve Capacity (kW)","#N/A","Active","#N/A","#N/A","Application","Reserve Capacity (kW)","Generator Set PC","#N/A","1UG0OXOVDRTD0WWRVJ","XPSUXWDNALVUKIU4T1","MFE6YEVBAKUX5MKLX0"
"N5KKWP4JIQF6F9OXE4","Seismic Certification","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Seismic Certification","#N/A","Active","#N/A","#N/A","Environment","Seismic Certification","Generator Set PC","#N/A","HKUICSQCN0FBNLJFUR","PQVFZ2ZVL7GNOTQGF2","MFE6YEVBAKUX5MKLX0"
"HKZ49LI0ULCG1RZIEA","Special Application","None - Standard","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Special Application","#N/A","Active","#N/A","#N/A","Environment","Special Application","Generator Set PC","#N/A","Y5AJPGTZ0CYBW67JWY","PQVFZ2ZVL7GNOTQGF2","MFE6YEVBAKUX5MKLX0"
"J9WMJMECYDAIQSXBLU","Standards and Compliance","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Standards and Compliance","#N/A","Active","#N/A","#N/A","Environment","Standards and Compliance","Generator Set PC","#N/A","AWKKXDGMNRWCSKE1MY","PQVFZ2ZVL7GNOTQGF2","MFE6YEVBAKUX5MKLX0"
"0MESVKOWBGF12T9ABD","Surge Load (kW)","625","#N/A","#N/A","#N/A","false","false","true","false","#N/A","#N/A","#N/A","#N/A","Surge Load (kW)","#N/A","Active","#N/A","#N/A","Application","Surge Load (kW)","Generator Set PC","#N/A","DS3U3PQVMWHPZ9KZFA","XPSUXWDNALVUKIU4T1","MFE6YEVBAKUX5MKLX0"
"TVOG6BJXTEGC3FUEAX","FB_Voltage","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","FB_Voltage","#N/A","Active","#N/A","#N/A","Application","FB_Voltage","MainAlternator","#N/A","C1HFY7OQTT4LCXZOLA","XPSUXWDNALVUKIU4T1","Y9RKGGISSSBZ4P5NMM"
"YK900JUE9UDBNOSGDQ","powerkW","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","powerkW","#N/A","Active","#N/A","#N/A","#N/A","powerkW","Model PC","#N/A","BHRZIR9GJJHDIPQMOB","#N/A","RFXZMWJGNJRUMICKHO"
"MHWEAMWXDBV4AWNX1N","Cabin_Enclosure","false","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Cabin_Enclosure","#N/A","Active","#N/A","#N/A","Cabin_AC","Cabin_Enclosure_AD","Skid Steer PC","#N/A","IWVXHYW5OVMHE2WKUS","PJ4M4UTS5J5OUOYHG1","ZGYXWORM71JMHODLOV"
"UTSLQVKQ1S28SJQLWV","Engine","50 Hp","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Engine","#N/A","Active","#N/A","#N/A","Power Train_AC","Engine_AD","Skid Steer PC","#N/A","KCAA62K8XUGXRWNSSI","L6I1MPQXS6LMBHWENG","ZGYXWORM71JMHODLOV"
"JZMT0MOTX1C9POFPZC","Transmission","One-Speed","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Transmission","#N/A","Active","#N/A","#N/A","Power Train_AC","Transmission_AD","Skid Steer PC","#N/A","ADAZDWF1ODYY9WQXWB","L6I1MPQXS6LMBHWENG","ZGYXWORM71JMHODLOV"
"YZTQHG2R415SKJC6Q9","Assetized Low Voltage Generators","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Assetized Low Voltage Generators","#N/A","Active","#N/A","#N/A","Switchgear AC","Assetized Low Voltage Generators","SWG","#N/A","CK8N1Z0AL1J8S5URLN","XWMAG55WQ7TGJMB7QH","GJBKB4CJGL9YEJMZGZ"
"ZVVNETYZKU8A87SHJI","Assetized Medium Voltage Generators","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Assetized Medium Voltage Generators","#N/A","Active","#N/A","#N/A","Switchgear AC","Assetized Medium Voltage Generators","SWG","#N/A","MTNG4C0GFIHQLU5SQC","XWMAG55WQ7TGJMB7QH","GJBKB4CJGL9YEJMZGZ"
"9NE5PUJYTQBNUKRZFF","Quoted Low Voltage Generators","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Quoted Low Voltage Generators","#N/A","Active","#N/A","#N/A","Switchgear AC","Quoted Low Voltage Generators","SWG","#N/A","MVETF0H3JDCQFCRSFT","XWMAG55WQ7TGJMB7QH","GJBKB4CJGL9YEJMZGZ"
"TADHGJ6QYOEAIJDIEI","Quoted Medium Voltage Generators","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Quoted Medium Voltage Generators","#N/A","Active","#N/A","#N/A","Switchgear AC","Quoted Medium Voltage Generators","SWG","#N/A","NT8YGKMS3YSIF6CNZS","XWMAG55WQ7TGJMB7QH","GJBKB4CJGL9YEJMZGZ"
"FMLQYKLMFOAWJIBSYP","Total Power Required (kW)","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Total Power Required (kW)","#N/A","Active","#N/A","#N/A","Switchgear AC","Total Power Required (kW)","SWG","#N/A","8UBWMAIOQMHYJJ8WMW","XWMAG55WQ7TGJMB7QH","GJBKB4CJGL9YEJMZGZ"
"QOKBLK491QNVODVKUF","Use Assets","false","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Use Assets","#N/A","Active","#N/A","#N/A","Switchgear AC","Use Assets","SWG","#N/A","S2ER4KRSRITKOYHMNM","XWMAG55WQ7TGJMB7QH","GJBKB4CJGL9YEJMZGZ"
"4OZHS6WYYMYS2KLAWA","Bay Number","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Bay Number","#N/A","Active","#N/A","#N/A","Bay AC","Bay Number","Switchgear Bay","#N/A","SAYSVTZP43HXSOKPWH","V5B0V9IEI2NLVHTFFP","W0FWSYGFKFZ3FNPYDI"
"DWIXWRKXYP3EZ9PVAK","Total Power Required (kW)","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Total Power Required (kW)","#N/A","Active","#N/A","#N/A","Switchgear AC","Total Power Required (kW)","Switchgear Bay","#N/A","8UBWMAIOQMHYJJ8WMW","XWMAG55WQ7TGJMB7QH","W0FWSYGFKFZ3FNPYDI"
"G4GNVTWY2YR5IYJJNI","FB_Voltage","#N/A","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Voltage","#N/A","Active","#N/A","#N/A","Application","FB_Voltage","Voltage PC","#N/A","C1HFY7OQTT4LCXZOLA","XPSUXWDNALVUKIU4T1","EAD4PBLADZ5PQVPTY7"
