$$Code$ParentProduct.StockKeepingUnit,Code,Description,MaxBundleComponents,MinBundleComponents,Name,ParentGroup.$$Code$ParentProduct.StockKeepingUnit,ParentProduct.StockKeepingUnit,Sequence
Processor;QB-QRack-750,Processor,,2,1,Processor,Computing;QB-QRack-750,QB-QRack-750,1
Solid State Drives;QB-QRack-750,Solid State Drives,,4,0,Solid State Drives,Storage;QB-QRack-750,QB-QRack-750,2
Storage;QB-QRack-750,Storage,,,,Storage,,QB-QRack-750,3
PCG-QB-SRV-CPU-GEN0181;QB-BDL-R750-GEN0181,PCG-QB-SRV-CPU-GEN0181,,1,1,Processor,,QB-BDL-R750-GEN0181,1
PCG-QB-SRV-HDD-GEN0181;QB-BDL-R750-GEN0181,PCG-QB-SRV-HDD-GEN0181,,1,1,Hard Drive,,QB-BDL-R750-GEN0181,3
PCG-QB-SRV-NIC-GEN0181;QB-BDL-R750-GEN0181,PCG-QB-SRV-NIC-GEN0181,,1,1,Network Adapter,,QB-BDL-R750-GEN0181,4
PCG-QB-SRV-RAM-GEN0181;QB-BDL-R750-GEN0181,PCG-QB-SRV-RAM-GEN0181,,1,1,Memory Capacity,,QB-BDL-R750-GEN0181,2
PCG-QB-PS-ENGRESOURCES-GEN0183;QB-BDL-SRVC-GEN0183,PCG-QB-PS-ENGRESOURCES-GEN0183,,,,Engineering Resources,,QB-BDL-SRVC-GEN0183,1
PCG-QB-PS-PM-GEN0183;QB-BDL-SRVC-GEN0183,PCG-QB-PS-PM-GEN0183,,,,Project Management,,QB-BDL-SRVC-GEN0183,2
PCG-QB-PS-SA-GEN0183;QB-BDL-SRVC-GEN0183,PCG-QB-PS-SA-GEN0183,,,,Solution Architecture,,QB-BDL-SRVC-GEN0183,3
PCG-QBSTARTER-MAINT-GEN0184;QB-BDL-STND-GEN0184,PCG-QBSTARTER-MAINT-GEN0184,,1,1,Maintenance,,QB-BDL-STND-GEN0184,20
PCG-QBSTARTER-TRAINING-GEN0184;QB-BDL-STND-GEN0184,PCG-QBSTARTER-TRAINING-GEN0184,,1,1,Training,,QB-BDL-STND-GEN0184,10
PCG-QB-MAINT-GEN0210;QB-COMPLETE-GEN0210,PCG-QB-MAINT-GEN0210,,,,Maintenance & Support,,QB-COMPLETE-GEN0210,40
PCG-QB-SERVICES-GEN0210;QB-COMPLETE-GEN0210,PCG-QB-SERVICES-GEN0210,,,,Services,,QB-COMPLETE-GEN0210,30
PCG-QB-SOFTWARE-GEN0210;QB-COMPLETE-GEN0210,PCG-QB-SOFTWARE-GEN0210,,,,Software,,QB-COMPLETE-GEN0210,10
PCG-QB-TRAINING-GEN0210;QB-COMPLETE-GEN0210,PCG-QB-TRAINING-GEN0210,,,,Training,,QB-COMPLETE-GEN0210,20
QB-PCG-USAGE-GEN0210;QB-COMPLETE-GEN0210,QB-PCG-USAGE-GEN0210,,,,Consumption,,QB-COMPLETE-GEN0210,15
Computing-GEN0289;QB-QRack-750-GEN0289,Computing-GEN0289,,,,Computing,,QB-QRack-750-GEN0289,1
Cooling-GEN0289;QB-QRack-750-GEN0289,Cooling-GEN0289,,2,1,Cooling,Computing-GEN0289;QB-QRack-750-GEN0289,QB-QRack-750-GEN0289,2
GPUs-GEN0289;QB-QRack-750-GEN0289,GPUs-GEN0289,,,,GPUs,PCIe-GEN0289;QB-QRack-750-GEN0289,QB-QRack-750-GEN0289,1
Hard Drives-GEN0289;QB-QRack-750-GEN0289,Hard Drives-GEN0289,,,,Hard Drives,Storage-GEN0289;QB-QRack-750-GEN0289,QB-QRack-750-GEN0289,1
I/O-GEN0289;QB-QRack-750-GEN0289,I/O-GEN0289,,,,I/O,PCIe-GEN0289;QB-QRack-750-GEN0289,QB-QRack-750-GEN0289,2
Memory-GEN0289;QB-QRack-750-GEN0289,Memory-GEN0289,,,,Memory,,QB-QRack-750-GEN0289,2
Networking-GEN0289;QB-QRack-750-GEN0289,Networking-GEN0289,,,,Networking,PCIe-GEN0289;QB-QRack-750-GEN0289,QB-QRack-750-GEN0289,3
PCIe-GEN0289;QB-QRack-750-GEN0289,PCIe-GEN0289,,,,PCIe,,QB-QRack-750-GEN0289,4
Power Supply-GEN0289;QB-QRack-750-GEN0289,Power Supply-GEN0289,,,,Power Supply,,QB-QRack-750-GEN0289,5
Processor-GEN0289;QB-QRack-750-GEN0289,Processor-GEN0289,,2,1,Processor,Computing-GEN0289;QB-QRack-750-GEN0289,QB-QRack-750-GEN0289,1
Solid State Drives-GEN0289;QB-QRack-750-GEN0289,Solid State Drives-GEN0289,,4,0,Solid State Drives,Storage-GEN0289;QB-QRack-750-GEN0289,QB-QRack-750-GEN0289,2
Storage-GEN0289;QB-QRack-750-GEN0289,Storage-GEN0289,,,,Storage,,QB-QRack-750-GEN0289,3
PCG-QB-SRV-CPU-GEN0345;QB-BDL-R750-GEN0345,PCG-QB-SRV-CPU-GEN0345,,1,1,Processor,,QB-BDL-R750-GEN0345,1
PCG-QB-SRV-HDD-GEN0345;QB-BDL-R750-GEN0345,PCG-QB-SRV-HDD-GEN0345,,1,1,Hard Drive,,QB-BDL-R750-GEN0345,3
PCG-QB-SRV-NIC-GEN0345;QB-BDL-R750-GEN0345,PCG-QB-SRV-NIC-GEN0345,,1,1,Network Adapter,,QB-BDL-R750-GEN0345,4
PCG-QB-SRV-RAM-GEN0345;QB-BDL-R750-GEN0345,PCG-QB-SRV-RAM-GEN0345,,1,1,Memory Capacity,,QB-BDL-R750-GEN0345,2
PCG-QB-PS-ENGRESOURCES-GEN0347;QB-BDL-SRVC-GEN0347,PCG-QB-PS-ENGRESOURCES-GEN0347,,,,Engineering Resources,,QB-BDL-SRVC-GEN0347,1
PCG-QB-PS-PM-GEN0347;QB-BDL-SRVC-GEN0347,PCG-QB-PS-PM-GEN0347,,,,Project Management,,QB-BDL-SRVC-GEN0347,2
PCG-QB-PS-SA-GEN0347;QB-BDL-SRVC-GEN0347,PCG-QB-PS-SA-GEN0347,,,,Solution Architecture,,QB-BDL-SRVC-GEN0347,3
PCG-QBSTARTER-MAINT-GEN0348;QB-BDL-STND-GEN0348,PCG-QBSTARTER-MAINT-GEN0348,,1,1,Maintenance,,QB-BDL-STND-GEN0348,20
PCG-QBSTARTER-TRAINING-GEN0348;QB-BDL-STND-GEN0348,PCG-QBSTARTER-TRAINING-GEN0348,,1,1,Training,,QB-BDL-STND-GEN0348,10
PCG-QB-MAINT-GEN0374;QB-COMPLETE-GEN0374,PCG-QB-MAINT-GEN0374,,,,Maintenance & Support,,QB-COMPLETE-GEN0374,40
PCG-QB-SERVICES-GEN0374;QB-COMPLETE-GEN0374,PCG-QB-SERVICES-GEN0374,,,,Services,,QB-COMPLETE-GEN0374,30
PCG-QB-SOFTWARE-GEN0374;QB-COMPLETE-GEN0374,PCG-QB-SOFTWARE-GEN0374,,,,Software,,QB-COMPLETE-GEN0374,10
PCG-QB-TRAINING-GEN0374;QB-COMPLETE-GEN0374,PCG-QB-TRAINING-GEN0374,,,,Training,,QB-COMPLETE-GEN0374,20
QB-PCG-USAGE-GEN0374;QB-COMPLETE-GEN0374,QB-PCG-USAGE-GEN0374,,,,Consumption,,QB-COMPLETE-GEN0374,15
Computing-GEN0453;QB-QRack-750-GEN0453,Computing-GEN0453,,,,Computing,,QB-QRack-750-GEN0453,1
Cooling-GEN0453;QB-QRack-750-GEN0453,Cooling-GEN0453,,2,1,Cooling,Computing-GEN0453;QB-QRack-750-GEN0453,QB-QRack-750-GEN0453,2
GPUs-GEN0453;QB-QRack-750-GEN0453,GPUs-GEN0453,,,,GPUs,PCIe-GEN0453;QB-QRack-750-GEN0453,QB-QRack-750-GEN0453,1
Hard Drives-GEN0453;QB-QRack-750-GEN0453,Hard Drives-GEN0453,,,,Hard Drives,Storage-GEN0453;QB-QRack-750-GEN0453,QB-QRack-750-GEN0453,1
I/O-GEN0453;QB-QRack-750-GEN0453,I/O-GEN0453,,,,I/O,PCIe-GEN0453;QB-QRack-750-GEN0453,QB-QRack-750-GEN0453,2
Memory-GEN0453;QB-QRack-750-GEN0453,Memory-GEN0453,,,,Memory,,QB-QRack-750-GEN0453,2
Networking-GEN0453;QB-QRack-750-GEN0453,Networking-GEN0453,,,,Networking,PCIe-GEN0453;QB-QRack-750-GEN0453,QB-QRack-750-GEN0453,3
PCIe-GEN0453;QB-QRack-750-GEN0453,PCIe-GEN0453,,,,PCIe,,QB-QRack-750-GEN0453,4
Power Supply-GEN0453;QB-QRack-750-GEN0453,Power Supply-GEN0453,,,,Power Supply,,QB-QRack-750-GEN0453,5
Processor-GEN0453;QB-QRack-750-GEN0453,Processor-GEN0453,,2,1,Processor,Computing-GEN0453;QB-QRack-750-GEN0453,QB-QRack-750-GEN0453,1
Solid State Drives-GEN0453;QB-QRack-750-GEN0453,Solid State Drives-GEN0453,,4,0,Solid State Drives,Storage-GEN0453;QB-QRack-750-GEN0453,QB-QRack-750-GEN0453,2
Storage-GEN0453;QB-QRack-750-GEN0453,Storage-GEN0453,,,,Storage,,QB-QRack-750-GEN0453,3
PCG-QB-SRV-CPU-GEN0509;QB-BDL-R750-GEN0509,PCG-QB-SRV-CPU-GEN0509,,1,1,Processor,,QB-BDL-R750-GEN0509,1
PCG-QB-SRV-HDD-GEN0509;QB-BDL-R750-GEN0509,PCG-QB-SRV-HDD-GEN0509,,1,1,Hard Drive,,QB-BDL-R750-GEN0509,3
PCG-QB-SRV-NIC-GEN0509;QB-BDL-R750-GEN0509,PCG-QB-SRV-NIC-GEN0509,,1,1,Network Adapter,,QB-BDL-R750-GEN0509,4
PCG-QB-SRV-RAM-GEN0509;QB-BDL-R750-GEN0509,PCG-QB-SRV-RAM-GEN0509,,1,1,Memory Capacity,,QB-BDL-R750-GEN0509,2
PCG-QB-PS-ENGRESOURCES-GEN0511;QB-BDL-SRVC-GEN0511,PCG-QB-PS-ENGRESOURCES-GEN0511,,,,Engineering Resources,,QB-BDL-SRVC-GEN0511,1
PCG-QB-PS-PM-GEN0511;QB-BDL-SRVC-GEN0511,PCG-QB-PS-PM-GEN0511,,,,Project Management,,QB-BDL-SRVC-GEN0511,2
PCG-QB-PS-SA-GEN0511;QB-BDL-SRVC-GEN0511,PCG-QB-PS-SA-GEN0511,,,,Solution Architecture,,QB-BDL-SRVC-GEN0511,3
PCG-QBSTARTER-MAINT-GEN0512;QB-BDL-STND-GEN0512,PCG-QBSTARTER-MAINT-GEN0512,,1,1,Maintenance,,QB-BDL-STND-GEN0512,20
PCG-QBSTARTER-TRAINING-GEN0512;QB-BDL-STND-GEN0512,PCG-QBSTARTER-TRAINING-GEN0512,,1,1,Training,,QB-BDL-STND-GEN0512,10
PCG-QB-MAINT-GEN0538;QB-COMPLETE-GEN0538,PCG-QB-MAINT-GEN0538,,,,Maintenance & Support,,QB-COMPLETE-GEN0538,40
PCG-QB-SERVICES-GEN0538;QB-COMPLETE-GEN0538,PCG-QB-SERVICES-GEN0538,,,,Services,,QB-COMPLETE-GEN0538,30
PCG-QB-SOFTWARE-GEN0538;QB-COMPLETE-GEN0538,PCG-QB-SOFTWARE-GEN0538,,,,Software,,QB-COMPLETE-GEN0538,10
PCG-QB-TRAINING-GEN0538;QB-COMPLETE-GEN0538,PCG-QB-TRAINING-GEN0538,,,,Training,,QB-COMPLETE-GEN0538,20
QB-PCG-USAGE-GEN0538;QB-COMPLETE-GEN0538,QB-PCG-USAGE-GEN0538,,,,Consumption,,QB-COMPLETE-GEN0538,15
Computing-GEN0617;QB-QRack-750-GEN0617,Computing-GEN0617,,,,Computing,,QB-QRack-750-GEN0617,1
Cooling-GEN0617;QB-QRack-750-GEN0617,Cooling-GEN0617,,2,1,Cooling,Computing-GEN0617;QB-QRack-750-GEN0617,QB-QRack-750-GEN0617,2
GPUs-GEN0617;QB-QRack-750-GEN0617,GPUs-GEN0617,,,,GPUs,PCIe-GEN0617;QB-QRack-750-GEN0617,QB-QRack-750-GEN0617,1
Hard Drives-GEN0617;QB-QRack-750-GEN0617,Hard Drives-GEN0617,,,,Hard Drives,Storage-GEN0617;QB-QRack-750-GEN0617,QB-QRack-750-GEN0617,1
I/O-GEN0617;QB-QRack-750-GEN0617,I/O-GEN0617,,,,I/O,PCIe-GEN0617;QB-QRack-750-GEN0617,QB-QRack-750-GEN0617,2
Memory-GEN0617;QB-QRack-750-GEN0617,Memory-GEN0617,,,,Memory,,QB-QRack-750-GEN0617,2
Networking-GEN0617;QB-QRack-750-GEN0617,Networking-GEN0617,,,,Networking,PCIe-GEN0617;QB-QRack-750-GEN0617,QB-QRack-750-GEN0617,3
PCIe-GEN0617;QB-QRack-750-GEN0617,PCIe-GEN0617,,,,PCIe,,QB-QRack-750-GEN0617,4
Power Supply-GEN0617;QB-QRack-750-GEN0617,Power Supply-GEN0617,,,,Power Supply,,QB-QRack-750-GEN0617,5
Processor-GEN0617;QB-QRack-750-GEN0617,Processor-GEN0617,,2,1,Processor,Computing-GEN0617;QB-QRack-750-GEN0617,QB-QRack-750-GEN0617,1
Solid State Drives-GEN0617;QB-QRack-750-GEN0617,Solid State Drives-GEN0617,,4,0,Solid State Drives,Storage-GEN0617;QB-QRack-750-GEN0617,QB-QRack-750-GEN0617,2
Storage-GEN0617;QB-QRack-750-GEN0617,Storage-GEN0617,,,,Storage,,QB-QRack-750-GEN0617,3
PCG-QB-SRV-CPU-GEN0673;QB-BDL-R750-GEN0673,PCG-QB-SRV-CPU-GEN0673,,1,1,Processor,,QB-BDL-R750-GEN0673,1
PCG-QB-SRV-HDD-GEN0673;QB-BDL-R750-GEN0673,PCG-QB-SRV-HDD-GEN0673,,1,1,Hard Drive,,QB-BDL-R750-GEN0673,3
PCG-QB-SRV-NIC-GEN0673;QB-BDL-R750-GEN0673,PCG-QB-SRV-NIC-GEN0673,,1,1,Network Adapter,,QB-BDL-R750-GEN0673,4
PCG-QB-SRV-RAM-GEN0673;QB-BDL-R750-GEN0673,PCG-QB-SRV-RAM-GEN0673,,1,1,Memory Capacity,,QB-BDL-R750-GEN0673,2
PCG-QB-PS-ENGRESOURCES-GEN0675;QB-BDL-SRVC-GEN0675,PCG-QB-PS-ENGRESOURCES-GEN0675,,,,Engineering Resources,,QB-BDL-SRVC-GEN0675,1
PCG-QB-PS-PM-GEN0675;QB-BDL-SRVC-GEN0675,PCG-QB-PS-PM-GEN0675,,,,Project Management,,QB-BDL-SRVC-GEN0675,2
PCG-QB-PS-SA-GEN0675;QB-BDL-SRVC-GEN0675,PCG-QB-PS-SA-GEN0675,,,,Solution Architecture,,QB-BDL-SRVC-GEN0675,3
PCG-QBSTARTER-MAINT-GEN0676;QB-BDL-STND-GEN0676,PCG-QBSTARTER-MAINT-GEN0676,,1,1,Maintenance,,QB-BDL-STND-GEN0676,20
PCG-QBSTARTER-TRAINING-GEN0676;QB-BDL-STND-GEN0676,PCG-QBSTARTER-TRAINING-GEN0676,,1,1,Training,,QB-BDL-STND-GEN0676,10
PCG-QB-MAINT-GEN0702;QB-COMPLETE-GEN0702,PCG-QB-MAINT-GEN0702,,,,Maintenance & Support,,QB-COMPLETE-GEN0702,40
PCG-QB-SERVICES-GEN0702;QB-COMPLETE-GEN0702,PCG-QB-SERVICES-GEN0702,,,,Services,,QB-COMPLETE-GEN0702,30
PCG-QB-SOFTWARE-GEN0702;QB-COMPLETE-GEN0702,PCG-QB-SOFTWARE-GEN0702,,,,Software,,QB-COMPLETE-GEN0702,10
PCG-QB-TRAINING-GEN0702;QB-COMPLETE-GEN0702,PCG-QB-TRAINING-GEN0702,,,,Training,,QB-COMPLETE-GEN0702,20
QB-PCG-USAGE-GEN0702;QB-COMPLETE-GEN0702,QB-PCG-USAGE-GEN0702,,,,Consumption,,QB-COMPLETE-GEN0702,15
Computing-GEN0781;QB-QRack-750-GEN0781,Computing-GEN0781,,,,Computing,,QB-QRack-750-GEN0781,1
Cooling-GEN0781;QB-QRack-750-GEN0781,Cooling-GEN0781,,2,1,Cooling,Computing-GEN0781;QB-QRack-750-GEN0781,QB-QRack-750-GEN0781,2
GPUs-GEN0781;QB-QRack-750-GEN0781,GPUs-GEN0781,,,,GPUs,PCIe-GEN0781;QB-QRack-750-GEN0781,QB-QRack-750-GEN0781,1
Hard Drives-GEN0781;QB-QRack-750-GEN0781,Hard Drives-GEN0781,,,,Hard Drives,Storage-GEN0781;QB-QRack-750-GEN0781,QB-QRack-750-GEN0781,1
I/O-GEN0781;QB-QRack-750-GEN0781,I/O-GEN0781,,,,I/O,PCIe-GEN0781;QB-QRack-750-GEN0781,QB-QRack-750-GEN0781,2
Memory-GEN0781;QB-QRack-750-GEN0781,Memory-GEN0781,,,,Memory,,QB-QRack-750-GEN0781,2
Networking-GEN0781;QB-QRack-750-GEN0781,Networking-GEN0781,,,,Networking,PCIe-GEN0781;QB-QRack-750-GEN0781,QB-QRack-750-GEN0781,3
PCIe-GEN0781;QB-QRack-750-GEN0781,PCIe-GEN0781,,,,PCIe,,QB-QRack-750-GEN0781,4
Power Supply-GEN0781;QB-QRack-750-GEN0781,Power Supply-GEN0781,,,,Power Supply,,QB-QRack-750-GEN0781,5
Processor-GEN0781;QB-QRack-750-GEN0781,Processor-GEN0781,,2,1,Processor,Computing-GEN0781;QB-QRack-750-GEN0781,QB-QRack-750-GEN0781,1
Solid State Drives-GEN0781;QB-QRack-750-GEN0781,Solid State Drives-GEN0781,,4,0,Solid State Drives,Storage-GEN0781;QB-QRack-750-GEN0781,QB-QRack-750-GEN0781,2
Storage-GEN0781;QB-QRack-750-GEN0781,Storage-GEN0781,,,,Storage,,QB-QRack-750-GEN0781,3
PCG-QB-SRV-CPU-GEN0837;QB-BDL-R750-GEN0837,PCG-QB-SRV-CPU-GEN0837,,1,1,Processor,,QB-BDL-R750-GEN0837,1
PCG-QB-SRV-HDD-GEN0837;QB-BDL-R750-GEN0837,PCG-QB-SRV-HDD-GEN0837,,1,1,Hard Drive,,QB-BDL-R750-GEN0837,3
PCG-QB-SRV-NIC-GEN0837;QB-BDL-R750-GEN0837,PCG-QB-SRV-NIC-GEN0837,,1,1,Network Adapter,,QB-BDL-R750-GEN0837,4
PCG-QB-SRV-RAM-GEN0837;QB-BDL-R750-GEN0837,PCG-QB-SRV-RAM-GEN0837,,1,1,Memory Capacity,,QB-BDL-R750-GEN0837,2
PCG-QB-PS-ENGRESOURCES-GEN0839;QB-BDL-SRVC-GEN0839,PCG-QB-PS-ENGRESOURCES-GEN0839,,,,Engineering Resources,,QB-BDL-SRVC-GEN0839,1
PCG-QB-PS-PM-GEN0839;QB-BDL-SRVC-GEN0839,PCG-QB-PS-PM-GEN0839,,,,Project Management,,QB-BDL-SRVC-GEN0839,2
PCG-QB-PS-SA-GEN0839;QB-BDL-SRVC-GEN0839,PCG-QB-PS-SA-GEN0839,,,,Solution Architecture,,QB-BDL-SRVC-GEN0839,3
PCG-QBSTARTER-MAINT-GEN0840;QB-BDL-STND-GEN0840,PCG-QBSTARTER-MAINT-GEN0840,,1,1,Maintenance,,QB-BDL-STND-GEN0840,20
PCG-QBSTARTER-TRAINING-GEN0840;QB-BDL-STND-GEN0840,PCG-QBSTARTER-TRAINING-GEN0840,,1,1,Training,,QB-BDL-STND-GEN0840,10
PCG-QB-MAINT-GEN0866;QB-COMPLETE-GEN0866,PCG-QB-MAINT-GEN0866,,,,Maintenance & Support,,QB-COMPLETE-GEN0866,40
PCG-QB-SERVICES-GEN0866;QB-COMPLETE-GEN0866,PCG-QB-SERVICES-GEN0866,,,,Services,,QB-COMPLETE-GEN0866,30
PCG-QB-SOFTWARE-GEN0866;QB-COMPLETE-GEN0866,PCG-QB-SOFTWARE-GEN0866,,,,Software,,QB-COMPLETE-GEN0866,10
PCG-QB-TRAINING-GEN0866;QB-COMPLETE-GEN0866,PCG-QB-TRAINING-GEN0866,,,,Training,,QB-COMPLETE-GEN0866,20
QB-PCG-USAGE-GEN0866;QB-COMPLETE-GEN0866,QB-PCG-USAGE-GEN0866,,,,Consumption,,QB-COMPLETE-GEN0866,15
Computing-GEN0945;QB-QRack-750-GEN0945,Computing-GEN0945,,,,Computing,,QB-QRack-750-GEN0945,1
Cooling-GEN0945;QB-QRack-750-GEN0945,Cooling-GEN0945,,2,1,Cooling,Computing-GEN0945;QB-QRack-750-GEN0945,QB-QRack-750-GEN0945,2
GPUs-GEN0945;QB-QRack-750-GEN0945,GPUs-GEN0945,,,,GPUs,PCIe-GEN0945;QB-QRack-750-GEN0945,QB-QRack-750-GEN0945,1
Hard Drives-GEN0945;QB-QRack-750-GEN0945,Hard Drives-GEN0945,,,,Hard Drives,Storage-GEN0945;QB-QRack-750-GEN0945,QB-QRack-750-GEN0945,1
I/O-GEN0945;QB-QRack-750-GEN0945,I/O-GEN0945,,,,I/O,PCIe-GEN0945;QB-QRack-750-GEN0945,QB-QRack-750-GEN0945,2
Memory-GEN0945;QB-QRack-750-GEN0945,Memory-GEN0945,,,,Memory,,QB-QRack-750-GEN0945,2
Networking-GEN0945;QB-QRack-750-GEN0945,Networking-GEN0945,,,,Networking,PCIe-GEN0945;QB-QRack-750-GEN0945,QB-QRack-750-GEN0945,3
PCIe-GEN0945;QB-QRack-750-GEN0945,PCIe-GEN0945,,,,PCIe,,QB-QRack-750-GEN0945,4
Power Supply-GEN0945;QB-QRack-750-GEN0945,Power Supply-GEN0945,,,,Power Supply,,QB-QRack-750-GEN0945,5
Processor-GEN0945;QB-QRack-750-GEN0945,Processor-GEN0945,,2,1,Processor,Computing-GEN0945;QB-QRack-750-GEN0945,QB-QRack-750-GEN0945,1
Solid State Drives-GEN0945;QB-QRack-750-GEN0945,Solid State Drives-GEN0945,,4,0,Solid State Drives,Storage-GEN0945;QB-QRack-750-GEN0945,QB-QRack-750-GEN0945,2
Storage-GEN0945;QB-QRack-750-GEN0945,Storage-GEN0945,,,,Storage,,QB-QRack-750-GEN0945,3
PCG-QB-SRV-CPU-GEN1001;QB-BDL-R750-GEN1001,PCG-QB-SRV-CPU-GEN1001,,1,1,Processor,,QB-BDL-R750-GEN1001,1
PCG-QB-SRV-HDD-GEN1001;QB-BDL-R750-GEN1001,PCG-QB-SRV-HDD-GEN1001,,1,1,Hard Drive,,QB-BDL-R750-GEN1001,3
PCG-QB-SRV-NIC-GEN1001;QB-BDL-R750-GEN1001,PCG-QB-SRV-NIC-GEN1001,,1,1,Network Adapter,,QB-BDL-R750-GEN1001,4
PCG-QB-SRV-RAM-GEN1001;QB-BDL-R750-GEN1001,PCG-QB-SRV-RAM-GEN1001,,1,1,Memory Capacity,,QB-BDL-R750-GEN1001,2
PCG-QB-PS-ENGRESOURCES-GEN1003;QB-BDL-SRVC-GEN1003,PCG-QB-PS-ENGRESOURCES-GEN1003,,,,Engineering Resources,,QB-BDL-SRVC-GEN1003,1
PCG-QB-PS-PM-GEN1003;QB-BDL-SRVC-GEN1003,PCG-QB-PS-PM-GEN1003,,,,Project Management,,QB-BDL-SRVC-GEN1003,2
PCG-QB-PS-SA-GEN1003;QB-BDL-SRVC-GEN1003,PCG-QB-PS-SA-GEN1003,,,,Solution Architecture,,QB-BDL-SRVC-GEN1003,3
PCG-QBSTARTER-MAINT-GEN1004;QB-BDL-STND-GEN1004,PCG-QBSTARTER-MAINT-GEN1004,,1,1,Maintenance,,QB-BDL-STND-GEN1004,20
PCG-QBSTARTER-TRAINING-GEN1004;QB-BDL-STND-GEN1004,PCG-QBSTARTER-TRAINING-GEN1004,,1,1,Training,,QB-BDL-STND-GEN1004,10
PCG-QB-MAINT-GEN1030;QB-COMPLETE-GEN1030,PCG-QB-MAINT-GEN1030,,,,Maintenance & Support,,QB-COMPLETE-GEN1030,40
PCG-QB-SERVICES-GEN1030;QB-COMPLETE-GEN1030,PCG-QB-SERVICES-GEN1030,,,,Services,,QB-COMPLETE-GEN1030,30
PCG-QB-SOFTWARE-GEN1030;QB-COMPLETE-GEN1030,PCG-QB-SOFTWARE-GEN1030,,,,Software,,QB-COMPLETE-GEN1030,10
PCG-QB-TRAINING-GEN1030;QB-COMPLETE-GEN1030,PCG-QB-TRAINING-GEN1030,,,,Training,,QB-COMPLETE-GEN1030,20
QB-PCG-USAGE-GEN1030;QB-COMPLETE-GEN1030,QB-PCG-USAGE-GEN1030,,,,Consumption,,QB-COMPLETE-GEN1030,15
Computing-GEN1109;QB-QRack-750-GEN1109,Computing-GEN1109,,,,Computing,,QB-QRack-750-GEN1109,1
Cooling-GEN1109;QB-QRack-750-GEN1109,Cooling-GEN1109,,2,1,Cooling,Computing-GEN1109;QB-QRack-750-GEN1109,QB-QRack-750-GEN1109,2
GPUs-GEN1109;QB-QRack-750-GEN1109,GPUs-GEN1109,,,,GPUs,PCIe-GEN1109;QB-QRack-750-GEN1109,QB-QRack-750-GEN1109,1
Hard Drives-GEN1109;QB-QRack-750-GEN1109,Hard Drives-GEN1109,,,,Hard Drives,Storage-GEN1109;QB-QRack-750-GEN1109,QB-QRack-750-GEN1109,1
