Name,ProductCode,StockKeepingUnit,UsageModelType
L5-20 Input Power Cable 8',QB-CMPC-5892,QB-CMPC-5892,
QuantumBit Complete Solution,QB-COMPLETE,QB-COMPLETE,
Compute Time,QB-CPU-BLNG,QB-CPU-BLNG,
QuantumBit Collaboration Suite,QB-CS,QB-CS,
Additional QB DataGraph (500M),QB-DAT-GRPH,QB-DAT-GRPH,
Additional Data Throughput,QB-DAT-THPT,QB-DAT-THPT,Pack
Data Storage,QB-DATA-STORAGE-BLNG,QB-DATA-STORAGE-BLNG,
Data Throughput,QB-DATA-THPT-BLNG,QB-DATA-THPT-BLNG,
QuantumBit Database,QB-DB,QB-DB,Anchor
Additional Flows - QB Enterprise,QB-FLO-ENTR,QB-FLO-ENTR,
Additional Flows - QB Starter,QB-FLO-STRT,QB-FLO-STRT,
QuantumBit Generative AI License,QB-GEN-AI-LIC,QB-GEN-AI-LIC,
1TB 7.2k RPM NLSAS,QB-HD 1TB,QB-HD 1TB,
4TB 7.2k RPM NLSAS,QB-HD 4TB,QB-HD 4TB,
8TB 7.2k RPM NLSAS,QB-HD 8TB,QB-HD 8TB,
8TB 7.2k RPM Self-Encrypting NLSAS,QB-HD 8TBSE,QB-HD 8TBSE,
Installation and Assembly,QB-INST-1000,QB-INST-1000,
Intel Xeon E5-2609 v4 1.7GHz,QB-INTEL E5-2609,QB-INTEL E5-2609,
Intel Xeon E5-2660 v4 2.0GHz,QB-INTEL E5-2660,QB-INTEL E5-2660,
Intel Xeon E5-2667 v4 3.2GHz,QB-INTEL E5-2667,QB-INTEL E5-2667,
Intel Xeon E5-2683 v4 2.1GHz,QB-INTEL E5-2683,QB-INTEL E5-2683,
Cloud License (Monthly),QB-LIC-CLOUD,QB-LIC-CLOUD,
16GB RDIMM,QB-MEM 16GB,QB-MEM 16GB,
32GB RDIMM,QB-MEM 32GB,QB-MEM 32GB,
8GB RDIMM,QB-MEM 8GB,QB-MEM 8GB,
Additional Messages - QB Enterprise,QB-MSG-ENTR,QB-MSG-ENTR,
Additional Messages - QB Starter,QB-MSG-STRT,QB-MSG-STRT,
Intel X710 Dual Port 10Gb Direct Attach,QB-NET X710,QB-NET X710,
No Operating System,QB-NO-OSYS,QB-NO-OSYS,
"Rack PDU 20A, 120V L5-20",QB-PDU-2022,QB-PDU-2022,
"Rack PDU 30A, 120V L5-20",QB-PDU-2023,QB-PDU-2023,
"Rack PDU 15A, 120V L5-20",QB-PDU-2024,QB-PDU-2024,
"Rack PDU 20A, 230V C20 input C1",QB-PDU-2025,QB-PDU-2025,
"Rack PDU 10A, 230V C20 input C19",QB-PDU-2026,QB-PDU-2026,
"Rack PDU 16A, 230V, C13 output",QB-PDU-2027,QB-PDU-2027,
"Rack PDU 14.4kW, 208V, C13 output",QB-PDU-2028,QB-PDU-2028,
"Rack PDU 5.7W, 208V, C13 output",QB-PDU-2029,QB-PDU-2029,
Red Hat Enterprise Linux,QB-REDHAT,QB-REDHAT,
"QuantumBit Advisory Services, CSM Premium",QB-SRV-AS,QB-SRV-AS,
Data Normalization Expert,QB-SRV-DNE,QB-SRV-DNE,
Implementation Engineer,QB-SRV-IMP,QB-SRV-IMP,
Integration Specialist Engineer,QB-SRV-ISE,QB-SRV-ISE,
Module Extension Engineer,QB-SRV-MEE,QB-SRV-MEE,
Professional Services - Associate Consultant Daily Rate,QB-SRV-OG-AC-PSH,QB-SRV-OG-AC-PSH,
Professional Services - Project Management Daily Rate,QB-SRV-OG-PM-PSH,QB-SRV-OG-PM-PSH,
Professional Services Daily Rate,QB-SRV-OG-PSH,QB-SRV-OG-PSH,
Professional Service Hours (Consumption),QB-SRV-OG-PSHC,QB-SRV-OG-PSHC,
Program Director,QB-SRV-PD,QB-SRV-PD,
Project Manager,QB-SRV-PMN,QB-SRV-PMN,
Premium Success Plan,QB-SRV-PRM-SP,QB-SRV-PRM-SP,
Quality Assurance Engineer,QB-SRV-QAE,QB-SRV-QAE,
Quick Start Enablement,QB-SRV-QSE,QB-SRV-QSE,
Solutions Architect,QB-SRV-SAT,QB-SRV-SAT,
Professional Services Scope of Work,QB-SRV-SOW,QB-SRV-SOW,
Standard Success Plan,QB-STD-SP,QB-STD-SP,
Silver Hardware Maintenance,QB-SUPP-1000,QB-SUPP-1000,
Gold Hardware Maintenance,QB-SUPP-1005,QB-SUPP-1005,
Software Maintenance,QB-SUPP-2000,QB-SUPP-2000,
QuantumBit Essentials Training,QB-TRN-ESSNTLS,QB-TRN-ESSNTLS,
QuantumBit Fundamentals Training,QB-TRN-FUND,QB-TRN-FUND,
vSphere Desktop,QB-VMW-D,QB-VMW-D,
vSphere Enterprise,QB-VMW-E,QB-VMW-E,
vSphere Standard,QB-VMW-S,QB-VMW-S,
QuantumBit Subscription,TEST-SUB,TEST-SUB,
