$$ProductOffer.StockKeepingUnit$UsageDefinitionProduct.StockKeepingUnit$UnitOfMeasureClass.Code$UnitOfMeasure.UnitCode$UsageResource.Code,DrawdownOrder,Label,OverageChargeable,ProductOffer.StockKeepingUnit,ProductUsageGrantNum,ProductUsageResource.$$Product.StockKeepingUnit$UsageResource.Code,Quantity,RenewalPolicy.Code,RolloverPolicy.Code,Status,Type,UnitOfMeasure.UnitCode,UnitOfMeasureClass.Code,UsageDefinitionProduct.StockKeepingUnit,UsageResource.Code,ValidityPeriodTerm,ValidityPeriodUnit
BES-BILL;EMAIL;EMAIL,ExpiringFirst,Bulk Emails Sent,Yes,,GRANT-000000025,BES;EM-USG,1000,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Commit,EMAIL,EMAIL,BES-BILL,,1,Month
QB-DATA-STORAGE-BLNG;DATAVOL;TB,ExpiringFirst,QuantumDB - DB Storage PUG,Yes,,GRANT-000000004,QB-DB-TOKEN;UR-DATASTORAGE,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,TB,DATAVOL,QB-DATA-STORAGE-BLNG,,1,Month
QB-DATA-STORAGE-BLNG;DATAVOL;TB,ExpiringFirst,,,,GRANT-000000020,QB-MTY-CMT;UR-DATASTORAGE,100,,,Active,Grant,TB,DATAVOL,QB-DATA-STORAGE-BLNG,,1,Month
QB-DATA-STORAGE-BLNG;DATAVOL;TB,ExpiringFirst,,,,GRANT-000000016,QB-QTY-CMT;UR-DATASTORAGE,1000,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Commit,TB,DATAVOL,QB-DATA-STORAGE-BLNG,,1,Month
QB-DATA-STORAGE-BLNG;DATAVOL;TB,ExpiringFirst,QB-DB-COMMIT-PUG,,,GRANT-000000015,QB-CMT-TKN-EACH;UR-DATASTORAGE,10,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,TB,DATAVOL,QB-DATA-STORAGE-BLNG,,1,Month
QB-TOKEN-DEF;Token_UoM_Class;TOKEN-UOM,ExpiringFirst,QB-TK-Commit-PUG,Yes,,GRANT-000000013,QB-CMT-TKN-EACH;QB-TOKEN,1000,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Commit,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF,,1,Month
QB-TOKEN-DEF;Token_UoM_Class;TOKEN-UOM,ExpiringFirst,QB-TK-Commit-PUG,Yes,,GRANT-000000007,QB-CMT-TKN-TIER;QB-TOKEN,1000,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Commit,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF,,1,Month
QB-TOKEN-DEF;Token_UoM_Class;TOKEN-UOM,ExpiringFirst,QuantumDB - Token PUG,Yes,,GRANT-000000005,QB-DB-TOKEN;QB-TOKEN,100000,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF,,,None
QB-TOKEN-DEF;Token_UoM_Class;TOKEN-UOM,ExpiringFirst,QB-TK-Commit-PUG,Yes,,GRANT-000000010,QB-CMT-TKN-FLAT;QB-TOKEN,1000,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Commit,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF,,1,Month
RES-USD-DEF;CURRENCY;USD,ExpiringFirst,,,,GRANT-000000018,QB-MTY-CMT;UR-USD,5000,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Commit,USD,CURRENCY,RES-USD-DEF,,1,Month
SMS-MESS;MESSAG;SMS,ExpiringFirst,SMS Messaging Grant AU,Yes,,GRANT-000000024,SMSAU;UR-SMS,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,SMS,MESSAG,SMS-MESS,,1,Month
SMS-MESS;MESSAG;SMS,ExpiringFirst,SMS Messaging Grant US,Yes,,GRANT-000000021,SMSUS;UR-SMS,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,SMS,MESSAG,SMS-MESS,,1,Month
SMS-MESS;MESSAG;SMS,ExpiringFirst,SMS Messaging Grant UK,Yes,,GRANT-000000022,SMSUK;UR-SMS,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,SMS,MESSAG,SMS-MESS,,1,Month
SMS-MESS;MESSAG;SMS,ExpiringFirst,SMS Messaging Grant CA,Yes,,GRANT-000000023,SMSCA;UR-SMS,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Active,Grant,SMS,MESSAG,SMS-MESS,,1,Month
