Id,Name,ParentProductId,ParentProduct.Name,ChildProductId,ChildProduct.Name,ChildProductClassificationId,ChildProductClassification.Name,ProductRelationshipTypeId,ProductRelationshipType.Name,Sequence
0dSWt000000FLacMAG,PRC-000000052,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaRIAW,"Intel Xeon Platinum 8360Y 2.4GHz, 36C/72T",,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,6
0dSWt000000FLadMAG,PRC-000000053,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaSIAW,"Intel Xeon Platinum 8368 2.4GHz, 38C/76T",,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,7
0dSWt000000FLaeMAG,PRC-000000054,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaTIAW,QB Liquid Cooler,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,2
0dSWt000000FLafMAG,PRC-000000055,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaUIAW,128GB LRDIMM,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,5
0dSWt000000FLagMAG,PRC-000000056,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009JQYWIA4,16GB RDIMM,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,2
0dSWt000000FLahMAG,PRC-000000057,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009JQYXIA4,32GB RDIMM,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,3
0dSWt000000FLaiMAG,PRC-000000058,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaVIAW,64GB RDIMM,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,4
0dSWt000000FLajMAG,PRC-000000059,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009JQYYIA4,8GB RDIMM,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,1
0dSWt000000FLakMAG,PRC-000000060,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaWIAW,QB-NetLink 100G Ultra,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,3
0dSWt000000FLalMAG,PRC-000000061,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaXIAW,QB-NetLink 10G,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,1
0dSWt000000FLamMAG,PRC-000000062,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaYIAW,QB-NetLink 25G,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,2
0dSWt000000FLanMAG,PRC-000000063,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaZIAW,QB-NetSecure 10G,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,4
0dSWt000000FLaoMAG,PRC-000000064,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaaIAG,QB-Accel NovaX150,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,1
0dSWt000000FLapMAG,PRC-000000065,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMabIAG,QB-NVExpand 200,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,2
0dSWt000000FLaqMAG,PRC-000000066,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMacIAG,QB-PowerCore 1600S,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,3
0dSWt000000FLarMAG,PRC-000000067,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMadIAG,QB-PowerCore 500S,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,1
0dSWt000000FLasMAG,PRC-000000068,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaeIAG,QB-PowerCore 800S,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,2
0dSWt000000FLatMAG,PRC-000000069,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMafIAG,QB-PowerSafe 1000D,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,5
0dSWt000000FLauMAG,PRC-000000070,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMagIAG,QB-PowerSafe 2000D,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,6
0dSWt000000FLavMAG,PRC-000000071,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMahIAG,QB-PowerSafe 600D,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,4
0dSWt000000FLawMAG,PRC-000000072,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMajIAG,QB-RAIDForce 500,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,1
0dSWt000000FLaxMAG,PRC-000000073,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMakIAG,Q-Drive NVX 16TB,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,4
0dSWt000000FLayMAG,PRC-000000074,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMalIAG,Q-Drive NVX 2TB,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,1
0dSWt000000FLazMAG,PRC-000000075,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMamIAG,Q-Drive NVX Ultra 30TB,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,5
0dSWt000000FLb0MAG,PRC-000000076,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KManIAG,Q-Drive NVX 4TB,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,2
0dSWt000000FLb1MAG,PRC-000000077,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaoIAG,Q-Drive NVX 8TB,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,3
0dSWt000000FLb2MAG,PRC-000000078,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMapIAG,QB-Accel VegaX200,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,2
