$$Name$DocumentClauseSet.Name$DocumentClauseSet.CategoryReference.DeveloperName,Content,Description,DocumentClauseSet.$$Name$CategoryReference.DeveloperName,Format,IsAlternateClause,Language,Name,Status,Version
Surviving Provisions;Surviving Provisions;Limits_of_Liability,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">Surviving Provisions.</strong><span style=""font-family: sans-serif; font-size: 11px;""> The sections titled “Fees and Payment,” “Proprietary Rights and Licenses,” “Confidentiality,” “Disclaimers,” “Mutual Indemnification,” “Limitation of Liability,” “Refund or Payment upon Termination,” “Customer Data Portability and Deletion,” “Removal of Content and Non-Smartbytes Applications,” “Surviving Provisions” and “General Provisions” will survive any termination or expiration of this Agreement.</span></p>",,Surviving Provisions;Limits_of_Liability,Rich_Text,false,en_US,Surviving Provisions,Draft,1
Definition of Confidential Information;Definition of Confidential Information;Confidentiality,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">Definition of Confidential Information.</strong><span style=""font-size: 11px; font-family: sans-serif;""> “Confidential Information” means all information disclosed by a party (“Disclosing Party”) to the other party (“Receiving Party”), whether orally or in writing, that is designated as confidential or that reasonably should be understood to be confidential given the nature of the information and the circumstances of disclosure. Confidential Information of Customer includes Customer Data; Confidential Information of Smartbytes includes the Services and Content; and Confidential Information of each party includes the terms and conditions of this Agreement and all Order Forms (including pricing), as well as business and marketing plans, technology and technical information, product plans and designs, and business processes disclosed by such party. However, Confidential Information does not include any information that (i) is or becomes generally known to the public without breach of any obligation owed to the Disclosing Party, (ii) was known to the Receiving Party prior to its disclosure by the Disclosing Party without breach of any obligation owed to the Disclosing Party, (iii) is received from a third party without breach of any obligation owed to the Disclosing Party, or (iv) was independently developed by the Receiving Party.</span></p>",,Definition of Confidential Information;Confidentiality,Rich_Text,false,en_US,Definition of Confidential Information,Draft,1
Smartbytes Warranties;Smartbytes Warranties;Representation_Warranties,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">Smartbytes Warranties.</strong><span style=""font-family: sans-serif; font-size: 11px;""> Smartbytes warrants that during an applicable subscription term (a) this Agreement, the Order Forms and the Documentation will accurately describe the applicable administrative, physical, and technical safeguards for protection of the security, confidentiality and integrity of Customer Data, (b) Smartbytes will not materially decrease the overall security of the Services, (c) the Services will perform materially in accordance with the applicable Documentation, and (d) subject to the “Integration with Non-SFDC Applications” section above, Smartbytes will not materially decrease the overall functionality of the Services. For any breach of a warranty above, Customer’s exclusive remedies are those described in the “Termination” and “Refund or Payment upon Termination” sections below.</span></p>",,Smartbytes Warranties;Representation_Warranties,Rich_Text,false,en_US,Smartbytes Warranties,Draft,1
Invoicing & Payment- Net 30;Invoicing & Payment;Fees_Payment,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">Invoicing and Payment- Net 30.</strong><span style=""font-family: sans-serif; font-size: 11px;""> Fees will be invoiced in advance and otherwise in accordance with the relevant Order Form. Unless otherwise stated in the Order Form, fees are due net 30 days from the invoice date, provided that if an invoice is sent electronically to the e-mail address provided by Customer for billing, then it shall be deemed received by Customer as of the date it was sent. Customer is responsible for providing complete and accurate billing and contact information to Smartbytes and notifying Smartbytes of any changes to such information.</span></p>",,Invoicing & Payment;Fees_Payment,Rich_Text,false,en_US,Invoicing & Payment- Net 30,Draft,1
Relationship of the Parties;Relationship of the Parties;General_Provisions,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">Relationship of the Parties.</strong><span style=""font-size: 11px; font-family: sans-serif;""> The parties are independent contractors. This Agreement does not create a partnership, franchise, joint venture, agency, fiduciary or employment relationship between the parties.</span></p>",,Relationship of the Parties;General_Provisions,Rich_Text,false,en_US,Relationship of the Parties,Draft,1
Indemnification by Customer;Indemnification by Customer;Indemnification,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">Indemnification by Customer.</strong><span style=""font-family: sans-serif; font-size: 11px;""> Customer will defend Smartbytes against any claim, demand, suit or proceeding made or brought against Smartbytes by a third party alleging that any Customer Data infringes or misappropriates such third party’s intellectual property rights, or arising from Customer’s use of the Services or Content in breach of the Agreement, the Documentation, Order Form or applicable law (each a “Claim Against Smartbytes”), and will indemnify Smartbytes from any damages, attorney fees and costs finally awarded against Smartbytes as a result of, or for any amounts paid by Smartbytes under a settlement approved by Customer in writing of, a Claim Against Smartbytes, provided Smartbytes (a) promptly gives Customer written notice of the Claim Against Smartbytes, (b) gives Customer sole control of the defense and settlement of the Claim Against Smartbytes (except that Customer may not settle any Claim Against Smartbytes unless it unconditionally releases Smartbytes of all liability), and (c) gives Customer all reasonable assistance, at Customer’s expense.</span></p>",,Indemnification by Customer;Indemnification,Rich_Text,false,en_US,Indemnification by Customer,Draft,1
Exclusive Remedy;Exclusive Remedy;Indemnification,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">Exclusive Remedy.</strong><span style=""font-family: sans-serif; font-size: 11px;""> This “Mutual Indemnification” section states the indemnifying party’s sole liability to, and the indemnified party’s exclusive remedy against, the other party for any type of claim described in this section.</span></p>",,Exclusive Remedy;Indemnification,Rich_Text,false,en_US,Exclusive Remedy,Draft,1
Limitation of Liability;Limitation of Liability;Limits_of_Liability,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">Limitation of Liability.</strong><span style=""font-family: sans-serif; font-size: 11px;""> EXCEPT FOR (A) AMOUNTS PAYABLE UNDER A PARTY’S INDEMNIFICATION OBLIGATIONS UNDER SECTION 9 OF THIS AGREEMENT (MUTUAL INDEMNIFICATION), OR (B) DAMAGES RESULTING FROM A PARTY’S GROSS NEGLIGENCE OR INTENTIONAL MISCONDUCT, IN NO EVENT SHALL THE AGGREGATE LIABILITY OF EACH PARTY TOGETHER WITH ALL OF ITS AFFILIATES ARISING OUT OF OR RELATED TO THIS AGREEMENT EXCEED THE GREATER OF (i) ONE MILLION DOLLARS ($1,000,000.00) OR (ii) TWO TIMES (2X) THE TOTAL AMOUNT PAID BY CUSTOMER AND ITS AFFILIATES HEREUNDER FOR THE SERVICES GIVING RISE TO THE LIABILITY IN THE TWELVE MONTHS PRECEDING THE FIRST INCIDENT OUT OF WHICH THE LIABILITY AROSE. THE FOREGOING LIMITATIONS WILL APPLY WHETHER AN ACTION IS IN CONTRACT OR TORT AND REGARDLESS OF THE THEORY OF LIABILITY, BUT WILL NOT LIMIT CUSTOMER’S AND ITS AFFILIATES’ PAYMENT OBLIGATIONS UNDER THE “FEES AND PAYMENT” SECTION ABOVE.</span></p>",,Limitation of Liability;Limits_of_Liability,Rich_Text,false,en_US,Limitation of Liability,Draft,1
Anti-Corruption;Anti-Corruption;General_Provisions,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">Anti-Corruption.</strong><span style=""font-size: 11px; font-family: sans-serif;""> Neither party has received or been offered any illegal or improper bribe, kickback, payment, gift, or thing of value from an employee or agent of the other party in connection with this Agreement. Reasonable gifts and entertainment provided in the ordinary course of business do not violate the above restriction.</span></p>",,Anti-Corruption;General_Provisions,Rich_Text,false,en_US,Anti-Corruption,Draft,1
Suspension of Service;Suspension of Service;Fees_Payment,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">Suspension of Service.</strong><span style=""font-size: 11px; font-family: sans-serif;""> If any charge owing by Customer is 30 days or more overdue, Smartbytes may, without limiting its other rights and remedies, suspend Services until such amounts are paid in full, provided that, other than for customers paying by credit card or direct debit and whose payment has been declined, Smartbytes has given Customer at least 10 days’ prior notice that its account is overdue in accordance with the “Notices” section below.</span></p>",,Suspension of Service;Fees_Payment,Rich_Text,false,en_US,Suspension of Service,Draft,1
Payment Disputes;Payment Disputes;Fees_Payment,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">Payment Disputes.</strong><span style=""font-size: 11px; font-family: sans-serif;""> Smartbytes will not exercise its rights under the “Overdue Charges” or “Suspension of Service” section above if Customer is disputing the applicable charges reasonably and in good faith and is cooperating diligently to resolve the dispute.&nbsp;</span></p>",,Payment Disputes;Fees_Payment,Rich_Text,false,en_US,Payment Disputes,Draft,1
Protection of Confidential Information;Protection of Confidential Information;Confidentiality,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">Protection of Confidential Information.</strong><span style=""font-size: 11px; font-family: sans-serif;""> The Receiving Party will use the same degree of care that it uses to protect the confidentiality of its own confidential information of like kind (but not less than reasonable care) to (i) not use any Confidential Information of the Disclosing Party for any purpose outside the scope of this Agreement and (ii) except as otherwise authorized by the Disclosing Party in writing, limit access to Confidential Information of the Disclosing Party to those of its and its Affiliates’ employees and contractors who need that access for purposes consistent with this Agreement and who have signed confidentiality agreements with the Receiving Party containing protections not materially less protective of the Confidential Information than those herein. Neither party will disclose the terms of this Agreement or any Order Form to any third party other than its Affiliates, legal counsel and accountants without the other party’s prior written consent, provided that a party that makes any such disclosure to its Affiliate, legal counsel or accountants will remain responsible for such Affiliate’s, legal counsel’s or accountant’s compliance with this “Confidentiality” section.</span></p>",,Protection of Confidential Information;Confidentiality,Rich_Text,false,en_US,Protection of Confidential Information,Draft,1
Representations;Representations;Representation_Warranties,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">Representations.</strong><span style=""font-size: 11px; font-family: sans-serif;""> Each party represents that it has validly entered into this Agreement and has the legal power to do so.</span></p>",,Representations;Representation_Warranties,Rich_Text,false,en_US,Representations,Draft,1
Audit Fees;Audit Fees;General_Provisions,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">Audit Fees. </strong><span style=""font-size: 11px; font-family: sans-serif;"">In the event an audit performed as a result of an actual or reasonably suspected unauthorized disclosure by Smartbytes of Customer Data requires the equivalent of more than one business day of time expended by an Smartbytes employee, Customer agrees to reimburse Smartbytes for any additional time expended at Smartbytes' then current professional services rates.&nbsp;</span></p>",,Audit Fees;General_Provisions,Rich_Text,false,en_US,Audit Fees,Draft,1
Provision of Services;Provision of Services;Responsibilities,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">Provision of Services.</strong><span style=""font-family: sans-serif; font-size: 11px;""> Smartbytes will (a) make the Services and Content available to Customer pursuant to this Agreement and the applicable Order Forms, (b) provide applicable Smartbytes standard support for the Services to Customer at no additional charge, and/or upgraded support if purchased, (c) use commercially reasonable efforts to make the online Services available 24 hours a day, 7 days a week, except for: (i) planned downtime (of which Smartbytes shall give advance electronic notice as provided in the Documentation), and (ii) any unavailability caused by circumstances beyond Smartbytes' reasonable control, including, for example, an act of God, act of government, flood, fire, earthquake, civil unrest, act of terror, strike or other labor problem (other than one involving Smartbytes employees), Internet service provider failure or delay, Non-Smartbytes Application, or denial of service attack, in each case, provided that Smartbytes has taken reasonable steps to mitigate against the effects of such event, and (d) provide the Services in accordance with laws and government regulations applicable to Smartbytes' provision of its Services to its customers generally (i.e., without regard for Customer’s particular use of the Services), and subject to Customer’s use of the Services in accordance with this Agreement, the Documentation and the applicable Order Form.</span></p>",,Provision of Services;Responsibilities,Rich_Text,false,en_US,Provision of Services,Draft,1
Fees;Fees;Fees_Payment,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">Fees.</strong><span style=""font-size: 11px; font-family: sans-serif;""> Customer will pay all fees specified in Order Forms. Except as otherwise specified herein or in an Order Form, (i) fees are based on Services and Content subscriptions purchased and not actual usage, (ii) payment obligations are non-cancelable and fees paid are non-refundable, and (iii) quantities purchased cannot be decreased during the relevant subscription term.</span></p>",,Fees;Fees_Payment,Rich_Text,false,en_US,Fees,Draft,1
Subscriptions;Subscriptions;Use_of_Service,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">Subscriptions.</strong><span style=""font-size: 11px; font-family: sans-serif;""> Unless otherwise provided in the applicable Order Form or Documentation, (a) Services and access to Content are purchased as subscriptions, (b) subscriptions may be added during a subscription term at the same pricing as the underlying subscription pricing, prorated for the portion of that subscription term remaining at the time the subscriptions are added, and (c) any added subscriptions will terminate on the same date as the underlying subscriptions.<span class=""ql-cursor"">﻿</span></span></p>",,Subscriptions;Use_of_Service,Rich_Text,false,en_US,Subscriptions,Draft,1
Refund or Payment upon Termination;Refund or Payment upon Termination;Fees_Payment,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">Refund or Payment upon Termination. </strong><span style=""font-family: sans-serif; font-size: 11px;"">If this Agreement is terminated by Customer in accordance with the “Termination” section above, Smartbytes will refund Customer any prepaid fees covering the remainder of the term of all Order Forms after the effective date of termination. If this Agreement is terminated by Smartbytes in accordance with the “Termination” section above, Customer will pay any unpaid fees covering the remainder of the term of all Order Forms. In no event will termination relieve Customer of its obligation to pay any fees payable to Smartbytes for the period prior to the effective date of termination.</span></p>",,Refund or Payment upon Termination;Fees_Payment,Rich_Text,false,en_US,Refund or Payment upon Termination,Draft,1
Overdue Charges;Overdue Charges;Fees_Payment,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">Overdue Charges.</strong><span style=""font-size: 11px; font-family: sans-serif;""> If any invoiced amount is not received by Smartbytes by the due date, then without limiting SFDC’s rights or remedies, those charges may accrue late interest at the rate of 1.5% of the outstanding balance per month, or the maximum rate permitted by law, whichever is lower.&nbsp;</span></p>",,Overdue Charges;Fees_Payment,Rich_Text,false,en_US,Overdue Charges,Draft,1
Definitions;Definitions;Definitions,"<p class=""ql-indent-1""><strong style=""font-size: 10px;"">“Affiliate” </strong><span style=""font-size: 10px;"">means any entity that directly or indirectly controls, is controlled by, or is under common control with the subject entity. “Control,” for purposes of this definition, means direct or indirect ownership or control of more than 50% of the voting interests of the subject entity.</span></p><p class=""ql-indent-1""><strong style=""font-size: 10px;"">“Agreement”</strong><span style=""font-size: 10px;""> means this Master Subscription Agreement and any exhibits, schedules and addenda hereto.</span></p><p class=""ql-indent-1""><strong style=""font-size: 10px;"">“Content”</strong><span style=""font-size: 10px;""> means information obtained by Smartbytes from publicly available sources or its third party content providers and made available to Customer through the Services, Beta Services or pursuant to an Order Form, as more fully described in the Documentation.</span></p><p class=""ql-indent-1""><strong style=""font-size: 10px;"">“Customer”</strong><span style=""font-size: 10px;""> means the customer named above together with its Affiliates which have signed Order Forms.</span></p><p class=""ql-indent-1""><strong style=""font-size: 10px;"">“Customer Data”</strong><span style=""font-size: 10px;""> means electronic data and information submitted by or for Customer to the Services, excluding Content and Non-Smartbytes Applications.</span></p><p class=""ql-indent-1""><strong style=""font-size: 10px;"">“Documentation”</strong><span style=""font-size: 10px;""> means the applicable Service’s Trust and Compliance Documentation, and its usage guides and policies, as updated from time to time, accessible via help.salesforce.com or login to the applicable Service. Smartbytes may notify Customer of material changes to the Documentation through release notes provided with major new releases of the applicable Services, provided, to the extent Smartbytes does not notify Customer of material changes to Documentation for any Services, then any material obligation or restriction imposed on Customer by a Documentation update will not take effect for Customer until Customer’s next purchase of an add-on subscription to its existing subscription to the applicable Service or the subscription renewal date for the applicable Service, whichever is earlier.</span></p><p class=""ql-indent-1""><strong style=""font-size: 10px;"">“Malicious Code”</strong><span style=""font-size: 10px;""> means code, files, scripts, agents or programs intended to do harm, including, for example, viruses, worms, time bombs and Trojan horses.</span></p><p class=""ql-indent-1""><strong style=""font-size: 10px;"">“Order Form”</strong><span style=""font-size: 10px;""> means an ordering document or online order specifying the Services to be provided hereunder that is entered into between Customer and Smartbytes or any of their Affiliates, including any addenda and supplements thereto. By entering into an Order Form hereunder, an Affiliate agrees to be bound by the terms of this Agreement as if it were an original party hereto.</span></p><p class=""ql-indent-1""><strong style=""font-size: 10px;"">“Services”</strong><span style=""font-size: 10px;""> means the products and services that are ordered by Customer under an Order Form and made available online by Smartbytes, including associated Smartbytes offline or mobile components, as described in the Documentation. “Services” exclude Content and Non-Smartbytes Applications.</span></p><p class=""ql-indent-1""><strong style=""font-size: 10px;"">“User”</strong><span style=""font-size: 10px;""> means an individual who is authorized by Customer to use a Service, for whom Customer has purchased a subscription (or in the case of any Services provided by Smartbytes without charge, for whom a Service has been provisioned), and to whom Customer (or, when applicable, Smartbytes at Customer’s request) has supplied a user identification and password (for Services utilizing authentication). Users may include, for example, employees, consultants, contractors and agents of Customer, and third parties with which Customer transacts business.</span></p>",Contract definitions,Definitions;Definitions,Rich_Text,false,en_US,Definitions,Draft,1
Indemnification by Smartbytes;Indemnification by Smartbytes;Indemnification,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">Indemnification by Smartbytes.</strong><span style=""font-family: sans-serif; font-size: 11px;""> Smartbytes will defend Customer against any claim, demand, suit or proceeding made or brought against Customer by a third party alleging that any Service infringes or misappropriates such third party’s intellectual property rights (a “Claim Against Customer”), and will indemnify Customer from any damages, attorney fees and costs finally awarded against Customer as a result of, or for amounts paid by Customer under a settlement approved by Smartbytes in writing of, a Claim Against Customer, provided Customer (a) promptly gives Smartbytes written notice of the Claim Against Customer, (b) gives Smartbytes sole control of the defense and settlement of the Claim Against Customer (except that Smartbytes may not settle any Claim Against Customer unless it unconditionally releases Customer of all liability), and (c) gives Smartbytes all reasonable assistance, at Smartbytes' expense. If Smartbytes receives information about an infringement or misappropriation claim related to a Service, Smartbytes may in its discretion and at no cost to Customer (i) modify the Services so that they are no longer claimed to infringe or misappropriate, without breaching Smartbytes' warranties under “Smartbytes Warranties” above, (ii) obtain a license for Customer’s continued use of that Service in accordance with this Agreement, or (iii) terminate Customer’s subscriptions for that Service upon 30 days’ written notice and refund Customer any prepaid fees covering the remainder of the term of the terminated subscriptions. The above defense and indemnification obligations do not apply to the extent a Claim Against Customer arises from Content, a Non-Smartbytes Application or Customer’s breach of this Agreement, the Documentation or applicable Order Forms.</span></p>",,Indemnification by Smartbytes;Indemnification,Rich_Text,false,en_US,Indemnification by Smartbytes,Draft,1
Term of Agreement;Term of Agreement;Terms_Termination,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">Term of Agreement.</strong><span style=""font-family: sans-serif; font-size: 11px;""> This Agreement commences on the Effective Date and continues until all subscriptions hereunder have expired or have been terminated.</span></p>",,Term of Agreement;Terms_Termination,Rich_Text,false,en_US,Term of Agreement,Draft,1
Customer Data Portability and Deletion;Customer Data Portability and Deletion;Terms_Termination,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">Customer Data Portability and Deletion.</strong><span style=""font-family: sans-serif; font-size: 11px;""> Upon request by Customer made within 30 days after the effective date of termination or expiration of this Agreement, Smartbytes will make Customer Data available to Customer for export or download as provided in the Documentation. After such 30-day period, Smartbytes will have no obligation to maintain or provide any Customer Data, and as provided in the Documentation will thereafter delete or destroy all copies of Customer Data in its systems or otherwise in its possession or control, unless legally prohibited.&nbsp;</span></p>",,Customer Data Portability and Deletion;Terms_Termination,Rich_Text,false,en_US,Customer Data Portability and Deletion,Draft,1
Usage Limits;Usage Limits;Use_of_Service,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">Usage Limits.</strong><span style=""font-size: 11px; font-family: sans-serif;""> Services and Content are subject to usage limits specified in Order Forms and Documentation. Unless otherwise specified, (a) a quantity in an Order Form refers to Users, and the Service or Content may not be accessed by more than that number of Users, (b) a User’s password may not be shared with any other individual, and (c) except as set forth in an Order Form, a User identification may only be reassigned to a new individual replacing one who will no longer use the Service or Content. If Customer exceeds a contractual usage limit, Smartbytes may work with Customer to seek to reduce Customer’s usage so that it conforms to that limit. If notwithstanding Smartbytes' efforts, Customer is unable or unwilling to abide by a contractual usage limit, Customer will execute an Order Form for additional quantities of the applicable Services or Content promptly upon Smartbytes' request and/or pay any invoice for excess usage in accordance with the “Invoicing and Payment” section below.</span></p>",,Usage Limits;Use_of_Service,Rich_Text,false,en_US,Usage Limits,Draft,1
Protection of Customer Data;Protection of Customer Data;Confidentiality,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">﻿Protection of Customer Data.</strong><span style=""font-family: sans-serif; font-size: 11px;""> Smartbytes will maintain administrative, physical, and technical safeguards for protection of the security, confidentiality and integrity of Customer Data, as described in the Documentation. Those safeguards will include, but will not be limited to, measures for preventing access, use, modification or disclosure of Customer Data by Smartbytes personnel except (a) to provide the Services and prevent or address service or technical problems, (b) as compelled by law in accordance with the “Confidentiality: Compelled Disclosure” section below, or (c) as expressly permitted in writing by Customer. The terms of the data processing addendum attached hereto as Exhibit A (""DPA"") are hereby incorporated by reference and shall apply to the extent Customer Data includes Personal Data, as defined in the DPA. To the extent Personal Data from the European Economic Area (EEA) and Switzerland are processed by Smartbytes, its Processor Binding Corporate Rule and/or the Standard Contractual Clauses in Schedule 3 to the DPA shall apply, as further set forth in the DPA. For the purposes of the Standard Contractual Clauses, Customer and its applicable Affiliates are each the data exporter, and Customer's execution of this Agreement, and an applicable Affiliate's execution of an Order Form, shall be treated as its execution of the Standard Contractual Clauses and appendices.</span></p>",,Protection of Customer Data;Confidentiality,Rich_Text,false,en_US,Protection of Customer Data,Draft,1
