Abbreviation,Code,DisplayValue,IsDefault,Name,Picklist.Code,Sequence,Status,Value
,APV-50,50,false,50,AP-006,50,Active,50
,Balanced,バランス型,false,Balanced,Storage Profile,4,Active,Balanced
,Basic,ベーシック,false,Basic,AP-007,2,Active,Basic
,Basic Uptime,基本稼働時間,false,Basic Uptime,Redundancy,1,Active,Basic Uptime
,C13toC14,C13〜C14,true,C13 to C14,AP-004,,Active,C13 to C14
,C19toC20,C19〜C20,false,C19 to C20,AP-004,,Active,C19 to C20
,Capacity,容量,false,Capacity,Storage Profile,2,Active,Capacity
,Custom,カスタム,false,Custom,AP-014,4,Active,Custom
,Direct_Attach,ダイレクト接続,true,Direct_Attach,AP-008,1,Active,Direct_Attach
,Dual,デュアル,false,Dual,Socket Configuration,2,Active,Dual
,Entry,エントリー,false,Entry,Performance Tier,2,Active,Entry
,Evergreen,エバーグリーン,true,Evergreen,AP-015,1,Active,Evergreen
,Extended_Care,延長保守,true,Extended_Care,AP-007,1,Active,Extended_Care
,Flex,フレックス,true,Flex,AP-001,1,Active,Flex
,General,一般,true,General,Workload,1,Active,General
,Gov,政府向け,false,Gov,AP-001,2,Active,Gov
,High Availability,高可用性,false,High Availability,Redundancy,2,Active,High Availability
,High Performance Computing,高性能コンピューティング,false,High Performance Computing,Workload,3,Active,High Performance Computing
,L5-20,L5-20,false,L5-20,AP-004,,Active,L5-20
,Memory_Mirroring,メモリミラーリング,false,Memory_Mirroring,AP-011,3,Active,Memory_Mirroring
,N/A,なし,true,N/A,Rear Storage,1,Active,N/A
,N/A Performance Tier,なし,true,N/A,Performance Tier,1,Active,N/A
,N/A RAID,なし,true,N/A,RAID,1,Active,N/A
,N/A Storage Profile,なし,true,N/A,Storage Profile,1,Active,N/A
,Offshore,オフショア,false,Offshore,AP-013,3,Active,Offshore
,Onsite,オンサイト,true,Onsite,AP-013,1,Active,Onsite
,Performance,パフォーマンス,false,Performance,AP-014,2,Active,Performance
,Performance Storage,パフォーマンス,false,Performance,Storage Profile,3,Active,Performance
,Performance Tier,パフォーマンス,false,Performance,Performance Tier,4,Active,Performance
,Performance_Optimized,パフォーマンス最適化,true,Performance_Optimized,AP-011,1,Active,Performance_Optimized
,Performance_Optimized_with_Sparing,パフォーマンス最適化（スペアリング付き）,false,Performance_Optimized_with_Sparing,AP-011,2,Active,Performance_Optimized_with_Sparing
,Pre-Prod,検証用,false,Pre-Prod,AP-001,3,Active,Pre-Prod
,Prod,本番用,false,Prod,AP-001,4,Active,Prod
,RAID 0,RAID 0,false,RAID 0,RAID,2,Active,RAID 0
,RAID 1,RAID 1,false,RAID 1,RAID,3,Active,RAID 1
,RAID 5,RAID 5,false,RAID 5,RAID,4,Active,RAID 5
,REL,Redhat Enterprise Linux,false,Redhat Enterprise Linux,AP-009,2,Active,Redhat Enterprise Linux
,Remote,リモート,false,Remote,AP-013,2,Active,Remote
,Security,セキュリティ,true,Security,AP-014,1,Active,Security
,SFP,SFP,false,SFP,AP-008,2,Active,SFP
,Single,シングル,true,Single,Socket Configuration,1,Active,Single
,Standard,スタンダード,false,Standard,Performance Tier,3,Active,Standard
,TermBased,定義済み期間,false,TermBased,AP-015,2,Active,TermBased
,Unconfigured RAID,未構成 RAID,false,Unconfigured RAID,RAID,5,Active,Unconfigured RAID
,Value,バリュー,false,Value,AP-014,3,Active,Value
,x16,x16,false,x16,PCIe Lane Type,2,Active,x16
,x8,x8,false,x8,PCIe Lane Type,1,Active,x8
