$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;QB-HD 1.2TB;QB-QRack-750;Hard Drives;Bundle to Bundle Component Relationship,QB-HD 1.2TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Hard Drives,Bundle to Bundle Component Relationship,1,,Always,5,
;QB-HD 1TB;QB-BDL-R750;PCG-QB-SRV-HDD;Bundle to Bundle Component Relationship,QB-HD 1TB,,BundleComponent,,true,false,true,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-HDD,Bundle to Bundle Component Relationship,1,Proportional,Always,1,
;QB-HD 1TB;QB-QRack-750;Hard Drives;Bundle to Bundle Component Relationship,QB-HD 1TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Hard Drives,Bundle to Bundle Component Relationship,1,,Always,1,
;QB-HD 20TB;QB-QRack-750;Hard Drives;Bundle to Bundle Component Relationship,QB-HD 20TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Hard Drives,Bundle to Bundle Component Relationship,1,,Always,4,
;QB-HD 3TB;QB-QRack-750;Hard Drives;Bundle to Bundle Component Relationship,QB-HD 3TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Hard Drives,Bundle to Bundle Component Relationship,1,,Always,6,
;QB-HD 4TB;QB-BDL-R750;PCG-QB-SRV-HDD;Bundle to Bundle Component Relationship,QB-HD 4TB,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-HDD,Bundle to Bundle Component Relationship,1,Proportional,Always,2,
;QB-HD 4TB;QB-QRack-750;Hard Drives;Bundle to Bundle Component Relationship,QB-HD 4TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Hard Drives,Bundle to Bundle Component Relationship,1,,Always,2,
;QB-HD 8TB;QB-BDL-R750;PCG-QB-SRV-HDD;Bundle to Bundle Component Relationship,QB-HD 8TB,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-HDD,Bundle to Bundle Component Relationship,1,Proportional,Always,3,
;QB-HD 8TB;QB-QRack-750;Hard Drives;Bundle to Bundle Component Relationship,QB-HD 8TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Hard Drives,Bundle to Bundle Component Relationship,1,,Always,3,
;QB-HD 8TBSE;QB-BDL-R750;PCG-QB-SRV-HDD;Bundle to Bundle Component Relationship,QB-HD 8TBSE,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-HDD,Bundle to Bundle Component Relationship,1,Proportional,Always,4,
;QB-INTEL E5-2609;QB-BDL-R750;PCG-QB-SRV-CPU;Bundle to Bundle Component Relationship,QB-INTEL E5-2609,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-CPU,Bundle to Bundle Component Relationship,1,Proportional,Always,2,
;QB-INTEL E5-2660;QB-BDL-R750;PCG-QB-SRV-CPU;Bundle to Bundle Component Relationship,QB-INTEL E5-2660,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-CPU,Bundle to Bundle Component Relationship,1,Proportional,Always,3,
;QB-INTEL E5-2667;QB-BDL-R750;PCG-QB-SRV-CPU;Bundle to Bundle Component Relationship,QB-INTEL E5-2667,,BundleComponent,,true,false,true,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-CPU,Bundle to Bundle Component Relationship,1,Proportional,Always,1,
;QB-INTEL E5-2683;QB-BDL-R750;PCG-QB-SRV-CPU;Bundle to Bundle Component Relationship,QB-INTEL E5-2683,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-CPU,Bundle to Bundle Component Relationship,1,Proportional,Always,4,
;QB-INTEL-GOLD-5318N;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-GOLD-5318N,,BundleComponent,,false,false,false,true,2,,QB-QRack-750,Bundle,,Processor,Bundle to Bundle Component Relationship,1,,Always,2,EACH
;QB-INTEL-GOLD-6330N;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-GOLD-6330N,,BundleComponent,,false,false,false,true,2,,QB-QRack-750,Bundle,,Processor,Bundle to Bundle Component Relationship,1,,Always,3,EACH
;QB-INTEL-GOLD-6354;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-GOLD-6354,,BundleComponent,,false,false,false,true,2,,QB-QRack-750,Bundle,,Processor,Bundle to Bundle Component Relationship,1,,Always,1,EACH
;QB-INTEL-PLAT-8352M;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-PLAT-8352M,,BundleComponent,,false,false,false,true,2,,QB-QRack-750,Bundle,,Processor,Bundle to Bundle Component Relationship,1,,Always,5,EACH
;QB-INTEL-PLAT-8352Y;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-PLAT-8352Y,,BundleComponent,,false,false,false,true,2,,QB-QRack-750,Bundle,,Processor,Bundle to Bundle Component Relationship,1,,Always,4,EACH
;QB-INTEL-PLAT-8360Y;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-PLAT-8360Y,,BundleComponent,,false,false,false,true,2,,QB-QRack-750,Bundle,,Processor,Bundle to Bundle Component Relationship,1,,Always,6,EACH
;QB-INTEL-PLAT-8368;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-PLAT-8368,,BundleComponent,,false,false,false,true,2,,QB-QRack-750,Bundle,,Processor,Bundle to Bundle Component Relationship,1,,Always,7,EACH
;QB-LIQUIDCOOL;QB-QRack-750;Cooling;Bundle to Bundle Component Relationship,QB-LIQUIDCOOL,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Cooling,Bundle to Bundle Component Relationship,1,,Always,2,
;QB-MEM 128GB;QB-QRack-750;Memory;Bundle to Bundle Component Relationship,QB-MEM 128GB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Memory,Bundle to Bundle Component Relationship,1,,Always,5,
;QB-MEM 16GB;QB-BDL-R750;PCG-QB-SRV-RAM;Bundle to Bundle Component Relationship,QB-MEM 16GB,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-RAM,Bundle to Bundle Component Relationship,1,Proportional,Always,2,
;QB-MEM 16GB;QB-QRack-750;Memory;Bundle to Bundle Component Relationship,QB-MEM 16GB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Memory,Bundle to Bundle Component Relationship,1,,Always,2,
;QB-MEM 32GB;QB-BDL-R750;PCG-QB-SRV-RAM;Bundle to Bundle Component Relationship,QB-MEM 32GB,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-RAM,Bundle to Bundle Component Relationship,1,Proportional,Always,3,
;QB-MEM 32GB;QB-QRack-750;Memory;Bundle to Bundle Component Relationship,QB-MEM 32GB,,BundleComponent,,false,false,true,true,,,QB-QRack-750,Bundle,,Memory,Bundle to Bundle Component Relationship,1,,Always,3,
;QB-MEM 64GB;QB-QRack-750;Memory;Bundle to Bundle Component Relationship,QB-MEM 64GB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Memory,Bundle to Bundle Component Relationship,1,,Always,4,
;QB-MEM 8GB;QB-BDL-R750;PCG-QB-SRV-RAM;Bundle to Bundle Component Relationship,QB-MEM 8GB,,BundleComponent,,true,false,true,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-RAM,Bundle to Bundle Component Relationship,1,Proportional,Always,1,
;QB-MEM 8GB;QB-QRack-750;Memory;Bundle to Bundle Component Relationship,QB-MEM 8GB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Memory,Bundle to Bundle Component Relationship,1,,Always,1,
;QB-MSG-STRT;QB-COMPLETE;PCG-QB-ADDONS;Bundle to Bundle Component Relationship,QB-MSG-STRT,,BundleComponent,,false,false,false,true,,,QB-COMPLETE,Bundle,,PCG-QB-ADDONS,Bundle to Bundle Component Relationship,5,,Always,30,
;QB-MTY-CMT;QB-COMPLETE;QB-PCG-USAGE;Bundle to Bundle Component Relationship,QB-MTY-CMT,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,QB-PCG-USAGE,Bundle to Bundle Component Relationship,1,,Always,40,
;QB-NET X710;QB-BDL-R750;PCG-QB-SRV-NIC;Bundle to Bundle Component Relationship,QB-NET X710,,BundleComponent,,true,false,true,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-NIC,Bundle to Bundle Component Relationship,1,Proportional,Always,1,
;QB-NET-100G-ULTRA;QB-QRack-750;Networking;Bundle to Bundle Component Relationship,QB-NET-100G-ULTRA,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Networking,Bundle to Bundle Component Relationship,1,,Always,3,
;QB-NET-10G;QB-QRack-750;Networking;Bundle to Bundle Component Relationship,QB-NET-10G,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Networking,Bundle to Bundle Component Relationship,1,,Always,1,
;QB-NET-25G;QB-QRack-750;Networking;Bundle to Bundle Component Relationship,QB-NET-25G,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Networking,Bundle to Bundle Component Relationship,1,,Always,2,
;QB-NETSECURE-10G;QB-QRack-750;Networking;Bundle to Bundle Component Relationship,QB-NETSECURE-10G,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Networking,Bundle to Bundle Component Relationship,1,,Always,4,
;QB-NovaX150;QB-QRack-750;GPUs;Bundle to Bundle Component Relationship,QB-NovaX150,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,GPUs,Bundle to Bundle Component Relationship,1,,Always,1,
;QB-NVExpand-200;QB-QRack-750;I/O;Bundle to Bundle Component Relationship,QB-NVExpand-200,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,I/O,Bundle to Bundle Component Relationship,1,,Always,2,
;QB-PWRCORE-1600S;QB-QRack-750;Power Supply;Bundle to Bundle Component Relationship,QB-PWRCORE-1600S,,BundleComponent,,false,false,false,false,,,QB-QRack-750,Bundle,,Power Supply,Bundle to Bundle Component Relationship,1,Proportional,Always,3,
;QB-PWRCORE-500S;QB-QRack-750;Power Supply;Bundle to Bundle Component Relationship,QB-PWRCORE-500S,,BundleComponent,,false,false,false,false,,,QB-QRack-750,Bundle,,Power Supply,Bundle to Bundle Component Relationship,1,Proportional,Always,1,
;QB-PWRCORE-800S;QB-QRack-750;Power Supply;Bundle to Bundle Component Relationship,QB-PWRCORE-800S,,BundleComponent,,false,false,false,false,,,QB-QRack-750,Bundle,,Power Supply,Bundle to Bundle Component Relationship,1,Proportional,Always,2,
;QB-PWRSAFE-1000D;QB-QRack-750;Power Supply;Bundle to Bundle Component Relationship,QB-PWRSAFE-1000D,,BundleComponent,,false,false,false,false,,,QB-QRack-750,Bundle,,Power Supply,Bundle to Bundle Component Relationship,1,Proportional,Always,5,
;QB-PWRSAFE-2000D;QB-QRack-750;Power Supply;Bundle to Bundle Component Relationship,QB-PWRSAFE-2000D,,BundleComponent,,false,false,true,false,,,QB-QRack-750,Bundle,,Power Supply,Bundle to Bundle Component Relationship,1,Proportional,Always,6,
;QB-PWRSAFE-600D;QB-QRack-750;Power Supply;Bundle to Bundle Component Relationship,QB-PWRSAFE-600D,,BundleComponent,,false,false,false,false,,,QB-QRack-750,Bundle,,Power Supply,Bundle to Bundle Component Relationship,1,Proportional,Always,4,
;QB-QTY-CMT;QB-COMPLETE;QB-PCG-USAGE;Bundle to Bundle Component Relationship,QB-QTY-CMT,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,QB-PCG-USAGE,Bundle to Bundle Component Relationship,1,,Always,50,
;QB-RAID-500;QB-QRack-750;I/O;Bundle to Bundle Component Relationship,QB-RAID-500,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,I/O,Bundle to Bundle Component Relationship,1,,Always,1,
;QB-SRV-DNE;QB-BDL-SRVC;PCG-QB-PS-ENGRESOURCES;Bundle to Bundle Component Relationship,QB-SRV-DNE,,BundleComponent,,false,false,false,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-ENGRESOURCES,Bundle to Bundle Component Relationship,8,,Always,2,
;QB-SRV-IMP;QB-BDL-SRVC;PCG-QB-PS-ENGRESOURCES;Bundle to Bundle Component Relationship,QB-SRV-IMP,,BundleComponent,,false,false,false,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-ENGRESOURCES,Bundle to Bundle Component Relationship,8,,Always,1,
;QB-SRV-ISE;QB-BDL-SRVC;PCG-QB-PS-ENGRESOURCES;Bundle to Bundle Component Relationship,QB-SRV-ISE,,BundleComponent,,false,false,false,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-ENGRESOURCES,Bundle to Bundle Component Relationship,8,,Always,5,
;QB-SRV-MEE;QB-BDL-SRVC;PCG-QB-PS-ENGRESOURCES;Bundle to Bundle Component Relationship,QB-SRV-MEE,,BundleComponent,,false,false,false,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-ENGRESOURCES,Bundle to Bundle Component Relationship,8,,Always,3,
;QB-SRV-OG-PSH;QB-COMPLETE;PCG-QB-SERVICES;Bundle to Bundle Component Relationship,QB-SRV-OG-PSH,,BundleComponent,,false,false,true,true,,,QB-COMPLETE,Bundle,,PCG-QB-SERVICES,Bundle to Bundle Component Relationship,250,,Always,10,
;QB-SRV-PD;QB-BDL-SRVC;PCG-QB-PS-PM;Bundle to Bundle Component Relationship,QB-SRV-PD,,BundleComponent,,false,false,false,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-PM,Bundle to Bundle Component Relationship,8,,Always,1,
;QB-SRV-PMN;QB-BDL-SRVC;PCG-QB-PS-PM;Bundle to Bundle Component Relationship,QB-SRV-PMN,,BundleComponent,,false,true,true,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-PM,Bundle to Bundle Component Relationship,8,,Always,2,
;QB-SRV-QAE;QB-BDL-SRVC;PCG-QB-PS-ENGRESOURCES;Bundle to Bundle Component Relationship,QB-SRV-QAE,,BundleComponent,,false,false,false,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-ENGRESOURCES,Bundle to Bundle Component Relationship,8,,Always,4,
;QB-SRV-SAT;QB-BDL-SRVC;PCG-QB-PS-SA;Bundle to Bundle Component Relationship,QB-SRV-SAT,,BundleComponent,,false,false,true,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-SA,Bundle to Bundle Component Relationship,8,,Always,1,
;QB-SRV-SOW;QB-COMPLETE;PCG-QB-SERVICES;Bundle to Bundle Component Relationship,QB-SRV-SOW,,BundleComponent,,true,false,false,false,,,QB-COMPLETE,Bundle,,PCG-QB-SERVICES,Bundle to Bundle Component Relationship,1,Proportional,Always,20,
;QB-SSD 16TB;QB-QRack-750;Solid State Drives;Bundle to Bundle Component Relationship,QB-SSD 16TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Solid State Drives,Bundle to Bundle Component Relationship,1,,Always,4,
;QB-SSD 2TB;QB-QRack-750;Solid State Drives;Bundle to Bundle Component Relationship,QB-SSD 2TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Solid State Drives,Bundle to Bundle Component Relationship,1,,Always,1,
;QB-SSD 30TB;QB-QRack-750;Solid State Drives;Bundle to Bundle Component Relationship,QB-SSD 30TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Solid State Drives,Bundle to Bundle Component Relationship,1,,Always,5,
;QB-SSD 4TB;QB-QRack-750;Solid State Drives;Bundle to Bundle Component Relationship,QB-SSD 4TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Solid State Drives,Bundle to Bundle Component Relationship,1,,Always,2,
;QB-SSD 8TB;QB-QRack-750;Solid State Drives;Bundle to Bundle Component Relationship,QB-SSD 8TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Solid State Drives,Bundle to Bundle Component Relationship,1,,Always,3,
;QB-SUPP-1000;QB-BDL-STND;PCG-QBSTARTER-MAINT;Bundle to Bundle Component Relationship,QB-SUPP-1000,,BundleComponent,,false,false,true,false,,,QB-BDL-STND,Bundle,,PCG-QBSTARTER-MAINT,Bundle to Bundle Component Relationship,1,Proportional,Always,20,
;QB-SUPP-1005;QB-BDL-STND;PCG-QBSTARTER-MAINT;Bundle to Bundle Component Relationship,QB-SUPP-1005,,BundleComponent,,false,false,false,false,,,QB-BDL-STND,Bundle,,PCG-QBSTARTER-MAINT,Bundle to Bundle Component Relationship,1,Proportional,Always,10,
;QB-SUPP-2000;QB-COMPLETE;PCG-QB-MAINT;Bundle to Bundle Component Relationship,QB-SUPP-2000,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,PCG-QB-MAINT,Bundle to Bundle Component Relationship,1,Constant,Always,40,
;QB-TRN-ESSNTLS;QB-BDL-STND;PCG-QBSTARTER-TRAINING;Bundle to Bundle Component Relationship,QB-TRN-ESSNTLS,,BundleComponent,,false,false,true,false,,,QB-BDL-STND,Bundle,,PCG-QBSTARTER-TRAINING,Bundle to Bundle Component Relationship,1,Proportional,Always,20,
;QB-TRN-ESSNTLS;QB-COMPLETE;PCG-QB-TRAINING;Bundle to Bundle Component Relationship,QB-TRN-ESSNTLS,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,PCG-QB-TRAINING,Bundle to Bundle Component Relationship,1,Proportional,Always,10,
;QB-TRN-FUND;QB-BDL-STND;PCG-QBSTARTER-TRAINING;Bundle to Bundle Component Relationship,QB-TRN-FUND,,BundleComponent,,false,false,false,false,,,QB-BDL-STND,Bundle,,PCG-QBSTARTER-TRAINING,Bundle to Bundle Component Relationship,1,Proportional,Always,10,
;QB-TRN-FUND;QB-COMPLETE;PCG-QB-TRAINING;Bundle to Bundle Component Relationship,QB-TRN-FUND,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,PCG-QB-TRAINING,Bundle to Bundle Component Relationship,1,Proportional,Always,20,
;QB-VegaX200;QB-QRack-750;GPUs;Bundle to Bundle Component Relationship,QB-VegaX200,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,GPUs,Bundle to Bundle Component Relationship,1,,Always,2,
;PROD-1000281857;PROD-86201530;;Bundle to Bundle Component Relationship,PROD-1000281857,,BundleComponent,,true,false,true,false,,,PROD-86201530,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1002254785;PROD-604480020;;Bundle to Bundle Component Relationship,PROD-1002254785,,BundleComponent,,true,false,true,false,,,PROD-604480020,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1008704562;PROD-455868158;;Bundle to Bundle Component Relationship,PROD-1008704562,,BundleComponent,,true,false,true,false,,,PROD-455868158,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1038139044;PROD-462218852;;Bundle to Bundle Component Relationship,PROD-1038139044,,BundleComponent,,true,false,true,false,,,PROD-462218852,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1046989797;PROD-518677116;;Bundle to Bundle Component Relationship,PROD-1046989797,,BundleComponent,,true,false,true,false,,,PROD-518677116,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1054187061;PROD-1160394163;;Bundle to Bundle Component Relationship,PROD-1054187061,,BundleComponent,,true,false,true,false,,,PROD-1160394163,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1065068854;PROD-1536519560;;Bundle to Bundle Component Relationship,PROD-1065068854,,BundleComponent,,true,false,true,false,,,PROD-1536519560,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1066573967;PROD-1609709205;;Bundle to Bundle Component Relationship,PROD-1066573967,,BundleComponent,,true,false,true,false,,,PROD-1609709205,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1078575407;PROD-781554326;;Bundle to Bundle Component Relationship,PROD-1078575407,,BundleComponent,,true,false,true,false,,,PROD-781554326,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-111239623;PROD-1809409779;;Bundle to Bundle Component Relationship,PROD-111239623,,BundleComponent,,true,false,true,false,,,PROD-1809409779,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1128940216;PROD-322363365;;Bundle to Bundle Component Relationship,PROD-1128940216,,BundleComponent,,true,false,true,false,,,PROD-322363365,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1153963439;PROD-159863330;;Bundle to Bundle Component Relationship,PROD-1153963439,,BundleComponent,,true,false,true,false,,,PROD-159863330,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1160394163;PROD-697645794;;Bundle to Bundle Component Relationship,PROD-1160394163,,BundleComponent,,true,false,true,false,,,PROD-697645794,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1167731127;PROD-518677116;;Bundle to Bundle Component Relationship,PROD-1167731127,,BundleComponent,,true,false,true,false,,,PROD-518677116,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1176699896;PROD-1448587501;;Bundle to Bundle Component Relationship,PROD-1176699896,,BundleComponent,,true,false,true,false,,,PROD-1448587501,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1202444971;PROD-697645794;;Bundle to Bundle Component Relationship,PROD-1202444971,,BundleComponent,,true,false,true,false,,,PROD-697645794,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1223537488;PROD-683520187;;Bundle to Bundle Component Relationship,PROD-1223537488,,BundleComponent,,true,false,true,false,,,PROD-683520187,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1232611253;PROD-1078575407;;Bundle to Bundle Component Relationship,PROD-1232611253,,BundleComponent,,true,false,true,false,,,PROD-1078575407,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1234105735;PROD-544673184;;Bundle to Bundle Component Relationship,PROD-1234105735,,BundleComponent,,true,false,true,false,,,PROD-544673184,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1247640563;PROD-1878093187;;Bundle to Bundle Component Relationship,PROD-1247640563,,BundleComponent,,true,false,true,false,,,PROD-1878093187,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
;PROD-1249967782;PROD-416568204;;Bundle to Bundle Component Relationship,PROD-1249967782,,BundleComponent,,true,false,true,false,,,PROD-416568204,Bundle,,,Bundle to Bundle Component Relationship,1,Proportional,Always,,
