$$AttributeCategory.Code$AttributeDefinition.Code$Product2.StockKeepingUnit,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,OverriddenProductAttributeDefinition.$$AttributeCategory.Code$AttributeDefinition.Code$Product2.StockKeepingUnit,Product2.StockKeepingUnit,ProductClassificationAttribute.$$ProductClassification.Code$AttributeDefinition.Code$AttributeCategory.Code,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
STO,STO,,Storage,Cloud Storage Enterprise - 2 TB,,,,false,true,false,true,,,,,Storage,,,CS001;STO,,Active,,,
STO,STO,,Storage,SSD Hard Drive 256GB,,,,false,false,false,true,,,,,Storage,,,CMP001;STO,,Active,,,
SP001,SP001,,Support Level,Premium Support,,,,false,true,false,false,,,,,Support Level,,,SL001;SP001,,Active,,,
T001,T001,,Training,Security Training,,,,false,true,false,false,,,,,Training,,,TL001;T001,,Active,,,
SUBTYPE001;OF001,,SUBTYPE001,Subscription Type,Business,Subscription Type - either Enterprise or Business,,,false,false,false,true,,,,,Subscription Type,,OF001,SFT001;SUBTYPE001,,Active,,,
CN001;gc_fuel;SD100-175,CN001,gc_fuel,Fuel,,,,,false,false,false,false,,,,,Fuel,,SD100-175,Generator;gc_fuel,20,Active,,,
CN001;gc_kw;SD100-175,CN001,gc_kw,kW,,,,,false,false,false,false,,,,,kW,,SD100-175,Generator;gc_kw,30,Active,,,
CN001;gc_oem;SD100-175,CN001,gc_oem,OEM,,,,,false,false,false,false,,,,,OEM,,SD100-175,Generator;gc_oem,10,Active,,,
CN001;gc_voltage;SD100-175,CN001,gc_voltage,Voltage,,,,,false,false,false,false,,,,,Voltage,,SD100-175,Generator;gc_voltage,40,Active,,,
CA001;frequency;SD100-175,CA001,frequency,Frequency,,,,,false,false,false,false,,,,,Frequency,,SD100-175,Generator;frequency,120,Active,,,
CA001;gc_actualNoiseVolume;SD100-175,CA001,gc_actualNoiseVolume,Actual Noise Volume,,,,,false,false,false,false,,,,,Actual Noise Volume,,SD100-175,Generator;gc_actualNoiseVolume,,Inactive,,,
CA001;gc_alternatorUpsize;SD100-175,CA001,gc_alternatorUpsize,Alternator Upsize,false,,,,false,false,false,false,,,,,Alternator Upsize,,SD100-175,Generator;gc_alternatorUpsize,80,Active,,,
CA001;gc_certificate;SD100-175,CA001,gc_certificate,Certificate,,,,,false,false,false,false,,,,,Certificate,,SD100-175,Generator;gc_certificate,90,Active,,,
CA001;gc_circuitBreakerType;SD100-175,CA001,gc_circuitBreakerType,Circuit Breaker Type,,,,,false,false,false,false,,,,,Circuit Breaker Type,,SD100-175,Generator;gc_circuitBreakerType,70,Active,,,
CA001;gc_duty;SD100-175,CA001,gc_duty,Duty,,,,,false,false,false,false,,,,,Duty,,SD100-175,Generator;gc_duty,110,Active,,,
CA001;gc_excitation;SD100-175,CA001,gc_excitation,Excitation,,,,,false,false,false,false,,,,,Excitation,,SD100-175,Generator;gc_excitation,60,Active,,,
CA001;gc_roofBased;SD100-175,CA001,gc_roofBased,Roof Based,false,,,,false,false,false,false,,,,,Roof Based,,SD100-175,Generator;gc_roofBased,100,Active,,,
SEQ;SD100-175,SEQ,,hex,#FFFFFF,,,,false,false,false,false,,,,,hex,,SD100-175,Generator;SEQ,,Active,,,
