$$Name$Pricebook2.Name$Product2.StockKeepingUnit$ProductSellingModel.Name,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
"220/380,3 Phase,Wye,4 Wire;Standard Price Book;One Time",true,false,"220/380,3 Phase,Wye,4 Wire",Standard Price Book;true,,One Time;OneTime,1110
"240/416,3 Phase,Wye,4 Wire;Standard Price Book;One Time",true,false,"240/416,3 Phase,Wye,4 Wire",Standard Price Book;true,,One Time;OneTime,1770
"2400/4160,3 Phase,Wye,4Wire;Standard Price Book;One Time",true,false,"2400/4160,3 Phase,Wye,4Wire",Standard Price Book;true,,One Time;OneTime,2280
"255/440,3 Phase,Wye,4 Wire;Standard Price Book;One Time",true,false,"255/440,3 Phase,Wye,4 Wire",Standard Price Book;true,,One Time;OneTime,2340
"277/480,3 Phase,Wye,4 Wire;Standard Price Book;One Time",true,false,"277/480,3 Phase,Wye,4 Wire",Standard Price Book;true,,One Time;OneTime,540
"347/600,3 Phase,Wye,4 Wire;Standard Price Book;One Time",true,false,"347/600,3 Phase,Wye,4 Wire",Standard Price Book;true,,One Time;OneTime,1160
5 Amp Battery Charger;Standard Price Book;One Time,true,false,5 Amp Battery Charger,Standard Price Book;true,,One Time;OneTime,0
500W Enclosure Heater;Standard Price Book;One Time,true,false,500W Enclosure Heater,Standard Price Book;true,,One Time;OneTime,1460
"7200/12470,3 Ph,Wye,4 Wire;Standard Price Book;One Time",true,false,"7200/12470,3 Ph,Wye,4 Wire",Standard Price Book;true,,One Time;OneTime,1180
"7621/13200,3 Ph,Wye,4 Wire;Standard Price Book;One Time",true,false,"7621/13200,3 Ph,Wye,4 Wire",Standard Price Book;true,,One Time;OneTime,800
"7976/13800,3 Ph,Wye,4 Wire;Standard Price Book;One Time",true,false,"7976/13800,3 Ph,Wye,4 Wire",Standard Price Book;true,,One Time;OneTime,1330
8 Function Alarm Relay Panel;Standard Price Book;One Time,true,false,8 Function Alarm Relay Panel,Standard Price Book;true,,One Time;OneTime,255.99
8 Position Load Center;Standard Price Book;One Time,true,false,8 Position Load Center,Standard Price Book;true,,One Time;OneTime,0
"8"" Fuel Extension;Standard Price Book;One Time",true,false,"8"" Fuel Extension",Standard Price Book;true,,One Time;OneTime,1500
A030S169;Standard Price Book;One Time,true,false,A030S169,Standard Price Book;true,,One Time;OneTime,100
A035K427;Standard Price Book;One Time,true,false,A035K427,Standard Price Book;true,,One Time;OneTime,940
A046D218;Standard Price Book;One Time,true,false,A046D218,Standard Price Book;true,,One Time;OneTime,1170
A048N280;Standard Price Book;One Time,true,false,A048N280,Standard Price Book;true,,One Time;OneTime,760
A051H785;Standard Price Book;One Time,true,false,A051H785,Standard Price Book;true,,One Time;OneTime,540
A051K118;Standard Price Book;One Time,true,false,A051K118,Standard Price Book;true,,One Time;OneTime,1150
A052X578;Standard Price Book;One Time,true,false,A052X578,Standard Price Book;true,,One Time;OneTime,2010
A052X580;Standard Price Book;One Time,true,false,A052X580,Standard Price Book;true,,One Time;OneTime,2210
A052X582;Standard Price Book;One Time,true,false,A052X582,Standard Price Book;true,,One Time;OneTime,1880
A052X584;Standard Price Book;One Time,true,false,A052X584,Standard Price Book;true,,One Time;OneTime,2310
A052X586;Standard Price Book;One Time,true,false,A052X586,Standard Price Book;true,,One Time;OneTime,450
AC / DC Led Light Kit;Standard Price Book;One Time,true,false,AC / DC Led Light Kit,Standard Price Book;true,,One Time;OneTime,800
Ad Hoc;Standard Price Book;ADHOC;One Time,true,false,Ad Hoc,Standard Price Book;true,ADHOC,One Time;OneTime,0
Air Filter Restriction Ind;Standard Price Book;One Time,true,false,Air Filter Restriction Ind,Standard Price Book;true,,One Time;OneTime,190
Alarm Contacts;Standard Price Book,true,false,Alarm Contacts,Standard Price Book;true,,,30
"Alarm-Audible, Engine Shutdown;Standard Price Book;One Time",true,false,"Alarm-Audible, Engine Shutdown",Standard Price Book;true,,One Time;OneTime,2060
"Alt-60Hz, 3Phase, 480Volt, 125/105/80C-StbyPrmCont;Standard Price Book;One Time",true,false,"Alt-60Hz, 3Phase, 480Volt, 125/105/80C-StbyPrmCont",Standard Price Book;true,,One Time;OneTime,2340
"Alt-60Hz, Wye, 13.2-13.8kVolt, 105/80C-StbyPrm;Standard Price Book;One Time",true,false,"Alt-60Hz, Wye, 13.2-13.8kVolt, 105/80C-StbyPrm",Standard Price Book;true,,One Time;OneTime,620
"ALT-60Hz, Wye,12.47-13.8kV,125/105/80C (S/P/C);Standard Price Book;One Time",true,false,"ALT-60Hz, Wye,12.47-13.8kV,125/105/80C (S/P/C)",Standard Price Book;true,,One Time;OneTime,1450
"ALT-60Hz,2400/4160V,125/105/80C (S/P/C);Standard Price Book;One Time",true,false,"ALT-60Hz,2400/4160V,125/105/80C (S/P/C)",Standard Price Book;true,,One Time;OneTime,1230
"Alt-60Hz,347/600V,125/105/80C-SPC;Standard Price Book;One Time",true,false,"Alt-60Hz,347/600V,125/105/80C-SPC",Standard Price Book;true,,One Time;OneTime,470
"Alt-60Hz,3Ph,2400/4160V,80C, Stby-Prime,IncrMtrStart;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,2400/4160V,80C, Stby-Prime,IncrMtrStart",Standard Price Book;true,,One Time;OneTime,1630
"Alt-60Hz,3Ph,277/480V,80C, Stby-Prime,IncrMtrStart;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,277/480V,80C, Stby-Prime,IncrMtrStart",Standard Price Book;true,,One Time;OneTime,510
"Alt-60Hz,3Ph,347/600V,80C, Stby-Prime,IncrMtrStart;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,347/600V,80C, Stby-Prime,IncrMtrStart",Standard Price Book;true,,One Time;OneTime,2200
"Alt-60Hz,3Ph,7200/12470V,80C, Stby-Prime,IncrMtrStart;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,7200/12470V,80C, Stby-Prime,IncrMtrStart",Standard Price Book;true,,One Time;OneTime,2350
"Alt-60Hz,3Ph,7620/13200V,80C, Stby-Prime,IncrMtrStart;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,7620/13200V,80C, Stby-Prime,IncrMtrStart",Standard Price Book;true,,One Time;OneTime,1050
"Alt-60Hz,3Ph,7968/13800V,80C, Stby-Prime,IncrMtrStart;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,7968/13800V,80C, Stby-Prime,IncrMtrStart",Standard Price Book;true,,One Time;OneTime,800
"Alt-60Hz,3Ph,Wye,12.47kV,80C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,12.47kV,80C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,1790
"Alt-60Hz,3Ph,Wye,13.2kV,80C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,13.2kV,80C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,1300
"Alt-60Hz,3Ph,Wye,13.8kV,80C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,13.8kV,80C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,2340
"Alt-60Hz,3Ph,Wye,380V,105C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,380V,105C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,2310
"Alt-60Hz,3Ph,Wye,380V,80C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,380V,80C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,1450
"Alt-60Hz,3Ph,Wye,4160V,80C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,4160V,80C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,480
"Alt-60Hz,3Ph,Wye,416V,105C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,416V,105C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,570
"Alt-60Hz,3Ph,Wye,416V,80C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,416V,80C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,690
"Alt-60Hz,3Ph,Wye,440V,105C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,440V,105C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,780
"Alt-60Hz,3Ph,Wye,440V,80C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,440V,80C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,830
"Alt-60Hz,3Ph,Wye,480V,105C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,480V,105C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,1450
"Alt-60Hz,3Ph,Wye,480V,80C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,480V,80C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,1290
"Alt-60Hz,3Ph,Wye,600V,105C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,600V,105C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,2410
"Alt-60Hz,3Ph,Wye,600V,80C-DCC,40C Amb;Standard Price Book;One Time",true,false,"Alt-60Hz,3Ph,Wye,600V,80C-DCC,40C Amb",Standard Price Book;true,,One Time;OneTime,610
"ALT-60Hz,Wye,12.47kV,105/80C (S/P);Standard Price Book;One Time",true,false,"ALT-60Hz,Wye,12.47kV,105/80C (S/P)",Standard Price Book;true,,One Time;OneTime,1860
"Alt-60Hz,Wye,220/380V,105/80C-StbyPrm;Standard Price Book;One Time",true,false,"Alt-60Hz,Wye,220/380V,105/80C-StbyPrm",Standard Price Book;true,,One Time;OneTime,1370
"Alt-60Hz,Wye,220/380V,125/105/80C-StbyPrmCont;Standard Price Book;One Time",true,false,"Alt-60Hz,Wye,220/380V,125/105/80C-StbyPrmCont",Standard Price Book;true,,One Time;OneTime,600
"Alt-60Hz,Wye,220/380V,150/125/105C-SD/P/C,40C amb;Standard Price Book;One Time",true,false,"Alt-60Hz,Wye,220/380V,150/125/105C-SD/P/C,40C amb",Standard Price Book;true,,One Time;OneTime,1240
"Alt-60Hz,Wye,440V,125-80C-SPC;Standard Price Book;One Time",true,false,"Alt-60Hz,Wye,440V,125-80C-SPC",Standard Price Book;true,,One Time;OneTime,600
"Alt-60Hz,Wye,440V,150/125SP,40C amb;Standard Price Book;One Time",true,false,"Alt-60Hz,Wye,440V,150/125SP,40C amb",Standard Price Book;true,,One Time;OneTime,870
Alternator - 100 KW;Standard Price Book;One Time,true,false,Alternator - 100 KW,Standard Price Book;true,,One Time;OneTime,45290
Alternator - 130 KW;Standard Price Book;One Time,true,false,Alternator - 130 KW,Standard Price Book;true,,One Time;OneTime,54463
Alternator - 150 KW;Standard Price Book;One Time,true,false,Alternator - 150 KW,Standard Price Book;true,,One Time;OneTime,59900
Alternator - 175 KW;Standard Price Book;One Time,true,false,Alternator - 175 KW,Standard Price Book;true,,One Time;OneTime,65500
Alternator - 200 KW;Standard Price Book;One Time,true,false,Alternator - 200 KW,Standard Price Book;true,,One Time;OneTime,72050
Alternator - 250 KW;Standard Price Book;One Time,true,false,Alternator - 250 KW,Standard Price Book;true,,One Time;OneTime,76500
Alternator - 300 KW;Standard Price Book;One Time,true,false,Alternator - 300 KW,Standard Price Book;true,,One Time;OneTime,80000
"Alternator - 60Hz, 3-Phase, Wye, 2400/4160V, 105/80C, StbyPrm;Standard Price Book;One Time",true,false,"Alternator - 60Hz, 3-Phase, Wye, 2400/4160V, 105/80C, StbyPrm",Standard Price Book;true,,One Time;OneTime,940
Alternator Strip Heater;Standard Price Book;One Time,true,false,Alternator Strip Heater,Standard Price Book;true,,One Time;OneTime,1095
Alternator Tropical Coating;Standard Price Book;One Time,true,false,Alternator Tropical Coating,Standard Price Book;true,,One Time;OneTime,1595
"Alternator-60 Hz, Wye, 380 Volt, 80C-Stby;Standard Price Book;One Time",true,false,"Alternator-60 Hz, Wye, 380 Volt, 80C-Stby",Standard Price Book;true,,One Time;OneTime,2370
"Alternator-60 Hz, Wye, 440 Volt,105/80C-StbyPrm;Standard Price Book;One Time",true,false,"Alternator-60 Hz, Wye, 440 Volt,105/80C-StbyPrm",Standard Price Book;true,,One Time;OneTime,1780
"Alternator-60 Hz,Wye,240/416 Volt,105/80C-StbyPrm;Standard Price Book;One Time",true,false,"Alternator-60 Hz,Wye,240/416 Volt,105/80C-StbyPrm",Standard Price Book;true,,One Time;OneTime,1500
"Alternator-60Hz, 347/600Volt, 105/80C-StbyPrm;Standard Price Book;One Time",true,false,"Alternator-60Hz, 347/600Volt, 105/80C-StbyPrm",Standard Price Book;true,,One Time;OneTime,1270
"Alternator-60Hz, 347/600Volt, 80C-Stby;Standard Price Book;One Time",true,false,"Alternator-60Hz, 347/600Volt, 80C-Stby",Standard Price Book;true,,One Time;OneTime,960
"Alternator-60Hz, 3Phase, 480Volt, 105/80C-StbyPrm;Standard Price Book;One Time",true,false,"Alternator-60Hz, 3Phase, 480Volt, 105/80C-StbyPrm",Standard Price Book;true,,One Time;OneTime,1170
"Alternator-60Hz, 3Phase, 480Volt, 80C-Stby;Standard Price Book;One Time",true,false,"Alternator-60Hz, 3Phase, 480Volt, 80C-Stby",Standard Price Book;true,,One Time;OneTime,2310
"Alternator-60Hz, Wye, 12.47kVolt, 80C-Stby;Standard Price Book;One Time",true,false,"Alternator-60Hz, Wye, 12.47kVolt, 80C-Stby",Standard Price Book;true,,One Time;OneTime,1990
"Alternator-60Hz, Wye, 13.2-13.8kVolt, 80C-Stby;Standard Price Book;One Time",true,false,"Alternator-60Hz, Wye, 13.2-13.8kVolt, 80C-Stby",Standard Price Book;true,,One Time;OneTime,120
"Alternator-60Hz, Wye, 440 Volt,80C-Stby;Standard Price Book;One Time",true,false,"Alternator-60Hz, Wye, 440 Volt,80C-Stby",Standard Price Book;true,,One Time;OneTime,2100
"Alternator-60Hz,3Phase,480Volt,150C-Stby,40C amb;Standard Price Book;One Time",true,false,"Alternator-60Hz,3Phase,480Volt,150C-Stby,40C amb",Standard Price Book;true,,One Time;OneTime,2010
"Alternator-60Hz,3Phase,600Volt,150C-Stby,40C amb;Standard Price Book;One Time",true,false,"Alternator-60Hz,3Phase,600Volt,150C-Stby,40C amb",Standard Price Book;true,,One Time;OneTime,2350
AMEL Generator Set;Standard Price Book;AMEL-FRD;One Time,true,false,AMEL Generator Set,Standard Price Book;true,AMEL-FRD,One Time;OneTime,23699
AmpSentryTM Protective Relay;Standard Price Book;One Time,true,false,AmpSentryTM Protective Relay,Standard Price Book;true,,One Time;OneTime,1900
Antivirus;Standard Price Book;Evergreen - Yearly,true,false,Antivirus,Standard Price Book;true,,Evergreen - Yearly;Evergreen,99.99
API Access Premium;Standard Price Book;Term Based - Monthly,true,false,API Access Premium,Standard Price Book;true,,Term Based - Monthly;TermDefined,75
Arc Chute;Standard Price Book,true,false,Arc Chute,Standard Price Book;true,,,0
AT&T Mobile Plan;Standard Price Book;Term Based - Monthly,true,false,AT&T Mobile Plan,Standard Price Book;true,,Term Based - Monthly;TermDefined,60
Base Tank;Standard Price Book;One Time,true,false,Base Tank,Standard Price Book;true,,One Time;OneTime,0
Base Tank Emergency Vent;Standard Price Book;One Time,true,false,Base Tank Emergency Vent,Standard Price Book;true,,One Time;OneTime,353
Basic Training;Standard Price Book;Term Based - Monthly,true,false,Basic Training,Standard Price Book;true,,Term Based - Monthly;TermDefined,29.99
Battery Charging Alternator;Standard Price Book;One Time,true,false,Battery Charging Alternator,Standard Price Book;true,,One Time;OneTime,1210
Battery Heating Pad;Standard Price Book;One Time,true,false,Battery Heating Pad,Standard Price Book;true,,One Time;OneTime,0
Battery Heating Pad - Optima;Standard Price Book;One Time,true,false,Battery Heating Pad - Optima,Standard Price Book;true,,One Time;OneTime,0
Bearing Set;Standard Price Book,true,false,Bearing Set,Standard Price Book;true,,,0
"Bearing,1 RTD NDE;Standard Price Book;One Time",true,false,"Bearing,1 RTD NDE",Standard Price Book;true,,One Time;OneTime,550
Block heater STD 1500W;Standard Price Book;One Time,true,false,Block heater STD 1500W,Standard Price Book;true,,One Time;OneTime,260
"Bottom Entry Chute, Left;Standard Price Book;One Time",true,false,"Bottom Entry Chute, Left",Standard Price Book;true,,One Time;OneTime,1670
"Bottom Entry Chute, Right;Standard Price Book;One Time",true,false,"Bottom Entry Chute, Right",Standard Price Book;true,,One Time;OneTime,1270
"Bottom Entry, Left;Standard Price Book;One Time",true,false,"Bottom Entry, Left",Standard Price Book;true,,One Time;OneTime,980
"Bottom Entry, Right;Standard Price Book;One Time",true,false,"Bottom Entry, Right",Standard Price Book;true,,One Time;OneTime,1440
Breaker Contacts;Standard Price Book,true,false,Breaker Contacts,Standard Price Book;true,,,0
"CB-1200A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-1200A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,1460
"CB-1200A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-1200A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,740
"CB-1600A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-1600A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,1700
"CB-1600A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-1600A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,540
"CB-2000A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-2000A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,2000
"CB-2000A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-2000A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,1850
"CB-2500A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-2500A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,1100
"CB-2500A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-2500A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,660
"CB-3000A,Left,3P,UL 600,IEC 690,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-3000A,Left,3P,UL 600,IEC 690,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,1800
"CB-3000A,Right,3P,UL 600,IEC 690,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-3000A,Right,3P,UL 600,IEC 690,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,2320
"CB-600A,Left,3P,UL 600,IEC 690,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-600A,Left,3P,UL 600,IEC 690,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,1140
"CB-600A,Right,3P,UL 600,IEC 690,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-600A,Right,3P,UL 600,IEC 690,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,820
"CB-800A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-800A,Left,3P,UL 600,IEC 415,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,830
"CB-800A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%;Standard Price Book;One Time",true,false,"CB-800A,Right,3P,UL 600,IEC 415,UL Serv Ent,100%",Standard Price Book;true,,One Time;OneTime,1530
CB1_CAX1;Standard Price Book;One Time,true,false,CB1_CAX1,Standard Price Book;true,,One Time;OneTime,20
CB1_CAX2;Standard Price Book;One Time,true,false,CB1_CAX2,Standard Price Book;true,,One Time;OneTime,30
CB1_CAX3;Standard Price Book;One Time,true,false,CB1_CAX3,Standard Price Book;true,,One Time;OneTime,40
Certified Test Report;Standard Price Book;One Time,true,false,Certified Test Report,Standard Price Book;true,,One Time;OneTime,0
Circuit Breaker;Standard Price Book;One Time,true,false,Circuit Breaker,Standard Price Book;true,,One Time;OneTime,0
Circuit Breaker or Entrance Box-None;Standard Price Book;One Time,true,false,Circuit Breaker or Entrance Box-None,Standard Price Book;true,,One Time;OneTime,1030
Civil Engineer;Standard Price Book;One Time,true,false,Civil Engineer,Standard Price Book;true,,One Time;OneTime,520
Ckt Brkr Access-Left Side;Standard Price Book;One Time,true,false,Ckt Brkr Access-Left Side,Standard Price Book;true,,One Time;OneTime,1970
Ckt Brkr Access-Right Side;Standard Price Book;One Time,true,false,Ckt Brkr Access-Right Side,Standard Price Book;true,,One Time;OneTime,1490
"Ckt Brkr Lugs-Mechanical, Left Side;Standard Price Book;One Time",true,false,"Ckt Brkr Lugs-Mechanical, Left Side",Standard Price Book;true,,One Time;OneTime,1170
"Ckt Brkr Lugs-Mechanical, Right Side;Standard Price Book;One Time",true,false,"Ckt Brkr Lugs-Mechanical, Right Side",Standard Price Book;true,,One Time;OneTime,1170
Cloud Storage;Standard Price Book;Evergreen - Monthly,true,false,Cloud Storage,Standard Price Book;true,,Evergreen - Monthly;Evergreen,9.99
Cloud Storage Pro;Standard Price Book;Term Based - Monthly,true,false,Cloud Storage Pro,Standard Price Book;true,,Term Based - Monthly;TermDefined,50
Conduits and Fittings;Standard Price Book;One Time,true,false,Conduits and Fittings,Standard Price Book;true,,One Time;OneTime,300
CONTROL MTG-FRONT FACING;Standard Price Book;One Time,true,false,CONTROL MTG-FRONT FACING,Standard Price Book;true,,One Time;OneTime,430
CONTROL MTG-LEFT FACING;Standard Price Book;One Time,true,false,CONTROL MTG-LEFT FACING,Standard Price Book;true,,One Time;OneTime,770
CONTROL MTG-RIGHT FACING;Standard Price Book;One Time,true,false,CONTROL MTG-RIGHT FACING,Standard Price Book;true,,One Time;OneTime,1350
"Coolant Heater-208/240/480V, 40F Minimum Ambient Temp;Standard Price Book;One Time",true,false,"Coolant Heater-208/240/480V, 40F Minimum Ambient Temp",Standard Price Book;true,,One Time;OneTime,380
"Coolant Heater-208/240/480V, Below 40F Ambient Temp;Standard Price Book;One Time",true,false,"Coolant Heater-208/240/480V, Below 40F Ambient Temp",Standard Price Book;true,,One Time;OneTime,900
Crankcase Oil Heater;Standard Price Book;One Time,true,false,Crankcase Oil Heater,Standard Price Book;true,,One Time;OneTime,235
CUGR Generator Set;Standard Price Book;CUGR-FRD,true,false,CUGR Generator Set,Standard Price Book;true,CUGR-FRD,,32999
Damper Alarm Contacts;Standard Price Book;One Time,true,false,Damper Alarm Contacts,Standard Price Book;true,,One Time;OneTime,725
Data Access Basic;Standard Price Book;Term Based - Monthly,true,false,Data Access Basic,Standard Price Book;true,,Term Based - Monthly;TermDefined,25
DCC 10YR UNLIMITED HR P + L;Standard Price Book;One Time,true,false,DCC 10YR UNLIMITED HR P + L,Standard Price Book;true,,One Time;OneTime,600
DCC 10YR UNLIMITED HR P + L + T;Standard Price Book;One Time,true,false,DCC 10YR UNLIMITED HR P + L + T,Standard Price Book;true,,One Time;OneTime,680
