$$CostBook.Name$Product.StockKeepingUnit,Cost,CostBook.$$Name$IsDefault,Description,EffectiveFrom,EffectiveTo,Product.StockKeepingUnit
Standard Cost Book,667.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,535.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,66,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,72,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,491.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,430.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,484,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1366.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,17307.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,381.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,406.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1032,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,270,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,0,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,129.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,493.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,278.1,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,868,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,936.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,29,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,151.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1195.74,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,198.9,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,222,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,440,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,132,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,632.1,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,257.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,530.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,614.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,620,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,477.9,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,2519.72,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,489.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1117.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,148.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,792,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1178.1,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,935.3,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,3467.49,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,0,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,216.69,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,15,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,4.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,23.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,4.63,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,351.56,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,49.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,20,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,14,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,910.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,110,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,170.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1316.7,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,625.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,348,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,213.9,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,681.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,662.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,358.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,824.1,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,621.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,455,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,698.1,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,216,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,787.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,297.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,301,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,323.3,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1122.9,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,465.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,822.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,91.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,865.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,387.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,339.3,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,667.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,561.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,513.3,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,333,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,777,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1080,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,228,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,694.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,178.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,396.9,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,407,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,276,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,654.9,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,116,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,246,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,900,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,71.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,846,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,564,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,158.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,668.3,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,68.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,710.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,198,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,142.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,571.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1031.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,619.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,216,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,504,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,556.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,642.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,369.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,270.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,445.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,521.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,619.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,285.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,467.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,714,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1201.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,489.7,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,429.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,693,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,375.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,703.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,777,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,307.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1284.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1007,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,194.7,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,331.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,448.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,836,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,718.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,424,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,202.1,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,935,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,177.1,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,376.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,322,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,702,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,184.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,476,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,156.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,408.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,348.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,955.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,117.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,376.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,429,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,712.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,486,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,161.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,427.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,325.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,572,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,34.1,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,245.7,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,352,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1100,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,327.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,613.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,731,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,846.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,516,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,158.1,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,901.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,822.9,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,161.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,548.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,622.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,100.3,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1333.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1142.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,622.3,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,903,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,831.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,178.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,546.1,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,346.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,327.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,186,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,112.7,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1054.7,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,580,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1232.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,725.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,396.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,772.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,676.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,371.7,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,2226,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,672.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,329,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,452.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,98.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,228,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,262.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,783,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,615,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1193.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1071.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,406.7,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,336.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,130.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,184.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,916.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,157.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,246,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,745.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,529.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,170.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,452,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,558.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,731.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,532.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1091.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,350.7,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,742,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,744.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1388.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,163.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,644.1,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,790.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,70,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,440.3,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1338.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,345.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,736,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,479.4,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1105.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,959.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,691.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,63,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,162,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,402.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,631.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,225.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,564,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1303.9,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,562.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,494.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,240,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,171,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1224.3,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book;CUGR-FRD,14849.55,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,CUGR-FRD
Standard Cost Book;AMEL-FRD,11849.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,AMEL-FRD
Standard Cost Book;GAMD-FRD,8095.54,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,GAMD-FRD
Standard Cost Book,0,Standard Cost Book;true,,2025-01-01T20:00:00.000+0000,,
Standard Cost Book,200,Standard Cost Book;true,,2025-01-01T20:00:00.000+0000,,
Standard Cost Book,190,Standard Cost Book;true,,2025-01-01T20:00:00.000+0000,,
Standard Cost Book,270,Standard Cost Book;true,,2025-01-01T20:00:00.000+0000,,
Standard Cost Book,0,Standard Cost Book;true,,2025-01-01T20:00:00.000+0000,,
Standard Cost Book,50,Standard Cost Book;true,,2025-01-01T20:00:00.000+0000,,
Standard Cost Book,100,Standard Cost Book;true,,2025-01-01T20:00:00.000+0000,,
Standard Cost Book,75,Standard Cost Book;true,,2025-01-01T20:00:00.000+0000,,
