$$ProductCategory.Name$Product.StockKeepingUnit$Catalog.Code,Catalog.Name,Product.StockKeepingUnit,ProductCategory.$$Name$Catalog.Code$ParentCategory.Name
Solid State Drive;QB-SSD 30TB;CAT-QB-HW,Hardware,QB-SSD 30TB,Solid State Drive;CAT-QB-HW
Solid State Drive;QB-SSD 4TB;CAT-QB-HW,Hardware,QB-SSD 4TB,Solid State Drive;CAT-QB-HW
Solid State Drive;QB-SSD 8TB;CAT-QB-HW,Hardware,QB-SSD 8TB,Solid State Drive;CAT-QB-HW
Hardware Maintenance;QB-SUPP-1000;CAT-QB-HW,Hardware,QB-SUPP-1000,Hardware Maintenance;CAT-QB-HW
Maintenance;QB-SUPP-1000;CAT-QB-SFT,Software,QB-SUPP-1000,Maintenance;CAT-QB-SFT
Hardware Maintenance;QB-SUPP-1005;CAT-QB-HW,Hardware,QB-SUPP-1005,Hardware Maintenance;CAT-QB-HW
Maintenance;QB-SUPP-1005;CAT-QB-SFT,Software,QB-SUPP-1005,Maintenance;CAT-QB-SFT
Maintenance;QB-SUPP-2000;CAT-QB-SFT,Software,QB-SUPP-2000,Maintenance;CAT-QB-SFT
Training;QB-TRN-ESSNTLS;CAT-QB-SFT,Software,QB-TRN-ESSNTLS,Training;CAT-QB-SFT
Training;QB-TRN-FUND;CAT-QB-SFT,Software,QB-TRN-FUND,Training;CAT-QB-SFT
GPU;QB-VegaX200;CAT-QB-HW,Hardware,QB-VegaX200,GPU;CAT-QB-HW
PCIe;QB-VegaX200;CAT-QB-HW,Hardware,QB-VegaX200,PCIe;CAT-QB-HW
Subscription;TEST-SUB;CAT-QB-SFT,Software,TEST-SUB,Subscription;CAT-QB-SFT
