$$ProductClassification.Code$AttributeDefinition.Code$AttributeCategory.Code,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Code,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
Q-Rack PC;Available PCIe Slots;C. PCIe & Power,C. PCIe & Power,Available PCIe Slots,Available PCIe Slots,6,,,,false,false,true,false,,,,,Available PCIe Slots,Q-Rack PC,12,Active,,,
Q-Rack PC;bigDrive,,bigDrive,bigDrive,false,,,,true,false,false,false,,,,,bigDrive,Q-Rack PC,,Active,,,
Q-Rack PC;DIMM Type;A. General,A. General,DIMM Type,DIMM Type,3200MT/s RDIMMs,,,,false,false,false,false,,,,,DIMM Type,Q-Rack PC,4,Active,,,
Q-Rack PC;Dual;A. General,A. General,Dual,Socket Configuration,Single,,,,false,false,false,false,,,,,Socket Configuration,Q-Rack PC,3,Active,,,
Q-Rack PC;Front Storage;B. Storage,B. Storage,Front Storage,Front Storage,12x3.5 inch Drives,,,,false,false,false,false,,,,,Front Storage,Q-Rack PC,6,Active,,,
Q-Rack PC;Performance Tier;A. General,A. General,Performance Tier,Performance Tier,Standard,,,,false,false,false,false,,,,,Performance Tier,Q-Rack PC,1,Active,,,
Q-Rack PC;Power Draw (watts);C. PCIe & Power,C. PCIe & Power,Power Draw (watts),Power Draw (watts),0,,,,false,false,true,false,,,,,Power Draw (watts),Q-Rack PC,11,Active,,,
Q-Rack PC;RAID;B. Storage,B. Storage,RAID,RAID,N/A,,,,false,false,false,false,,,,,RAID,Q-Rack PC,,Active,,,
Q-Rack PC;Rear Storage;B. Storage,B. Storage,Rear Storage,Rear Storage,N/A,,,,false,false,false,false,,,,,Rear Storage,Q-Rack PC,7,Active,,,
Q-Rack PC;Redundancy;C. PCIe & Power,C. PCIe & Power,Redundancy,Redundancy,,,,,false,false,false,false,,,,,Redundancy,Q-Rack PC,10,Active,,,
Q-Rack PC;smallDrive,,smallDrive,smallDrive,false,,,,true,false,false,false,,,,,smallDrive,Q-Rack PC,,Active,,,
Q-Rack PC;Storage (TB);B. Storage,B. Storage,Storage (TB),Storage (TB),0,,,,false,false,true,false,,,,,Storage (TB),Q-Rack PC,,Active,6,,
Q-Rack PC;Storage Profile;B. Storage,B. Storage,Storage Profile,Storage Profile,Capacity,,,,false,false,false,false,,,,,Storage Profile,Q-Rack PC,5,Active,,,
Q-Rack PC;Workload;A. General,A. General,Workload,Workload,General,,,,false,true,false,false,,,,,Workload,Q-Rack PC,2,Active,,,
Q-Rack PC;x16 Lanes;C. PCIe & Power,C. PCIe & Power,x16 Lanes,x16 Lanes,4,,,,false,false,true,false,,,,,x16 Lanes,Q-Rack PC,14,Active,,,
Q-Rack PC;x8 Lanes;C. PCIe & Power,C. PCIe & Power,x8 Lanes,x8 Lanes,2,,,,false,false,true,false,,,,,x8 Lanes,Q-Rack PC,13,Active,,,
