Catalog.Code,IsPrimaryCategory,Product.StockKeepingUnit,ProductCategory.$$Code$Catalog.Code$ParentCategory.Code,ProductToCategory
CAT-QB-HW,false,QB-HD 1TB,CAT-QB-HW,01tWs000008vakX0ZGWs000000dRd4
CAT-QB-HW,false,QB-HD 4TB,CAT-QB-HW,01tWs000008vakY0ZGWs000000dRd4
CAT-QB-HW,false,QB-HD 8TB,CAT-QB-HW,01tWs000008vakZ0ZGWs000000dRd4
CAT-QB-HW,false,QB-HD 8TBSE,CAT-QB-HW,01tWs000008vaka0ZGWs000000dRd4
CAT-QB-HW,false,QB-INTEL E5-2609,CAT-QB-HW,01tWs000008vakc0ZGWs000000dRd8
CAT-QB-HW,false,QB-INTEL E5-2660,CAT-QB-HW,01tWs000008vakd0ZGWs000000dRd8
CAT-QB-HW,false,QB-INTEL E5-2667,CAT-QB-HW,01tWs000008vake0ZGWs000000dRd8
CAT-QB-HW,false,QB-INTEL E5-2683,CAT-QB-HW,01tWs000008vakf0ZGWs000000dRd8
CAT-QB-HW,false,QB-MEM 16GB,CAT-QB-HW,01tWs000008vakh0ZGWs000000dRd6
CAT-QB-HW,false,QB-MEM 32GB,CAT-QB-HW,01tWs000008vaki0ZGWs000000dRd6
CAT-QB-HW,false,QB-MEM 8GB,CAT-QB-HW,01tWs000008vakj0ZGWs000000dRd6
CAT-QB-HW,false,QB-NET X710,CAT-QB-HW,01tWs000008vakm0ZGWs000000dRd7
CAT-QB-SRV,false,QB-SRV-OG-PSH,CAT-QB-SRV,01tWs000008val40ZGWs000000dRdG
CAT-QB-SRV,false,QB-SRV-SOW,CAT-QB-SRV,01tWs000008valC0ZGWs000000dRdG
CAT-QB-HW,false,QB-SUPP-1000,CAT-QB-HW,01tWs000008valE0ZGWs000000dRd5
CAT-QB-SFT,false,QB-SUPP-1000,CAT-QB-SFT,01tWs000008valE0ZGWs000000dRdD
CAT-QB-HW,false,QB-SUPP-1005,CAT-QB-HW,01tWs000008valF0ZGWs000000dRd5
CAT-QB-SFT,false,QB-SUPP-1005,CAT-QB-SFT,01tWs000008valF0ZGWs000000dRdD
CAT-QB-SFT,false,QB-SUPP-2000,CAT-QB-SFT,01tWs000008valG0ZGWs000000dRdD
CAT-QB-SFT,false,QB-TRN-ESSNTLS,CAT-QB-SFT,01tWs000008valH0ZGWs000000dRdF
CAT-QB-SFT,false,QB-TRN-FUND,CAT-QB-SFT,01tWs000008valI0ZGWs000000dRdF
CAT-QB-SFT,false,TEST-SUB,CAT-QB-SFT,01tWs000008valM0ZGWs000000dRdE
CAT-QB-SFT,false,QB-DB-TOKEN,CAT-QB-SFT,01tWs00000A1e7J0ZGWs000000dRdC
CAT-QB-SFT,false,QB-CMT-TKN-EACH,CAT-QB-SFT,01tWs00000A1bnl0ZGWs000000dRdC
CAT-QB-SFT,false,QB-CMT-TKN-FLAT,CAT-QB-SFT,01tWs00000A1f9p0ZGWs000000dRdC
CAT-QB-SFT,false,QB-CMT-TKN-TIER,CAT-QB-SFT,01tWs00000A2yrx0ZGWs000000dRdC
CAT-QB-SFT,false,QB-QTY-CMT,CAT-QB-SFT,01tWs00000A2zHl0ZGWs000000dRdC
CAT-QB-SFT,false,QB-MTY-CMT,CAT-QB-SFT,01tWs00000A2zeL0ZGWs000000dRdC
