$$PriceAdjustmentSchedule.Name$Product2.StockKeepingUnit$ProductSellingModel.Name,AdjustmentType,CurrencyIsoCode,EffectiveFrom,EffectiveTo,LowerBound,PriceAdjustmentSchedule.$$Name$CurrencyIsoCode$Pricebook2.Name,PricingTerm,PricingTermUnit,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType,TierType,TierValue,UpperBound
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0593;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0593,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0757;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0757,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0757;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0757,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0757;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0757,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0921;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0921,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0921;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0921,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0921;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0921,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1085;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1085,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1085;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1085,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1085;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1085,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1249;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1249,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1249;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1249,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1249;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1249,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1413;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1413,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1413;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1413,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1413;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1413,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1577;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1577,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1577;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1577,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1577;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1577,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1741;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1741,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1741;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1741,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1741;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1741,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1905;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1905,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1905;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1905,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN1905;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN1905,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2069;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2069,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2069;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2069,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2069;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2069,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2233;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2233,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2233;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2233,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2233;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2233,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2397;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2397,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2397;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2397,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2397;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2397,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2561;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2561,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2561;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2561,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2561;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2561,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2725;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2725,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2725;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2725,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2725;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2725,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2889;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2889,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2889;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2889,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN2889;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN2889,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3053;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3053,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3053;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3053,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3053;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3053,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3217;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3217,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3217;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3217,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3217;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3217,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3381;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3381,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3381;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3381,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3381;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3381,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3545;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3545,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3545;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3545,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3545;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3545,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3709;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3709,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3709;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3709,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3709;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3709,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3873;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3873,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3873;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3873,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN3873;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN3873,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4037;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4037,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4037;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4037,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4037;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4037,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4201;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4201,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4201;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4201,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4201;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4201,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4365;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4365,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4365;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4365,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4365;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4365,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4529;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4529,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4529;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4529,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4529;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4529,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4693;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4693,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4693;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4693,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4693;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4693,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4857;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4857,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4857;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4857,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN4857;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN4857,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
