$$AttributeBasedAdjRule.Name$PriceAdjustmentSchedule.Name$Product.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,AdjustmentType,AdjustmentValue,AttributeAdjConditionsHash,AttributeBasedAdjRule.Name,AttributeCount,CurrencyIsoCode,EffectiveFrom,EffectiveTo,PriceAdjustmentSchedule.$$Name$CurrencyIsoCode$Pricebook2.Name,PricingTerm,PricingTermUnit,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType
Rule_1724814105445-QB-API-GEN0662;Standard Attribute Based Adjustment;QB-API-GEN0662;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN0662,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0662,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN0662;Standard Attribute Based Adjustment;QB-API-GEN0662;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN0662,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0662,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN0662;Standard Attribute Based Adjustment;QB-API-GEN0662;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN0662,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0662,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN0662;Standard Attribute Based Adjustment;QB-API-GEN0662;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN0662,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0662,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN0826;Standard Attribute Based Adjustment;QB-API-GEN0826;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN0826,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0826,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN0826;Standard Attribute Based Adjustment;QB-API-GEN0826;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN0826,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0826,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN0826;Standard Attribute Based Adjustment;QB-API-GEN0826;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN0826,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0826,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN0826;Standard Attribute Based Adjustment;QB-API-GEN0826;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN0826,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0826,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN0990;Standard Attribute Based Adjustment;QB-API-GEN0990;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN0990,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0990,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN0990;Standard Attribute Based Adjustment;QB-API-GEN0990;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN0990,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0990,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN0990;Standard Attribute Based Adjustment;QB-API-GEN0990;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN0990,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0990,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN0990;Standard Attribute Based Adjustment;QB-API-GEN0990;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN0990,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN0990,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN1154;Standard Attribute Based Adjustment;QB-API-GEN1154;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN1154,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1154,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN1154;Standard Attribute Based Adjustment;QB-API-GEN1154;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN1154,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1154,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN1154;Standard Attribute Based Adjustment;QB-API-GEN1154;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN1154,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1154,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN1154;Standard Attribute Based Adjustment;QB-API-GEN1154;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN1154,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1154,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN1318;Standard Attribute Based Adjustment;QB-API-GEN1318;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN1318,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1318,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN1318;Standard Attribute Based Adjustment;QB-API-GEN1318;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN1318,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1318,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN1318;Standard Attribute Based Adjustment;QB-API-GEN1318;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN1318,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1318,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN1318;Standard Attribute Based Adjustment;QB-API-GEN1318;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN1318,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1318,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN1482;Standard Attribute Based Adjustment;QB-API-GEN1482;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN1482,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1482,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN1482;Standard Attribute Based Adjustment;QB-API-GEN1482;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN1482,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1482,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN1482;Standard Attribute Based Adjustment;QB-API-GEN1482;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN1482,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1482,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN1482;Standard Attribute Based Adjustment;QB-API-GEN1482;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN1482,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1482,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN1646;Standard Attribute Based Adjustment;QB-API-GEN1646;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN1646,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1646,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN1646;Standard Attribute Based Adjustment;QB-API-GEN1646;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN1646,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1646,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN1646;Standard Attribute Based Adjustment;QB-API-GEN1646;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN1646,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1646,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN1646;Standard Attribute Based Adjustment;QB-API-GEN1646;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN1646,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1646,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN1810;Standard Attribute Based Adjustment;QB-API-GEN1810;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN1810,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1810,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN1810;Standard Attribute Based Adjustment;QB-API-GEN1810;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN1810,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1810,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN1810;Standard Attribute Based Adjustment;QB-API-GEN1810;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN1810,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1810,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN1810;Standard Attribute Based Adjustment;QB-API-GEN1810;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN1810,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1810,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN1974;Standard Attribute Based Adjustment;QB-API-GEN1974;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN1974,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1974,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN1974;Standard Attribute Based Adjustment;QB-API-GEN1974;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN1974,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1974,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN1974;Standard Attribute Based Adjustment;QB-API-GEN1974;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN1974,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1974,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN1974;Standard Attribute Based Adjustment;QB-API-GEN1974;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN1974,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1974,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN2138;Standard Attribute Based Adjustment;QB-API-GEN2138;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN2138,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2138,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN2138;Standard Attribute Based Adjustment;QB-API-GEN2138;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN2138,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2138,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN2138;Standard Attribute Based Adjustment;QB-API-GEN2138;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN2138,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2138,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN2138;Standard Attribute Based Adjustment;QB-API-GEN2138;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN2138,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2138,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN2302;Standard Attribute Based Adjustment;QB-API-GEN2302;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN2302,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2302,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN2302;Standard Attribute Based Adjustment;QB-API-GEN2302;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN2302,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2302,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN2302;Standard Attribute Based Adjustment;QB-API-GEN2302;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN2302,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2302,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN2302;Standard Attribute Based Adjustment;QB-API-GEN2302;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN2302,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2302,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN2466;Standard Attribute Based Adjustment;QB-API-GEN2466;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN2466,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2466,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN2466;Standard Attribute Based Adjustment;QB-API-GEN2466;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN2466,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2466,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN2466;Standard Attribute Based Adjustment;QB-API-GEN2466;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN2466,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2466,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN2466;Standard Attribute Based Adjustment;QB-API-GEN2466;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN2466,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2466,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN2630;Standard Attribute Based Adjustment;QB-API-GEN2630;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN2630,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2630,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814147720-QB-API-GEN2630;Standard Attribute Based Adjustment;QB-API-GEN2630;Term Annual;USD,Override,12000,52fc5df95d1bc853c4ca12f9a038570e,Rule_1724814147720-QB-API-GEN2630,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2630,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814176583-QB-API-GEN2630;Standard Attribute Based Adjustment;QB-API-GEN2630;Term Annual;USD,Override,15000,b3bc6a57eeb51736cedccead491c867a,Rule_1724814176583-QB-API-GEN2630,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2630,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814263993-QB-API-GEN2630;Standard Attribute Based Adjustment;QB-API-GEN2630;Term Annual;USD,Override,8500,2e51e6c156755240c96645871bb942f3,Rule_1724814263993-QB-API-GEN2630,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2630,Term Annual;TermDefined,Attribute,TermDefined
Rule_1724814105445-QB-API-GEN2794;Standard Attribute Based Adjustment;QB-API-GEN2794;Term Annual;USD,Override,10000,19bd3f21d5c78cf8d3de2cac7a5676f6,Rule_1724814105445-QB-API-GEN2794,1,USD,2023-01-01T08:00:00.000+0000,,Standard Attribute Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2794,Term Annual;TermDefined,Attribute,TermDefined
