$$Pricebook.Name$PricebookEntry.Name$Product.StockKeepingUnit$ContributingProduct.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,ContributingProduct.StockKeepingUnit,CurrencyIsoCode,DerivedPricingScope,EffectiveFrom,EffectiveTo,Formula,Pricebook.$$Name$IsStandard,PricebookEntry.$$Name$Pricebook2.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,PricingSource,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType
Standard Price Book;Software Maintenance-GEN3597;QB-SUPP-2000-GEN3597;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN3597;Standard Price Book;QB-SUPP-2000-GEN3597;Term Annual;USD,Product,QB-SUPP-2000-GEN3597,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN3597;QB-SUPP-2000-GEN3597;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN3597;Standard Price Book;QB-SUPP-2000-GEN3597;Term Annual;USD,Product,QB-SUPP-2000-GEN3597,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN3761;QB-SUPP-2000-GEN3761;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN3761;Standard Price Book;QB-SUPP-2000-GEN3761;Term Annual;USD,Product,QB-SUPP-2000-GEN3761,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN3761;QB-SUPP-2000-GEN3761;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN3761;Standard Price Book;QB-SUPP-2000-GEN3761;Term Annual;USD,Product,QB-SUPP-2000-GEN3761,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN3925;QB-SUPP-2000-GEN3925;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN3925;Standard Price Book;QB-SUPP-2000-GEN3925;Term Annual;USD,Product,QB-SUPP-2000-GEN3925,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN3925;QB-SUPP-2000-GEN3925;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN3925;Standard Price Book;QB-SUPP-2000-GEN3925;Term Annual;USD,Product,QB-SUPP-2000-GEN3925,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN4089;QB-SUPP-2000-GEN4089;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN4089;Standard Price Book;QB-SUPP-2000-GEN4089;Term Annual;USD,Product,QB-SUPP-2000-GEN4089,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN4089;QB-SUPP-2000-GEN4089;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN4089;Standard Price Book;QB-SUPP-2000-GEN4089;Term Annual;USD,Product,QB-SUPP-2000-GEN4089,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN4253;QB-SUPP-2000-GEN4253;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN4253;Standard Price Book;QB-SUPP-2000-GEN4253;Term Annual;USD,Product,QB-SUPP-2000-GEN4253,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN4253;QB-SUPP-2000-GEN4253;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN4253;Standard Price Book;QB-SUPP-2000-GEN4253;Term Annual;USD,Product,QB-SUPP-2000-GEN4253,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN4417;QB-SUPP-2000-GEN4417;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN4417;Standard Price Book;QB-SUPP-2000-GEN4417;Term Annual;USD,Product,QB-SUPP-2000-GEN4417,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN4417;QB-SUPP-2000-GEN4417;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN4417;Standard Price Book;QB-SUPP-2000-GEN4417;Term Annual;USD,Product,QB-SUPP-2000-GEN4417,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN4581;QB-SUPP-2000-GEN4581;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN4581;Standard Price Book;QB-SUPP-2000-GEN4581;Term Annual;USD,Product,QB-SUPP-2000-GEN4581,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN4581;QB-SUPP-2000-GEN4581;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN4581;Standard Price Book;QB-SUPP-2000-GEN4581;Term Annual;USD,Product,QB-SUPP-2000-GEN4581,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN4745;QB-SUPP-2000-GEN4745;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN4745;Standard Price Book;QB-SUPP-2000-GEN4745;Term Annual;USD,Product,QB-SUPP-2000-GEN4745,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN4745;QB-SUPP-2000-GEN4745;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN4745;Standard Price Book;QB-SUPP-2000-GEN4745;Term Annual;USD,Product,QB-SUPP-2000-GEN4745,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN4909;QB-SUPP-2000-GEN4909;QB-API;Term Annual;USD,QB-API,USD,Both,2024-10-01T16:26:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN4909;Standard Price Book;QB-SUPP-2000-GEN4909;Term Annual;USD,Product,QB-SUPP-2000-GEN4909,Term Annual;TermDefined
Standard Price Book;Software Maintenance-GEN4909;QB-SUPP-2000-GEN4909;QB-API-MGMT;Term Annual;USD,QB-API-MGMT,USD,Both,2024-10-01T16:25:00.000+0000,,"PERCENTAGE(TotalPrice,20)",Standard Price Book;true,Software Maintenance-GEN4909;Standard Price Book;QB-SUPP-2000-GEN4909;Term Annual;USD,Product,QB-SUPP-2000-GEN4909,Term Annual;TermDefined
