$$PriceAdjustmentSchedule.Name$Product.StockKeepingUnit$ParentProduct.StockKeepingUnit$RootBundle.StockKeepingUnit$ProductSellingModel.Name$ParentProductSellingModel.Name$RootProductSellingModel.Name$CurrencyIsoCode,AdjustmentType,AdjustmentValue,CurrencyIsoCode,EffectiveFrom,EffectiveTo,Name,ParentProduct.StockKeepingUnit,ParentProductSellingModel.$$Name$SellingModelType,PriceAdjustmentSchedule.$$Name$CurrencyIsoCode$Pricebook2.Name,PricingTerm,PricingTermUnit,Product.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,RootBundle.StockKeepingUnit,RootProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType
Standard Bundle Based Adjustment;QB-API-GEN1646;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1646,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN1686;QB-COMPLETE-GEN1686;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN1686,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN1686,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN1686;QB-COMPLETE-GEN1686;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN1686,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN1686,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN1810;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1810,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN1810;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1810,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN1850;QB-COMPLETE-GEN1850;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN1850,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN1850,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN1850;QB-COMPLETE-GEN1850;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN1850,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN1850,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN1974;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1974,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN1974;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN1974,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2014;QB-COMPLETE-GEN2014;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN2014,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2014,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2014;QB-COMPLETE-GEN2014;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN2014,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2014,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN2138;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2138,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN2138;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2138,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2178;QB-COMPLETE-GEN2178;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN2178,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2178,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2178;QB-COMPLETE-GEN2178;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN2178,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2178,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN2302;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2302,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN2302;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2302,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2342;QB-COMPLETE-GEN2342;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN2342,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2342,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2342;QB-COMPLETE-GEN2342;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN2342,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2342,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN2466;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2466,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN2466;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2466,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2506;QB-COMPLETE-GEN2506;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN2506,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2506,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2506;QB-COMPLETE-GEN2506;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN2506,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2506,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN2630;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2630,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN2630;QB-COMPLETE;QB-COMPLETE;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2630,Term Annual;TermDefined,QB-COMPLETE,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2670;QB-COMPLETE-GEN2670;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE-GEN2670,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2670,,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API;QB-COMPLETE-GEN2670;QB-COMPLETE-GEN2670;Term Annual;Term Annual;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000001,QB-COMPLETE-GEN2670,Term Annual;TermDefined,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API,Term Annual;TermDefined,QB-COMPLETE-GEN2670,Term Annual;TermDefined,Bundle,TermDefined
Standard Bundle Based Adjustment;QB-API-GEN2794;QB-COMPLETE;QB-COMPLETE;Term Annual;USD,Percentage,5,USD,2023-01-01T20:00:00.000+0000,,00000002,QB-COMPLETE,,Standard Bundle Based Adjustment;USD;Standard Price Book,1,Annual,QB-API-GEN2794,Term Annual;TermDefined,QB-COMPLETE,,Bundle,TermDefined
