CustomDecompositionScope,DecompositionScope,FulfillmentQtyCalcMethod,Name,StockKeepingUnit
,Account,Aggregate,Billing,QB-DRO-BILLING
Group_Identifier,Custom,AlwaysOne,License Activation,QB-DRO-LICACT
Ramp_Identifier,Custom,AlwaysOne,Order Processing,QB-DRO-OR
Ramp_Identifier,Custom,AlwaysOne,API Management License - Provisioning & Activation Service,QB-DRO-PERMS
,Account,,Project Service,QB-DRO-PROJ
Ramp_Identifier,Custom,AlwaysOne,Provision DB,QB-DRO-PROVISION
Group_Identifier,Custom,,QuantumBit Database - Provisioning & Activation Service,QB-DRO-QBD
,OrderLineItem,,Additional Flows - QB Enterprise,QB-FLO-ENTR
,OrderLineItem,,Additional Flows - QB Starter,QB-FLO-STRT
,,,QuantumBit Generative AI License,QB-GEN-AI-LIC
,,,1TB 10k RPM (2.5in),QB-HD 1.2TB
,OrderLineItem,,1TB 7.2k RPM NLSAS,QB-HD 1TB
,,,20TB 7.2k RPM NLSAS (3.5in),QB-HD 20TB
,,,3TB 10k RPM (2.5in),QB-HD 3TB
,OrderLineItem,,4TB 7.2k RPM NLSAS,QB-HD 4TB
,OrderLineItem,,8TB 7.2k RPM NLSAS,QB-HD 8TB
,OrderLineItem,,8TB 7.2k RPM Self-Encrypting NLSAS,QB-HD 8TBSE
,OrderLineItem,,Installation and Assembly,QB-INST-1000
,OrderLineItem,,Intel Xeon E5-2609 v4 1.7GHz,QB-INTEL E5-2609
,OrderLineItem,,Intel Xeon E5-2660 v4 2.0GHz,QB-INTEL E5-2660
,OrderLineItem,,Intel Xeon E5-2667 v4 3.2GHz,QB-INTEL E5-2667
,OrderLineItem,,Intel Xeon E5-2683 v4 2.1GHz,QB-INTEL E5-2683
,,,"Intel Xeon Gold 5318N 2.1GHz, 24C/48T",QB-INTEL-GOLD-5318N
,,,"Intel Xeon Gold 6330N 2.2GHz, 28C/56T",QB-INTEL-GOLD-6330N
,,,"Intel Xeon Gold 6354 3GHz, 18C/36T",QB-INTEL-GOLD-6354
,,,"Intel Xeon Platinum 8352M 2.3GHz, 32C/64T",QB-INTEL-PLAT-8352M
,,,"Intel Xeon Platinum 8352Y 2.2GHz, 32C/64T",QB-INTEL-PLAT-8352Y
,,,"Intel Xeon Platinum 8360Y 2.4GHz, 36C/72T",QB-INTEL-PLAT-8360Y
,,,"Intel Xeon Platinum 8368 2.4GHz, 38C/76T",QB-INTEL-PLAT-8368
,Order,,Cloud License (Monthly),QB-LIC-CLOUD
,,,QB Liquid Cooler,QB-LIQUIDCOOL
,,,128GB LRDIMM,QB-MEM 128GB
,OrderLineItem,,16GB RDIMM,QB-MEM 16GB
,OrderLineItem,,32GB RDIMM,QB-MEM 32GB
,,,64GB RDIMM,QB-MEM 64GB
,OrderLineItem,,8GB RDIMM,QB-MEM 8GB
,OrderLineItem,,Additional Messages - QB Enterprise,QB-MSG-ENTR
,OrderLineItem,,Additional Messages - QB Starter,QB-MSG-STRT
,,,QuantumBit Database (Monetary Commit),QB-MTY-CMT
,OrderLineItem,,Intel X710 Dual Port 10Gb Direct Attach,QB-NET X710
,,,QB-NetLink 100G Ultra,QB-NET-100G-ULTRA
,,,QB-NetLink 10G,QB-NET-10G
,,,QB-NetLink 25G,QB-NET-25G
,,,QB-NetSecure 10G,QB-NETSECURE-10G
,OrderLineItem,,No Operating System,QB-NO-OSYS
,,,QB-Accel NovaX150,QB-NovaX150
,,,QB-NVExpand 200,QB-NVExpand-200
,OrderLineItem,,"Rack PDU 20A, 120V L5-20",QB-PDU-2022
,OrderLineItem,,"Rack PDU 30A, 120V L5-20",QB-PDU-2023
,OrderLineItem,,"Rack PDU 15A, 120V L5-20",QB-PDU-2024
,OrderLineItem,,"Rack PDU 20A, 230V C20 input C1",QB-PDU-2025
,OrderLineItem,,"Rack PDU 10A, 230V C20 input C19",QB-PDU-2026
,OrderLineItem,,"Rack PDU 16A, 230V, C13 output",QB-PDU-2027
,OrderLineItem,,"Rack PDU 14.4kW, 208V, C13 output",QB-PDU-2028
,OrderLineItem,,"Rack PDU 5.7W, 208V, C13 output",QB-PDU-2029
,,,QB-PowerCore 1600S,QB-PWRCORE-1600S
,,,QB-PowerCore 500S,QB-PWRCORE-500S
,,,QB-PowerCore 800S,QB-PWRCORE-800S
,,,QB-PowerSafe 1000D,QB-PWRSAFE-1000D
,,,QB-PowerSafe 2000D,QB-PWRSAFE-2000D
,,,QB-PowerSafe 600D,QB-PWRSAFE-600D
,,,QuantumBit Q-Rack 750,QB-QRack-750
,,,QuantumBit Database (Quantity Commit),QB-QTY-CMT
,,,QB-RAIDForce 500,QB-RAID-500
,OrderLineItem,,Red Hat Enterprise Linux,QB-REDHAT
,OrderLineItem,,"QuantumBit Advisory Services, CSM Premium",QB-SRV-AS
,OrderLineItem,,Data Normalization Expert,QB-SRV-DNE
,OrderLineItem,,Implementation Engineer,QB-SRV-IMP
,OrderLineItem,,Integration Specialist Engineer,QB-SRV-ISE
,OrderLineItem,,Module Extension Engineer,QB-SRV-MEE
,OrderLineItem,,Professional Services - Associate Consultant Daily Rate,QB-SRV-OG-AC-PSH
,OrderLineItem,,Professional Services - Project Management Daily Rate,QB-SRV-OG-PM-PSH
,OrderLineItem,,Professional Services Daily Rate,QB-SRV-OG-PSH
,OrderLineItem,,Professional Service Hours (Consumption),QB-SRV-OG-PSHC
,OrderLineItem,,Program Director,QB-SRV-PD
,OrderLineItem,,Project Manager,QB-SRV-PMN
,OrderLineItem,,Premium Success Plan,QB-SRV-PRM-SP
,OrderLineItem,,Quality Assurance Engineer,QB-SRV-QAE
,OrderLineItem,,Quick Start Enablement,QB-SRV-QSE
,OrderLineItem,,Solutions Architect,QB-SRV-SAT
,OrderLineItem,,Professional Services Scope of Work,QB-SRV-SOW
,,,Q-Drive NVX 16TB,QB-SSD 16TB
,,,Q-Drive NVX 2TB,QB-SSD 2TB
,,,Q-Drive NVX Ultra 30TB,QB-SSD 30TB
,,,Q-Drive NVX 4TB,QB-SSD 4TB
,,,Q-Drive NVX 8TB,QB-SSD 8TB
,OrderLineItem,,Standard Success Plan,QB-STD-SP
,OrderLineItem,,Silver Hardware Maintenance,QB-SUPP-1000
,OrderLineItem,,Gold Hardware Maintenance,QB-SUPP-1005
,OrderLineItem,,Software Maintenance,QB-SUPP-2000
,,,Quantum Tokens Definition,QB-TOKEN-DEF
,,,QuantumBit Tokens Pack,QB-TOKENS-PACK
,OrderLineItem,,QuantumBit Essentials Training,QB-TRN-ESSNTLS
,OrderLineItem,,QuantumBit Fundamentals Training,QB-TRN-FUND
,,,QB-Accel VegaX200,QB-VegaX200
,OrderLineItem,,vSphere Desktop,QB-VMW-D
,OrderLineItem,,vSphere Enterprise,QB-VMW-E
,OrderLineItem,,vSphere Standard,QB-VMW-S
,,,USD Resource Definition Product,RES-USD-DEF
,OrderLineItem,,QuantumBit Subscription,TEST-SUB
