BasedOn.Code,CanRamp,ConfigureDuringSale,CurrencyIsoCode,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.$$Name$UnitCode$UnitOfMeasureClass.Code$UnitOfMeasureClass.Name
,false,Allowed,USD,"Rampable Usage Product. AT&T Mobile Plan , talk, text, and data in and between the U.S., Canada, and Mexico.",,Service,true,true,false,AT&T Mobile Plan,ATTMB001,,Commercial,ATTMB001,,
,false,Allowed,USD,Anchor Product,,Service,true,true,false,Cloud Storage Pro,CLOUD003,,Commercial,CLOUD003,,
,false,Allowed,USD,Anchor Product,,Service,true,true,false,API Access Premium,CLOUD001,,Commercial,CLOUD001,,
SFT001,true,Allowed,USD,Quickbooks Online product for SMB businesses.,,,true,true,false,Quickbooks Online,QBO0021,,Commercial,QBO0021,,
,false,Allowed,USD,Anchor Product with only one usage,,Service,true,true,false,Data Access Basic,CLOUD002,,Commercial,CLOUD002,,
,false,NotAllowed,USD,,,,true,true,false,Printer Maintenance,PM002,,Commercial,PM002,,
SEC001,false,Allowed,USD,Security Systems Surveillance,,,true,true,false,Security Systems Surveillance,SSS001,,Commercial,SSS001,,
TIM00001,false,Allowed,USD,"EasyDye is a fluorescent leak detection dye for air conditioning and refrigeration systems. It can quickly and easily be injected into a system to find refrigerant leaks anywhere in the system. It will work with all commercially available oils, and it is perfect for split systems, heat pumps, microchannel coils, packaged units and mini-splits.",,,true,true,false,EasyDye,TIM67542E,,Commercial,TIM67542E,,Litre;Litre;Litre;Litre
TIM00001,false,Allowed,USD,"Corrosion Inhibitor, Non Toxic, Amber, Metal Pail, Oily Amber Transparent Liquid, 10.3 pH, Flash Point (F) 315 Degrees F, .903 - .913 Specific Gravity, Ford Cup No. 4 / 30-45 Seconds, 70 Degrees F Viscosity Index, VOC Content 0.1, 10",,,true,true,false,Fluid Film Corrosion Inhibitor,TIM12367,,Commercial,TIM12367,,Litre;Litre;Litre;Litre
TIM00001,false,Allowed,USD,"Propylene Glycol USP/EP is a high-purity grade of monopropylene glycol, renowned for its versatility and safety. This clear, colorless, and nearly odorless liquid is water-soluble and hygroscopic, making it ideal for a wide range of applications.",,,true,true,false,Propylene Glycol,TIM235A7,,Commercial,TIM235A7,,Litre;Litre;Litre;Litre
TIM00001,false,Allowed,USD,"undle Composition:
Glycol-based (propylene glycol).
Contains corrosion inhibitors to protect system components.
Infused with dye for visibility and system monitoring.",,,true,true,false,Data Center Bundle,TIMB893AB45,,Commercial,TIMB893AB45,Bundle,Litre;Litre;Litre;Litre
TCM0091A4,false,Allowed,USD,Kyocera Thermal Compound is custom made with pure aluminium powder,,,true,true,false,Kyocera Thermal Compound,KTC677R,,Commercial,KTC677R,Bundle,Kilograms;KG
,false,Allowed,USD,"Purified Aluminium Powder, 99.99% Purity Metal aluminum.",,,true,true,false,Purified Aluminium Powder,PUP001A45,,Commercial,PUP001A45,,Grams;GRAMS;Grams;Grams
,false,Allowed,USD,Rust-prevention agent for tools and equipment.,,,true,true,false,Vaseline Gel,VIL8899089,,Commercial,VIL8899089,,Grams;GRAMS;Grams;Grams
SFT001,false,Allowed,USD,,,Service,true,true,false,Professional Services,ED001,,Commercial,ED001,,
SFT001,false,Allowed,USD,Learning Management Software- Enterprise Edition,,Software,true,true,false,SmartBytes Edu Enterprise,CLOUD004,,Commercial,CLOUD004,,
,true,Allowed,USD,Slack Productivity Software,,,true,true,false,Slack Yearly Subscription,SLKSRC002,,Commercial,SLKSRC002,,
,false,NotAllowed,USD,"Adaptors, cards, cases, data storage devices, input devices, networking accessories, docking stations, security devices and webcams that are used with Your Laptop",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnxjZ1g4DEG-O7e0e4NykbtJLxOUkwrcwBOhNU8MqWQQ&s,Miscellaneous,true,true,false,Laptop Accessories,LA001,,Commercial,LA001,Bundle,
,false,Allowed,USD,AT&T Mobile bundle product includes Mobile plan and SMS Add-on,,,true,true,false,AT&T Mobile Bundle,ATTM001,,Commercial,ATTM001,Bundle,
SFT001,false,NotAllowed,USD,"The all-new Office 365 lets you create, share, and collaborate all in one place with your favorite apps",https://images.app.goo.gl/fHGaq8vv1imgChgB6,Software,true,true,true,Office 365,OF001,,Commercial,OF001,,
,false,Allowed,USD,AT&T Add On for SMS on the mobile plans.,,,true,true,false,AT&T Add On for SMS,ATTSMS07,,Commercial,ATTSMS07,,
,false,,USD,This is Usage definition product. Should not come in Catalog.,,,true,true,false,API Access Premium Definition Product,DEF001,,Commercial,DEF001,,
,false,,USD,This is Usage definition product. Should not come in Catalog.,,Service,true,true,false,Data Storage,CO478,Each,Commercial,CO478,,Count;Count;SMS01;SMS
,false,,USD,This is Usage definition product. Should not come in Catalog.,,Service,true,true,false,API Calls,CO479,Each,Commercial,CO479,,Count;Count;SMS01;SMS
,false,,USD,This is Usage definition product. Should not come in Catalog.,,Software,true,true,false,Courses,CO480,Each,Commercial,CO480,,Count;Count;SMS01;SMS
,false,Allowed,USD,,,Software,true,true,false,Usage Test,,,Commercial,,,Litre;Litre;Litre;Litre
