$$Code$ParentProduct.StockKeepingUnit,Code,Description,MaxBundleComponents,MinBundleComponents,Name,ParentGroup.$$Code$ParentProduct.StockKeepingUnit,ParentProduct.StockKeepingUnit,Sequence
Cooling System Protection;FESBA-FRD,Cooling System Protection,#N/A,1,1,Cooling System Protection,Engine;FESBA-FRD,FESBA-FRD,27
Differential CT's;FESBA-FRD,Differential CT's,#N/A,99,0,Differential CT's,Alternator;FESBA-FRD,FESBA-FRD,33
Enclosure;FESBA-FRD,Enclosure,#N/A,1,1,Enclosure,Accessories;FESBA-FRD,FESBA-FRD,49
Engine;FESBA-FRD,Engine,#N/A,#N/A,#N/A,Engine,#N/A;#N/A,FESBA-FRD,3
Engine Model;FESBA-FRD,Engine Model,#N/A,1,1,Engine Model,Engine;FESBA-FRD,FESBA-FRD,17
Fuel Filter;FESBA-FRD,Fuel Filter,#N/A,1,1,Fuel Filter,Engine;FESBA-FRD,FESBA-FRD,23
Fuel System Options;FESBA-FRD,Fuel System Options,#N/A,99,0,Fuel System Options,Engine;FESBA-FRD,FESBA-FRD,22
General;FESBA-FRD,General,#N/A,#N/A,#N/A,General,#N/A;#N/A,FESBA-FRD,1
Heater;FESBA-FRD,Heater,#N/A,1,0,Heater,Alternator;FESBA-FRD,FESBA-FRD,28
Install & Misc;FESBA-FRD,Install & Misc,#N/A,#N/A,#N/A,Install & Misc,#N/A;#N/A,FESBA-FRD,7
Installation;FESBA-FRD,Installation,#N/A,#N/A,#N/A,Installation,Install & Misc;FESBA-FRD,FESBA-FRD,7
Literature Language;FESBA-FRD,Literature Language,#N/A,99,1,Literature Language,Services;FESBA-FRD,FESBA-FRD,47
Load Connections;FESBA-FRD,Load Connections,#N/A,4,0,Load Connections,Alternator;FESBA-FRD,FESBA-FRD,36
Main Alternator;FESBA-FRD,Main Alternator,#N/A,1,1,Main Alternator,Alternator;FESBA-FRD,FESBA-FRD,16
Misc;FESBA-FRD,Misc,#N/A,#N/A,#N/A,Misc,Install & Misc;FESBA-FRD,FESBA-FRD,2
Model;FESBA-FRD,Model,#N/A,1,1,Model,General;FESBA-FRD,FESBA-FRD,7
Oil System Options;FESBA-FRD,Oil System Options,#N/A,99,0,Oil System Options,Engine;FESBA-FRD,FESBA-FRD,21
Output Terminals;FESBA-FRD,Output Terminals,#N/A,1,0,Output Terminals,Alternator;FESBA-FRD,FESBA-FRD,31
Packing for Shipment;FESBA-FRD,Packing for Shipment,#N/A,1,1,Packing for Shipment,Services;FESBA-FRD,FESBA-FRD,48
PMG;FESBA-FRD,PMG,#N/A,1,1,PMG,Alternator;FESBA-FRD,FESBA-FRD,30
Primary Electrical Isolation Device Options;FESBA-FRD,Primary Electrical Isolation Device Options,#N/A,99,0,Primary Electrical Isolation Device Options,Alternator;FESBA-FRD,FESBA-FRD,39
Services;FESBA-FRD,Services,#N/A,#N/A,#N/A,Services,#N/A;#N/A,FESBA-FRD,5
Starter Motor;FESBA-FRD,Starter Motor,#N/A,1,1,Starter Motor,Engine;FESBA-FRD,FESBA-FRD,19
Temperature Sensors;FESBA-FRD,Temperature Sensors,#N/A,2,0,Temperature Sensors,Alternator;FESBA-FRD,FESBA-FRD,29
Testing;FESBA-FRD,Testing,#N/A,99,1,Testing,Services;FESBA-FRD,FESBA-FRD,46
Voltage Connection;FESBA-FRD,Voltage Connection,#N/A,1,1,Voltage Connection,General;FESBA-FRD,FESBA-FRD,15
Warranty;FESBA-FRD,Warranty,#N/A,1,1,Warranty,Services;FESBA-FRD,FESBA-FRD,45
CTM PCG;FUCEL,CTM PCG,#N/A,#N/A,#N/A,Cooling / Thermal Management,#N/A;#N/A,FUCEL,2
EC PCG;FUCEL,EC PCG,#N/A,#N/A,#N/A,Electrical / Control,#N/A;#N/A,FUCEL,3
FSS PCG;FUCEL,FSS PCG,#N/A,#N/A,#N/A,Fuel Supply / Storage,#N/A;#N/A,FUCEL,1
SWGB PCG;PCSWG,SWGB PCG,#N/A,99,1,Switchgear Bay,#N/A;#N/A,PCSWG,1
Included Entitlements;SC-GOLD,Included Entitlements,#N/A,#N/A,#N/A,Included Entitlements,#N/A;#N/A,SC-GOLD,10
Optional Entitlements;SC-GOLD,Optional Entitlements,#N/A,#N/A,#N/A,Optional Entitlements,#N/A;#N/A,SC-GOLD,20
