$$Product.StockKeepingUnit$RateCardEntry.Name$RateUnitOfMeasure.UnitCode$UsageResource.Code,AdjustmentType,AdjustmentValue,EffectiveFrom,EffectiveTo,LowerBound,Product.StockKeepingUnit,ProductSellingModel.Name,RateCardEntry.$$Product.StockKeepingUnit$RateCard.Name$UsageResource.Name,RateCardEntryStatus,RateUnitOfMeasure.Name,RateUnitOfMeasureName,UpperBound,UsageResource.Name
QB-DB;RCE-00000006;USD;UR-DATASTORAGE,Percentage,0,2024-10-01T19:00:00.000+0000,,1,QB-DB,Term Annual,QB-DB;Tier Rate Card;Data Storage,Active,USD,USD,100,Data Storage
QB-DB;RCE-00000006;USD;UR-DATASTORAGE,Override,12.5,2024-10-01T19:00:00.000+0000,,100,QB-DB,Term Annual,QB-DB;Tier Rate Card;Data Storage,Active,USD,USD,500,Data Storage
QB-MTY-CMT;RCE-00000022;USD;UR-DATASTORAGE,Percentage,10,2025-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;Data Storage,Active,USD,USD,,Data Storage
QB-MTY-CMT;RCE-00000023;USD;UR-CPUTIME,Percentage,5,2025-01-01T20:00:00.000+0000,,0,QB-MTY-CMT,Term Annual,QB-MTY-CMT;Tier Rate Card;Compute Time,Active,USD,USD,,Compute Time
QB-QTY-CMT;RCE-00000020;USD;UR-CPUTIME,Percentage,10,2025-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;Compute Time,Active,USD,USD,,Compute Time
QB-QTY-CMT;RCE-00000021;USD;UR-DATASTORAGE,Percentage,20,2025-01-01T20:00:00.000+0000,,0,QB-QTY-CMT,Term Annual,QB-QTY-CMT;Tier Rate Card;Data Storage,Active,USD,USD,,Data Storage
SMSAU;RCE-00000030;USD;UR-SMS,Override,0.03,2024-10-01T19:00:00.000+0000,,5001,SMSAU,Term Monthly,SMSAU;Tier Rate Card;SMS Messages,Active,USD,USD,,SMS Messages
SMSAU;RCE-00000030;USD;UR-SMS,Override,0.04,2024-10-01T19:00:00.000+0000,,1000,SMSAU,Term Monthly,SMSAU;Tier Rate Card;SMS Messages,Active,USD,USD,5000,SMS Messages
SMSUS;RCE-00000029;USD;UR-SMS,Percentage,10,2024-10-01T19:00:00.000+0000,,5001,SMSUS,Term Monthly,SMSUS;Tier Rate Card;SMS Messages,Active,USD,USD,,SMS Messages
SMSUS;RCE-00000029;USD;UR-SMS,Percentage,5,2024-10-01T19:00:00.000+0000,,1000,SMSUS,Term Monthly,SMSUS;Tier Rate Card;SMS Messages,Active,USD,USD,5000,SMS Messages
