$$Name$Pricebook2.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
8TB 7.2k RPM NLSAS;Standard Price Book;QB-HD 8TB;One-Time;USD,USD,true,false,8TB 7.2k RPM NLSAS,Standard Price Book;true,QB-HD 8TB,One-Time;OneTime,999
8TB 7.2k RPM Self-Encrypting NLSAS;Standard Price Book;QB-HD 8TBSE;One-Time;USD,USD,true,false,8TB 7.2k RPM Self-Encrypting NLSAS,Standard Price Book;true,QB-HD 8TBSE,One-Time;OneTime,1199
Additional API;Standard Price Book;QB-API;Evergreen Monthly;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Evergreen Monthly;Evergreen,2000
Additional API;Standard Price Book;QB-API;Term Annual;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Term Annual;TermDefined,15000
Additional API;Standard Price Book;QB-API;Term Monthly;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Term Monthly;TermDefined,1500
Additional API Flex (100M);Standard Price Book;QB-API-FLEX;Term Annual;USD,USD,true,false,Additional API Flex (100M),Standard Price Book;true,QB-API-FLEX,Term Annual;TermDefined,450
Additional API Gov;Standard Price Book;QB-API-GOVT;Term Annual;USD,USD,true,false,Additional API Gov,Standard Price Book;true,QB-API-GOVT,Term Annual;TermDefined,1450
Additional API Pre-Prod;Standard Price Book;QB-API-PREP;Term Annual;USD,USD,true,false,Additional API Pre-Prod,Standard Price Book;true,QB-API-PREP,Term Annual;TermDefined,3240
Additional API Prod;Standard Price Book;QB-API-PROD;Term Annual;USD,USD,true,false,Additional API Prod,Standard Price Book;true,QB-API-PROD,Term Annual;TermDefined,3240
Additional Automation QB Credits;Standard Price Book;QB-AUT-CRED;Evergreen Monthly;USD,USD,true,false,Additional Automation QB Credits,Standard Price Book;true,QB-AUT-CRED,Evergreen Monthly;Evergreen,2.5
Additional Automation QB Credits;Standard Price Book;QB-AUT-CRED;Term Annual;USD,USD,true,false,Additional Automation QB Credits,Standard Price Book;true,QB-AUT-CRED,Term Annual;TermDefined,25
Additional Automation QB Credits;Standard Price Book;QB-AUT-CRED;Term Monthly;USD,USD,true,false,Additional Automation QB Credits,Standard Price Book;true,QB-AUT-CRED,Term Monthly;TermDefined,2
Additional Data Throughput;Standard Price Book;QB-DAT-THPT;Evergreen Monthly;USD,USD,true,false,Additional Data Throughput,Standard Price Book;true,QB-DAT-THPT,Evergreen Monthly;Evergreen,0
Additional Data Throughput;Standard Price Book;QB-DAT-THPT;Term Annual;USD,USD,true,false,Additional Data Throughput,Standard Price Book;true,QB-DAT-THPT,Term Annual;TermDefined,0
Additional Data Throughput;Standard Price Book;QB-DAT-THPT;Term Monthly;USD,USD,true,false,Additional Data Throughput,Standard Price Book;true,QB-DAT-THPT,Term Monthly;TermDefined,0
Additional Flows - QB Starter;Standard Price Book;QB-FLO-STRT;Evergreen Monthly;USD,USD,true,false,Additional Flows - QB Starter,Standard Price Book;true,QB-FLO-STRT,Evergreen Monthly;Evergreen,2000
Additional Flows - QB Starter;Standard Price Book;QB-FLO-STRT;Term Annual;USD,USD,true,false,Additional Flows - QB Starter,Standard Price Book;true,QB-FLO-STRT,Term Annual;TermDefined,24000
Additional Flows - QB Starter;Standard Price Book;QB-FLO-STRT;Term Monthly;USD,USD,true,false,Additional Flows - QB Starter,Standard Price Book;true,QB-FLO-STRT,Term Monthly;TermDefined,1500
Additional Messages - QB Starter;Standard Price Book;QB-MSG-STRT;Evergreen Monthly;USD,USD,true,false,Additional Messages - QB Starter,Standard Price Book;true,QB-MSG-STRT,Evergreen Monthly;Evergreen,3500
Additional Messages - QB Starter;Standard Price Book;QB-MSG-STRT;Term Annual;USD,USD,true,false,Additional Messages - QB Starter,Standard Price Book;true,QB-MSG-STRT,Term Annual;TermDefined,30000
Additional Messages - QB Starter;Standard Price Book;QB-MSG-STRT;Term Monthly;USD,USD,true,false,Additional Messages - QB Starter,Standard Price Book;true,QB-MSG-STRT,Term Monthly;TermDefined,3000
Additional QB DataGraph (500M);Standard Price Book;QB-DAT-GRPH;Term Annual;USD,USD,true,false,Additional QB DataGraph (500M),Standard Price Book;true,QB-DAT-GRPH,Term Annual;TermDefined,25000
AI Help Desk;Standard Price Book;AI Help Desk;Term Annual;USD,USD,true,false,AI Help Desk,Standard Price Book;true,AI Help Desk,Term Annual;TermDefined,0
API Access Requests (AEH);Standard Price Book;QB-API-REQT;Evergreen Monthly;USD,USD,true,false,API Access Requests (AEH),Standard Price Book;true,QB-API-REQT,Evergreen Monthly;Evergreen,5
API Access Requests (AEH);Standard Price Book;QB-API-REQT;Term Annual;USD,USD,true,false,API Access Requests (AEH),Standard Price Book;true,QB-API-REQT,Term Annual;TermDefined,45
API Access Requests (AEH);Standard Price Book;QB-API-REQT;Term Monthly;USD,USD,true,false,API Access Requests (AEH),Standard Price Book;true,QB-API-REQT,Term Monthly;TermDefined,5
Bulk Emails Sent;Standard Price Book;BES;Term Annual;USD,USD,true,false,Bulk Emails Sent,Standard Price Book;true,BES,Term Annual;TermDefined,24
Bulk Emails Sent;Standard Price Book;BES;Term Monthly;USD,USD,true,false,Bulk Emails Sent,Standard Price Book;true,BES,Term Monthly;TermDefined,2
Bulk WhatsApp Sent;Standard Price Book;BWS;Term Annual;USD,USD,true,false,Bulk WhatsApp Sent,Standard Price Book;true,BWS,Term Annual;TermDefined,0
Bulk WhatsApp Sent;Standard Price Book;BWS;Term Monthly;USD,USD,true,false,Bulk WhatsApp Sent,Standard Price Book;true,BWS,Term Monthly;TermDefined,0
C13 to C14 Power Cable 3';Standard Price Book;QB-CMPC-5887;One-Time;USD,USD,true,false,C13 to C14 Power Cable 3',Standard Price Book;true,QB-CMPC-5887,One-Time;OneTime,250
Cloud License (Monthly);Standard Price Book;QB-LIC-CLOUD;Term Annual;USD,USD,true,false,Cloud License (Monthly),Standard Price Book;true,QB-LIC-CLOUD,Term Annual;TermDefined,550
Configured Power Cable;Standard Price Book;QB-CMPC-5882;One-Time;USD,USD,true,false,Configured Power Cable,Standard Price Book;true,QB-CMPC-5882,One-Time;OneTime,249
Data Normalization Expert;Standard Price Book;QB-SRV-DNE;One-Time;USD,USD,true,false,Data Normalization Expert,Standard Price Book;true,QB-SRV-DNE,One-Time;OneTime,300
Full Seats;Standard Price Book;FS-5;Term Annual;USD,USD,true,false,Full Seats,Standard Price Book;true,FS-5,Term Annual;TermDefined,1000
Full Seats;Standard Price Book;FS-5;Term Monthly;USD,USD,true,false,Full Seats,Standard Price Book;true,FS-5,Term Monthly;TermDefined,99
Gold Hardware Maintenance;Standard Price Book;QB-SUPP-1005;Term Annual;USD,USD,true,false,Gold Hardware Maintenance,Standard Price Book;true,QB-SUPP-1005,Term Annual;TermDefined,30000
Implementation Engineer;Standard Price Book;QB-SRV-IMP;One-Time;USD,USD,true,false,Implementation Engineer,Standard Price Book;true,QB-SRV-IMP,One-Time;OneTime,300
Integration Specialist Engineer;Standard Price Book;QB-SRV-ISE;One-Time;USD,USD,true,false,Integration Specialist Engineer,Standard Price Book;true,QB-SRV-ISE,One-Time;OneTime,350
Intel X710 Dual Port 10Gb Direct Attach;Standard Price Book;QB-NET X710;One-Time;USD,USD,true,false,Intel X710 Dual Port 10Gb Direct Attach,Standard Price Book;true,QB-NET X710,One-Time;OneTime,1599
Intel X710 Dual Port 10Gb SFP;Standard Price Book;QB-BET X710SFP;One-Time;USD,USD,true,false,Intel X710 Dual Port 10Gb SFP,Standard Price Book;true,QB-BET X710SFP,One-Time;OneTime,1599
Intel Xeon E5-2609 v4 1.7GHz;Standard Price Book;QB-INTEL E5-2609;One-Time;USD,USD,true,false,Intel Xeon E5-2609 v4 1.7GHz,Standard Price Book;true,QB-INTEL E5-2609,One-Time;OneTime,1499
Intel Xeon E5-2660 v4 2.0GHz;Standard Price Book;QB-INTEL E5-2660;One-Time;USD,USD,true,false,Intel Xeon E5-2660 v4 2.0GHz,Standard Price Book;true,QB-INTEL E5-2660,One-Time;OneTime,1699
Intel Xeon E5-2667 v4 3.2GHz;Standard Price Book;QB-INTEL E5-2667;One-Time;USD,USD,true,false,Intel Xeon E5-2667 v4 3.2GHz,Standard Price Book;true,QB-INTEL E5-2667,One-Time;OneTime,2499
Intel Xeon E5-2683 v4 2.1GHz;Standard Price Book;QB-INTEL E5-2683;One-Time;USD,USD,true,false,Intel Xeon E5-2683 v4 2.1GHz,Standard Price Book;true,QB-INTEL E5-2683,One-Time;OneTime,1399
"Intel Xeon Gold 5318N 2.1GHz, 24C/48T;Standard Price Book;QB-INTEL-GOLD-5318N;One-Time;USD",USD,true,false,"Intel Xeon Gold 5318N 2.1GHz, 24C/48T",Standard Price Book;true,QB-INTEL-GOLD-5318N,One-Time;OneTime,1999
"Intel Xeon Gold 6330N 2.2GHz, 28C/56T;Standard Price Book;QB-INTEL-GOLD-6330N;One-Time;USD",USD,true,false,"Intel Xeon Gold 6330N 2.2GHz, 28C/56T",Standard Price Book;true,QB-INTEL-GOLD-6330N,One-Time;OneTime,2149
"Intel Xeon Gold 6354 3GHz, 18C/36T;Standard Price Book;QB-INTEL-GOLD-6354;One-Time;USD",USD,true,false,"Intel Xeon Gold 6354 3GHz, 18C/36T",Standard Price Book;true,QB-INTEL-GOLD-6354,One-Time;OneTime,3300
"Intel Xeon Platinum 8352M 2.3GHz, 32C/64T;Standard Price Book;QB-INTEL-PLAT-8352M;One-Time;USD",USD,true,false,"Intel Xeon Platinum 8352M 2.3GHz, 32C/64T",Standard Price Book;true,QB-INTEL-PLAT-8352M,One-Time;OneTime,2000
"Intel Xeon Platinum 8352Y 2.2GHz, 32C/64T;Standard Price Book;QB-INTEL-PLAT-8352Y;One-Time;USD",USD,true,false,"Intel Xeon Platinum 8352Y 2.2GHz, 32C/64T",Standard Price Book;true,QB-INTEL-PLAT-8352Y,One-Time;OneTime,2500
"Intel Xeon Platinum 8360Y 2.4GHz, 36C/72T;Standard Price Book;QB-INTEL-PLAT-8360Y;One-Time;USD",USD,true,false,"Intel Xeon Platinum 8360Y 2.4GHz, 36C/72T",Standard Price Book;true,QB-INTEL-PLAT-8360Y,One-Time;OneTime,2800
"Intel Xeon Platinum 8368 2.4GHz, 38C/76T;Standard Price Book;QB-INTEL-PLAT-8368;One-Time;USD",USD,true,false,"Intel Xeon Platinum 8368 2.4GHz, 38C/76T",Standard Price Book;true,QB-INTEL-PLAT-8368,One-Time;OneTime,2950
Intercom Phone;Standard Price Book;IP-123;Term Annual;USD,USD,true,false,Intercom Phone,Standard Price Book;true,IP-123,Term Annual;TermDefined,0
Intercom Phone;Standard Price Book;IP-123;Term Monthly;USD,USD,true,false,Intercom Phone,Standard Price Book;true,IP-123,Term Monthly;TermDefined,0
Intercom Pricing 5.0;Standard Price Book;IC-50;Term Annual;USD,USD,true,false,Intercom Pricing 5.0,Standard Price Book;true,IC-50,Term Annual;TermDefined,0
Lite Seats;Standard Price Book;LS-5;Term Annual;USD,USD,true,false,Lite Seats,Standard Price Book;true,LS-5,Term Annual;TermDefined,0
Lite Seats;Standard Price Book;LS-5;Term Monthly;USD,USD,true,false,Lite Seats,Standard Price Book;true,LS-5,Term Monthly;TermDefined,0
Module Extension Engineer;Standard Price Book;QB-SRV-MEE;One-Time;USD,USD,true,false,Module Extension Engineer,Standard Price Book;true,QB-SRV-MEE,One-Time;OneTime,300
PowerSwerve R750 Rack Server;Standard Price Book;QB-BDL-R750;One-Time;USD,USD,true,false,PowerSwerve R750 Rack Server,Standard Price Book;true,QB-BDL-R750,One-Time;OneTime,3899
Proactive Support Plus;Standard Price Book;PSP;Term Annual;USD,USD,true,false,Proactive Support Plus,Standard Price Book;true,PSP,Term Annual;TermDefined,0
Professional Services Daily Rate;Standard Price Book;QB-SRV-OG-PSH;One-Time;USD,USD,true,false,Professional Services Daily Rate,Standard Price Book;true,QB-SRV-OG-PSH,One-Time;OneTime,250
Professional Services Scope of Work;Standard Price Book;QB-SRV-SOW;One-Time;USD,USD,true,false,Professional Services Scope of Work,Standard Price Book;true,QB-SRV-SOW,One-Time;OneTime,25000
Program Director;Standard Price Book;QB-SRV-PD;One-Time;USD,USD,true,false,Program Director,Standard Price Book;true,QB-SRV-PD,One-Time;OneTime,350
Project Manager;Standard Price Book;QB-SRV-PMN;One-Time;USD,USD,true,false,Project Manager,Standard Price Book;true,QB-SRV-PMN,One-Time;OneTime,300
Q-Drive NVX 16TB;Standard Price Book;QB-SSD 16TB;One-Time;USD,USD,true,false,Q-Drive NVX 16TB,Standard Price Book;true,QB-SSD 16TB,One-Time;OneTime,1200
Q-Drive NVX 2TB;Standard Price Book;QB-SSD 2TB;One-Time;USD,USD,true,false,Q-Drive NVX 2TB,Standard Price Book;true,QB-SSD 2TB,One-Time;OneTime,150
Q-Drive NVX 4TB;Standard Price Book;QB-SSD 4TB;One-Time;USD,USD,true,false,Q-Drive NVX 4TB,Standard Price Book;true,QB-SSD 4TB,One-Time;OneTime,225
Q-Drive NVX 8TB;Standard Price Book;QB-SSD 8TB;One-Time;USD,USD,true,false,Q-Drive NVX 8TB,Standard Price Book;true,QB-SSD 8TB,One-Time;OneTime,580
Q-Drive NVX Ultra 30TB;Standard Price Book;QB-SSD 30TB;One-Time;USD,USD,true,false,Q-Drive NVX Ultra 30TB,Standard Price Book;true,QB-SSD 30TB,One-Time;OneTime,2500
QB API Management Solution;Standard Price Book;QB-API-MGMT;Evergreen Monthly;USD,USD,true,false,QB API Management Solution,Standard Price Book;true,QB-API-MGMT,Evergreen Monthly;Evergreen,1000
QB API Management Solution;Standard Price Book;QB-API-MGMT;Term Annual;USD,USD,true,false,QB API Management Solution,Standard Price Book;true,QB-API-MGMT,Term Annual;TermDefined,12000
QB API Management Solution;Standard Price Book;QB-API-MGMT;Term Monthly;USD,USD,true,false,QB API Management Solution,Standard Price Book;true,QB-API-MGMT,Term Monthly;TermDefined,1000
QB CPU Heat Sink;Standard Price Book;QB-CPU-HEATSINK;One-Time;USD,USD,true,false,QB CPU Heat Sink,Standard Price Book;true,QB-CPU-HEATSINK,One-Time;OneTime,35
QB Liquid Cooler;Standard Price Book;QB-LIQUIDCOOL;One-Time;USD,USD,true,false,QB Liquid Cooler,Standard Price Book;true,QB-LIQUIDCOOL,One-Time;OneTime,250
QB-Accel NovaX150;Standard Price Book;QB-NovaX150;One-Time;USD,USD,true,false,QB-Accel NovaX150,Standard Price Book;true,QB-NovaX150,One-Time;OneTime,9800
QB-Accel VegaX200;Standard Price Book;QB-VegaX200;One-Time;USD,USD,true,false,QB-Accel VegaX200,Standard Price Book;true,QB-VegaX200,One-Time;OneTime,15000
QB-CacheBoost 150;Standard Price Book;QB-CBOOST-150;One-Time;USD,USD,true,false,QB-CacheBoost 150,Standard Price Book;true,QB-CBOOST-150,One-Time;OneTime,389
QB-NetLink 100G Ultra;Standard Price Book;QB-NET-100G-ULTRA;One-Time;USD,USD,true,false,QB-NetLink 100G Ultra,Standard Price Book;true,QB-NET-100G-ULTRA,One-Time;OneTime,700
QB-NetLink 10G;Standard Price Book;QB-NET-10G;One-Time;USD,USD,true,false,QB-NetLink 10G,Standard Price Book;true,QB-NET-10G,One-Time;OneTime,220
QB-NetLink 25G;Standard Price Book;QB-NET-25G;One-Time;USD,USD,true,false,QB-NetLink 25G,Standard Price Book;true,QB-NET-25G,One-Time;OneTime,450
QB-NetSecure 10G;Standard Price Book;QB-NETSECURE-10G;One-Time;USD,USD,true,false,QB-NetSecure 10G,Standard Price Book;true,QB-NETSECURE-10G,One-Time;OneTime,500
QB-NVExpand 200;Standard Price Book;QB-NVExpand-200;One-Time;USD,USD,true,false,QB-NVExpand 200,Standard Price Book;true,QB-NVExpand-200,One-Time;OneTime,475
QB-PowerCore 1600S;Standard Price Book;QB-PWRCORE-1600S;One-Time;USD,USD,true,false,QB-PowerCore 1600S,Standard Price Book;true,QB-PWRCORE-1600S,One-Time;OneTime,599
QB-PowerCore 500S;Standard Price Book;QB-PWRCORE-500S;One-Time;USD,USD,true,false,QB-PowerCore 500S,Standard Price Book;true,QB-PWRCORE-500S,One-Time;OneTime,299
QB-PowerCore 800S;Standard Price Book;QB-PWRCORE-800S;One-Time;USD,USD,true,false,QB-PowerCore 800S,Standard Price Book;true,QB-PWRCORE-800S,One-Time;OneTime,489
QB-PowerSafe 1000D;Standard Price Book;QB-PWRSAFE-1000D;One-Time;USD,USD,true,false,QB-PowerSafe 1000D,Standard Price Book;true,QB-PWRSAFE-1000D,One-Time;OneTime,700
QB-PowerSafe 2000D;Standard Price Book;QB-PWRSAFE-2000D;One-Time;USD,USD,true,false,QB-PowerSafe 2000D,Standard Price Book;true,QB-PWRSAFE-2000D,One-Time;OneTime,1850
QB-PowerSafe 600D;Standard Price Book;QB-PWRSAFE-600D;One-Time;USD,USD,true,false,QB-PowerSafe 600D,Standard Price Book;true,QB-PWRSAFE-600D,One-Time;OneTime,450
QB-RAIDForce 500;Standard Price Book;QB-RAID-500;One-Time;USD,USD,true,false,QB-RAIDForce 500,Standard Price Book;true,QB-RAID-500,One-Time;OneTime,620
Quality Assurance Engineer;Standard Price Book;QB-SRV-QAE;One-Time;USD,USD,true,false,Quality Assurance Engineer,Standard Price Book;true,QB-SRV-QAE,One-Time;OneTime,300
QuantumBit Collaboration Suite;Standard Price Book;QB-CS;Term Annual;USD,USD,true,false,QuantumBit Collaboration Suite,Standard Price Book;true,QB-CS,Term Annual;TermDefined,0
QuantumBit Collaboration Suite;Standard Price Book;QB-CS;Term Monthly;USD,USD,true,false,QuantumBit Collaboration Suite,Standard Price Book;true,QB-CS,Term Monthly;TermDefined,0
QuantumBit Complete Solution;Standard Price Book;QB-COMPLETE;Evergreen Monthly;USD,USD,true,false,QuantumBit Complete Solution,Standard Price Book;true,QB-COMPLETE,Evergreen Monthly;Evergreen,0
QuantumBit Complete Solution;Standard Price Book;QB-COMPLETE;One-Time;USD,USD,true,false,QuantumBit Complete Solution,Standard Price Book;true,QB-COMPLETE,One-Time;OneTime,0
QuantumBit Complete Solution;Standard Price Book;QB-COMPLETE;Term Annual;USD,USD,true,false,QuantumBit Complete Solution,Standard Price Book;true,QB-COMPLETE,Term Annual;TermDefined,0
QuantumBit Complete Solution;Standard Price Book;QB-COMPLETE;Term Monthly;USD,USD,true,false,QuantumBit Complete Solution,Standard Price Book;true,QB-COMPLETE,Term Monthly;TermDefined,0
QuantumBit Database;Standard Price Book;QB-DB;Term Annual;USD,USD,true,false,QuantumBit Database,Standard Price Book;true,QB-DB,Term Annual;TermDefined,12000
QuantumBit Database (Monetary Commit);Standard Price Book;QB-MTY-CMT;Term Annual;USD,USD,true,false,QuantumBit Database (Monetary Commit),Standard Price Book;true,QB-MTY-CMT,Term Annual;TermDefined,8000
QuantumBit Database (Quantity Commit);Standard Price Book;QB-QTY-CMT;Term Annual;USD,USD,true,false,QuantumBit Database (Quantity Commit),Standard Price Book;true,QB-QTY-CMT,Term Annual;TermDefined,500
QuantumBit Database (Token Based);Standard Price Book;QB-DB-TOKEN;Term Annual;USD,USD,true,false,QuantumBit Database (Token Based),Standard Price Book;true,QB-DB-TOKEN,Term Annual;TermDefined,12000
QuantumBit Database (Token Commit - Each);Standard Price Book;QB-CMT-TKN-EACH;Term Annual;USD,USD,true,false,QuantumBit Database (Token Commit - Each),Standard Price Book;true,QB-CMT-TKN-EACH,Term Annual;TermDefined,1000
QuantumBit Database (Token Commit - Flat);Standard Price Book;QB-CMT-TKN-FLAT;Term Annual;USD,USD,true,false,QuantumBit Database (Token Commit - Flat),Standard Price Book;true,QB-CMT-TKN-FLAT,Term Annual;TermDefined,1000
QuantumBit Database (Token Commit - Tier);Standard Price Book;QB-CMT-TKN-TIER;Term Annual;USD,USD,true,false,QuantumBit Database (Token Commit - Tier),Standard Price Book;true,QB-CMT-TKN-TIER,Term Annual;TermDefined,1000
QuantumBit Essentials Training;Standard Price Book;QB-TRN-ESSNTLS;One-Time;USD,USD,true,false,QuantumBit Essentials Training,Standard Price Book;true,QB-TRN-ESSNTLS,One-Time;OneTime,8500
QuantumBit Fundamentals Training;Standard Price Book;QB-TRN-FUND;One-Time;USD,USD,true,false,QuantumBit Fundamentals Training,Standard Price Book;true,QB-TRN-FUND,One-Time;OneTime,6500
QuantumBit Generative AI License;Standard Price Book;QB-GEN-AI-LIC;Term Annual;USD,USD,true,false,QuantumBit Generative AI License,Standard Price Book;true,QB-GEN-AI-LIC,Term Annual;TermDefined,149.99
QuantumBit Q-Rack 750;Standard Price Book;QB-QRack-750;One-Time;USD,USD,true,false,QuantumBit Q-Rack 750,Standard Price Book;true,QB-QRack-750,One-Time;OneTime,3980
QuantumBit Starter;Standard Price Book;QB-BDL-STND;One-Time;USD,USD,true,false,QuantumBit Starter,Standard Price Book;true,QB-BDL-STND,One-Time;OneTime,0
QuantumBit Subscription;Standard Price Book;TEST-SUB;Evergreen Annual;USD,USD,true,false,QuantumBit Subscription,Standard Price Book;true,TEST-SUB,Evergreen Annual;Evergreen,420
QuantumBit Subscription;Standard Price Book;TEST-SUB;Evergreen Monthly;USD,USD,true,false,QuantumBit Subscription,Standard Price Book;true,TEST-SUB,Evergreen Monthly;Evergreen,35
QuantumBit Subscription;Standard Price Book;TEST-SUB;Term Annual;USD,USD,true,false,QuantumBit Subscription,Standard Price Book;true,TEST-SUB,Term Annual;TermDefined,360
QuantumBit Subscription;Standard Price Book;TEST-SUB;Term Monthly;USD,USD,true,false,QuantumBit Subscription,Standard Price Book;true,TEST-SUB,Term Monthly;TermDefined,30
QuantumBit Tokens Pack;Standard Price Book;QB-TOKENS-PACK;One-Time;USD,USD,true,false,QuantumBit Tokens Pack,Standard Price Book;true,QB-TOKENS-PACK,One-Time;OneTime,100
Resolutions;Standard Price Book;RESO;Term Annual;USD,USD,true,false,Resolutions,Standard Price Book;true,RESO,Term Annual;TermDefined,360
Resolutions;Standard Price Book;RESO;Term Monthly;USD,USD,true,false,Resolutions,Standard Price Book;true,RESO,Term Monthly;TermDefined,30
Services Project;Standard Price Book;QB-BDL-SRVC;One-Time;USD,USD,true,false,Services Project,Standard Price Book;true,QB-BDL-SRVC,One-Time;OneTime,0
Silver Hardware Maintenance;Standard Price Book;QB-SUPP-1000;Term Annual;USD,USD,true,false,Silver Hardware Maintenance,Standard Price Book;true,QB-SUPP-1000,Term Annual;TermDefined,25000
SMS Sent/Received AU;Standard Price Book;SMSAU;Term Annual;USD,USD,true,false,SMS Sent/Received AU,Standard Price Book;true,SMSAU,Term Annual;TermDefined,0
SMS Sent/Received AU;Standard Price Book;SMSAU;Term Monthly;USD,USD,true,false,SMS Sent/Received AU,Standard Price Book;true,SMSAU,Term Monthly;TermDefined,0
SMS Sent/Received CA;Standard Price Book;SMSCA;Term Annual;USD,USD,true,false,SMS Sent/Received CA,Standard Price Book;true,SMSCA,Term Annual;TermDefined,0
SMS Sent/Received CA;Standard Price Book;SMSCA;Term Monthly;USD,USD,true,false,SMS Sent/Received CA,Standard Price Book;true,SMSCA,Term Monthly;TermDefined,0
SMS Sent/Received UK;Standard Price Book;SMSUK;Term Annual;USD,USD,true,false,SMS Sent/Received UK,Standard Price Book;true,SMSUK,Term Annual;TermDefined,0
SMS Sent/Received UK;Standard Price Book;SMSUK;Term Monthly;USD,USD,true,false,SMS Sent/Received UK,Standard Price Book;true,SMSUK,Term Monthly;TermDefined,0
SMS Sent/Received US;Standard Price Book;SMSUS;Term Annual;USD,USD,true,false,SMS Sent/Received US,Standard Price Book;true,SMSUS,Term Annual;TermDefined,0
SMS Sent/Received US;Standard Price Book;SMSUS;Term Monthly;USD,USD,true,false,SMS Sent/Received US,Standard Price Book;true,SMSUS,Term Monthly;TermDefined,0
Software Maintenance;Standard Price Book;QB-SUPP-2000;Term Annual;USD,USD,true,true,Software Maintenance,Standard Price Book;true,QB-SUPP-2000,Term Annual;TermDefined,0
Solutions Architect;Standard Price Book;QB-SRV-SAT;One-Time;USD,USD,true,false,Solutions Architect,Standard Price Book;true,QB-SRV-SAT,One-Time;OneTime,500
