$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.$$Code$ParentProduct.StockKeepingUnit,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,Sequence,UnitOfMeasure.UnitCode
QB-FLO-STRT;QB-COMPLETE;QB-PCG-USAGE;Bundle to Bundle Component Relationship,QB-FLO-STRT,,BundleComponent,,false,false,false,true,,,QB-COMPLETE,Bundle,,QB-PCG-USAGE;QB-COMPLETE,Bundle to Bundle Component Relationship,5,,40,
QB-HD 1.2TB;QB-QRack-750;Hard Drives;Bundle to Bundle Component Relationship,QB-HD 1.2TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Hard Drives;QB-QRack-750,Bundle to Bundle Component Relationship,1,,5,
QB-HD 1TB;QB-BDL-R750;PCG-QB-SRV-HDD;Bundle to Bundle Component Relationship,QB-HD 1TB,,BundleComponent,,true,false,true,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-HDD;QB-BDL-R750,Bundle to Bundle Component Relationship,1,Proportional,1,
QB-HD 1TB;QB-QRack-750;Hard Drives;Bundle to Bundle Component Relationship,QB-HD 1TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Hard Drives;QB-QRack-750,Bundle to Bundle Component Relationship,1,,1,
QB-HD 20TB;QB-QRack-750;Hard Drives;Bundle to Bundle Component Relationship,QB-HD 20TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Hard Drives;QB-QRack-750,Bundle to Bundle Component Relationship,1,,4,
QB-HD 3TB;QB-QRack-750;Hard Drives;Bundle to Bundle Component Relationship,QB-HD 3TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Hard Drives;QB-QRack-750,Bundle to Bundle Component Relationship,1,,6,
QB-HD 4TB;QB-BDL-R750;PCG-QB-SRV-HDD;Bundle to Bundle Component Relationship,QB-HD 4TB,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-HDD;QB-BDL-R750,Bundle to Bundle Component Relationship,1,Proportional,2,
QB-HD 4TB;QB-QRack-750;Hard Drives;Bundle to Bundle Component Relationship,QB-HD 4TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Hard Drives;QB-QRack-750,Bundle to Bundle Component Relationship,1,,2,
QB-HD 8TB;QB-BDL-R750;PCG-QB-SRV-HDD;Bundle to Bundle Component Relationship,QB-HD 8TB,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-HDD;QB-BDL-R750,Bundle to Bundle Component Relationship,1,Proportional,3,
QB-HD 8TB;QB-QRack-750;Hard Drives;Bundle to Bundle Component Relationship,QB-HD 8TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Hard Drives;QB-QRack-750,Bundle to Bundle Component Relationship,1,,3,
QB-HD 8TBSE;QB-BDL-R750;PCG-QB-SRV-HDD;Bundle to Bundle Component Relationship,QB-HD 8TBSE,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-HDD;QB-BDL-R750,Bundle to Bundle Component Relationship,1,Proportional,4,
QB-INTEL E5-2609;QB-BDL-R750;PCG-QB-SRV-CPU;Bundle to Bundle Component Relationship,QB-INTEL E5-2609,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-CPU;QB-BDL-R750,Bundle to Bundle Component Relationship,1,Proportional,2,
QB-INTEL E5-2660;QB-BDL-R750;PCG-QB-SRV-CPU;Bundle to Bundle Component Relationship,QB-INTEL E5-2660,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-CPU;QB-BDL-R750,Bundle to Bundle Component Relationship,1,Proportional,3,
QB-INTEL E5-2667;QB-BDL-R750;PCG-QB-SRV-CPU;Bundle to Bundle Component Relationship,QB-INTEL E5-2667,,BundleComponent,,true,false,true,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-CPU;QB-BDL-R750,Bundle to Bundle Component Relationship,1,Proportional,1,
QB-INTEL E5-2683;QB-BDL-R750;PCG-QB-SRV-CPU;Bundle to Bundle Component Relationship,QB-INTEL E5-2683,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-CPU;QB-BDL-R750,Bundle to Bundle Component Relationship,1,Proportional,4,
QB-INTEL-GOLD-5318N;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-GOLD-5318N,,BundleComponent,,false,false,true,true,2,,QB-QRack-750,Bundle,,Processor;QB-QRack-750,Bundle to Bundle Component Relationship,1,,2,EACH
QB-INTEL-GOLD-6330N;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-GOLD-6330N,,BundleComponent,,false,false,false,true,2,,QB-QRack-750,Bundle,,Processor;QB-QRack-750,Bundle to Bundle Component Relationship,1,,3,EACH
QB-INTEL-GOLD-6354;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-GOLD-6354,,BundleComponent,,false,false,false,true,2,,QB-QRack-750,Bundle,,Processor;QB-QRack-750,Bundle to Bundle Component Relationship,1,,1,EACH
QB-INTEL-PLAT-8352M;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-PLAT-8352M,,BundleComponent,,false,false,false,true,2,,QB-QRack-750,Bundle,,Processor;QB-QRack-750,Bundle to Bundle Component Relationship,1,,5,EACH
QB-INTEL-PLAT-8352Y;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-PLAT-8352Y,,BundleComponent,,false,false,false,true,2,,QB-QRack-750,Bundle,,Processor;QB-QRack-750,Bundle to Bundle Component Relationship,1,,4,EACH
QB-INTEL-PLAT-8360Y;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-PLAT-8360Y,,BundleComponent,,false,false,false,true,2,,QB-QRack-750,Bundle,,Processor;QB-QRack-750,Bundle to Bundle Component Relationship,1,,6,EACH
QB-INTEL-PLAT-8368;QB-QRack-750;Processor;Bundle to Bundle Component Relationship,QB-INTEL-PLAT-8368,,BundleComponent,,false,false,false,true,2,,QB-QRack-750,Bundle,,Processor;QB-QRack-750,Bundle to Bundle Component Relationship,1,,7,EACH
QB-LIQUIDCOOL;QB-QRack-750;Cooling;Bundle to Bundle Component Relationship,QB-LIQUIDCOOL,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Cooling;QB-QRack-750,Bundle to Bundle Component Relationship,1,,2,
QB-MEM 128GB;QB-QRack-750;Memory;Bundle to Bundle Component Relationship,QB-MEM 128GB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Memory;QB-QRack-750,Bundle to Bundle Component Relationship,1,,5,
QB-MEM 16GB;QB-BDL-R750;PCG-QB-SRV-RAM;Bundle to Bundle Component Relationship,QB-MEM 16GB,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-RAM;QB-BDL-R750,Bundle to Bundle Component Relationship,1,Proportional,2,
QB-MEM 16GB;QB-QRack-750;Memory;Bundle to Bundle Component Relationship,QB-MEM 16GB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Memory;QB-QRack-750,Bundle to Bundle Component Relationship,1,,2,
QB-MEM 32GB;QB-BDL-R750;PCG-QB-SRV-RAM;Bundle to Bundle Component Relationship,QB-MEM 32GB,,BundleComponent,,true,false,false,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-RAM;QB-BDL-R750,Bundle to Bundle Component Relationship,1,Proportional,3,
QB-MEM 32GB;QB-QRack-750;Memory;Bundle to Bundle Component Relationship,QB-MEM 32GB,,BundleComponent,,false,false,true,true,,,QB-QRack-750,Bundle,,Memory;QB-QRack-750,Bundle to Bundle Component Relationship,1,,3,
QB-MEM 64GB;QB-QRack-750;Memory;Bundle to Bundle Component Relationship,QB-MEM 64GB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Memory;QB-QRack-750,Bundle to Bundle Component Relationship,1,,4,
QB-MEM 8GB;QB-BDL-R750;PCG-QB-SRV-RAM;Bundle to Bundle Component Relationship,QB-MEM 8GB,,BundleComponent,,true,false,true,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-RAM;QB-BDL-R750,Bundle to Bundle Component Relationship,1,Proportional,1,
QB-MEM 8GB;QB-QRack-750;Memory;Bundle to Bundle Component Relationship,QB-MEM 8GB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Memory;QB-QRack-750,Bundle to Bundle Component Relationship,1,,1,
QB-MSG-STRT;QB-COMPLETE;QB-PCG-USAGE;Bundle to Bundle Component Relationship,QB-MSG-STRT,,BundleComponent,,false,false,false,true,,,QB-COMPLETE,Bundle,,QB-PCG-USAGE;QB-COMPLETE,Bundle to Bundle Component Relationship,5,,30,
QB-NET X710;QB-BDL-R750;PCG-QB-SRV-NIC;Bundle to Bundle Component Relationship,QB-NET X710,,BundleComponent,,true,false,true,false,,,QB-BDL-R750,Bundle,,PCG-QB-SRV-NIC;QB-BDL-R750,Bundle to Bundle Component Relationship,1,Proportional,1,
QB-NET-100G-ULTRA;QB-QRack-750;Networking;Bundle to Bundle Component Relationship,QB-NET-100G-ULTRA,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Networking;QB-QRack-750,Bundle to Bundle Component Relationship,1,,3,
QB-NET-10G;QB-QRack-750;Networking;Bundle to Bundle Component Relationship,QB-NET-10G,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Networking;QB-QRack-750,Bundle to Bundle Component Relationship,1,,1,
QB-NET-25G;QB-QRack-750;Networking;Bundle to Bundle Component Relationship,QB-NET-25G,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Networking;QB-QRack-750,Bundle to Bundle Component Relationship,1,,2,
QB-NETSECURE-10G;QB-QRack-750;Networking;Bundle to Bundle Component Relationship,QB-NETSECURE-10G,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Networking;QB-QRack-750,Bundle to Bundle Component Relationship,1,,4,
QB-NovaX150;QB-QRack-750;GPUs;Bundle to Bundle Component Relationship,QB-NovaX150,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,GPUs;QB-QRack-750,Bundle to Bundle Component Relationship,1,,1,
QB-NVExpand-200;QB-QRack-750;I/O;Bundle to Bundle Component Relationship,QB-NVExpand-200,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,I/O;QB-QRack-750,Bundle to Bundle Component Relationship,1,,2,
QB-PWRCORE-1600S;QB-QRack-750;Power Supply;Bundle to Bundle Component Relationship,QB-PWRCORE-1600S,,BundleComponent,,false,false,false,false,,,QB-QRack-750,Bundle,,Power Supply;QB-QRack-750,Bundle to Bundle Component Relationship,1,Proportional,3,
QB-PWRCORE-500S;QB-QRack-750;Power Supply;Bundle to Bundle Component Relationship,QB-PWRCORE-500S,,BundleComponent,,false,false,false,false,,,QB-QRack-750,Bundle,,Power Supply;QB-QRack-750,Bundle to Bundle Component Relationship,1,Proportional,1,
QB-PWRCORE-800S;QB-QRack-750;Power Supply;Bundle to Bundle Component Relationship,QB-PWRCORE-800S,,BundleComponent,,false,false,false,false,,,QB-QRack-750,Bundle,,Power Supply;QB-QRack-750,Bundle to Bundle Component Relationship,1,Proportional,2,
QB-PWRSAFE-1000D;QB-QRack-750;Power Supply;Bundle to Bundle Component Relationship,QB-PWRSAFE-1000D,,BundleComponent,,false,false,false,false,,,QB-QRack-750,Bundle,,Power Supply;QB-QRack-750,Bundle to Bundle Component Relationship,1,Proportional,5,
QB-PWRSAFE-2000D;QB-QRack-750;Power Supply;Bundle to Bundle Component Relationship,QB-PWRSAFE-2000D,,BundleComponent,,false,false,true,false,,,QB-QRack-750,Bundle,,Power Supply;QB-QRack-750,Bundle to Bundle Component Relationship,1,Proportional,6,
QB-PWRSAFE-600D;QB-QRack-750;Power Supply;Bundle to Bundle Component Relationship,QB-PWRSAFE-600D,,BundleComponent,,false,false,false,false,,,QB-QRack-750,Bundle,,Power Supply;QB-QRack-750,Bundle to Bundle Component Relationship,1,Proportional,4,
QB-RAID-500;QB-QRack-750;I/O;Bundle to Bundle Component Relationship,QB-RAID-500,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,I/O;QB-QRack-750,Bundle to Bundle Component Relationship,1,,1,
QB-SRV-DNE;QB-BDL-SRVC;PCG-QB-PS-ENGRESOURCES;Bundle to Bundle Component Relationship,QB-SRV-DNE,,BundleComponent,,false,false,false,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-ENGRESOURCES;QB-BDL-SRVC,Bundle to Bundle Component Relationship,8,,2,
QB-SRV-IMP;QB-BDL-SRVC;PCG-QB-PS-ENGRESOURCES;Bundle to Bundle Component Relationship,QB-SRV-IMP,,BundleComponent,,false,false,false,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-ENGRESOURCES;QB-BDL-SRVC,Bundle to Bundle Component Relationship,8,,1,
QB-SRV-ISE;QB-BDL-SRVC;PCG-QB-PS-ENGRESOURCES;Bundle to Bundle Component Relationship,QB-SRV-ISE,,BundleComponent,,false,false,false,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-ENGRESOURCES;QB-BDL-SRVC,Bundle to Bundle Component Relationship,8,,5,
QB-SRV-MEE;QB-BDL-SRVC;PCG-QB-PS-ENGRESOURCES;Bundle to Bundle Component Relationship,QB-SRV-MEE,,BundleComponent,,false,false,false,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-ENGRESOURCES;QB-BDL-SRVC,Bundle to Bundle Component Relationship,8,,3,
QB-SRV-OG-PSH;QB-COMPLETE;PCG-QB-SERVICES;Bundle to Bundle Component Relationship,QB-SRV-OG-PSH,,BundleComponent,,false,false,true,true,,,QB-COMPLETE,Bundle,,PCG-QB-SERVICES;QB-COMPLETE,Bundle to Bundle Component Relationship,250,,10,
QB-SRV-PD;QB-BDL-SRVC;PCG-QB-PS-PM;Bundle to Bundle Component Relationship,QB-SRV-PD,,BundleComponent,,false,false,false,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-PM;QB-BDL-SRVC,Bundle to Bundle Component Relationship,8,,1,
QB-SRV-PMN;QB-BDL-SRVC;PCG-QB-PS-PM;Bundle to Bundle Component Relationship,QB-SRV-PMN,,BundleComponent,,false,true,true,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-PM;QB-BDL-SRVC,Bundle to Bundle Component Relationship,8,,2,
QB-SRV-PRM-SP;IC-50;Bundle to Bundle Component Relationship,QB-SRV-PRM-SP,,BundleComponent,,false,false,false,true,,,IC-50,Bundle,,IC-50,Bundle to Bundle Component Relationship,1,,,
QB-SRV-QAE;QB-BDL-SRVC;PCG-QB-PS-ENGRESOURCES;Bundle to Bundle Component Relationship,QB-SRV-QAE,,BundleComponent,,false,false,false,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-ENGRESOURCES;QB-BDL-SRVC,Bundle to Bundle Component Relationship,8,,4,
QB-SRV-SAT;QB-BDL-SRVC;PCG-QB-PS-SA;Bundle to Bundle Component Relationship,QB-SRV-SAT,,BundleComponent,,false,false,true,true,,,QB-BDL-SRVC,Bundle,,PCG-QB-PS-SA;QB-BDL-SRVC,Bundle to Bundle Component Relationship,8,,1,
QB-SRV-SOW;IC-50;Bundle to Bundle Component Relationship,QB-SRV-SOW,,BundleComponent,,false,false,false,false,,,IC-50,Bundle,,IC-50,Bundle to Bundle Component Relationship,1,,,
QB-SRV-SOW;QB-COMPLETE;PCG-QB-SERVICES;Bundle to Bundle Component Relationship,QB-SRV-SOW,,BundleComponent,,true,false,false,false,,,QB-COMPLETE,Bundle,,PCG-QB-SERVICES;QB-COMPLETE,Bundle to Bundle Component Relationship,1,Proportional,20,
QB-SSD 16TB;QB-QRack-750;Solid State Drives;Bundle to Bundle Component Relationship,QB-SSD 16TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Solid State Drives;QB-QRack-750,Bundle to Bundle Component Relationship,1,,4,
QB-SSD 2TB;QB-QRack-750;Solid State Drives;Bundle to Bundle Component Relationship,QB-SSD 2TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Solid State Drives;QB-QRack-750,Bundle to Bundle Component Relationship,1,,1,
QB-SSD 30TB;QB-QRack-750;Solid State Drives;Bundle to Bundle Component Relationship,QB-SSD 30TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Solid State Drives;QB-QRack-750,Bundle to Bundle Component Relationship,1,,5,
QB-SSD 4TB;QB-QRack-750;Solid State Drives;Bundle to Bundle Component Relationship,QB-SSD 4TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Solid State Drives;QB-QRack-750,Bundle to Bundle Component Relationship,1,,2,
QB-SSD 8TB;QB-QRack-750;Solid State Drives;Bundle to Bundle Component Relationship,QB-SSD 8TB,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,Solid State Drives;QB-QRack-750,Bundle to Bundle Component Relationship,1,,3,
QB-SUPP-1000;QB-BDL-STND;PCG-QBSTARTER-MAINT;Bundle to Bundle Component Relationship,QB-SUPP-1000,,BundleComponent,,false,false,true,false,,,QB-BDL-STND,Bundle,,PCG-QBSTARTER-MAINT;QB-BDL-STND,Bundle to Bundle Component Relationship,1,Proportional,20,
QB-SUPP-1005;QB-BDL-STND;PCG-QBSTARTER-MAINT;Bundle to Bundle Component Relationship,QB-SUPP-1005,,BundleComponent,,false,false,false,false,,,QB-BDL-STND,Bundle,,PCG-QBSTARTER-MAINT;QB-BDL-STND,Bundle to Bundle Component Relationship,1,Proportional,10,
QB-SUPP-2000;QB-COMPLETE;PCG-QB-MAINT;Bundle to Bundle Component Relationship,QB-SUPP-2000,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,PCG-QB-MAINT;QB-COMPLETE,Bundle to Bundle Component Relationship,1,Constant,40,
QB-TRN-ESSNTLS;QB-BDL-STND;PCG-QBSTARTER-TRAINING;Bundle to Bundle Component Relationship,QB-TRN-ESSNTLS,,BundleComponent,,false,false,true,false,,,QB-BDL-STND,Bundle,,PCG-QBSTARTER-TRAINING;QB-BDL-STND,Bundle to Bundle Component Relationship,1,Proportional,20,
QB-TRN-ESSNTLS;QB-COMPLETE;PCG-QB-TRAINING;Bundle to Bundle Component Relationship,QB-TRN-ESSNTLS,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,PCG-QB-TRAINING;QB-COMPLETE,Bundle to Bundle Component Relationship,1,Proportional,10,
QB-TRN-FUND;QB-BDL-STND;PCG-QBSTARTER-TRAINING;Bundle to Bundle Component Relationship,QB-TRN-FUND,,BundleComponent,,false,false,false,false,,,QB-BDL-STND,Bundle,,PCG-QBSTARTER-TRAINING;QB-BDL-STND,Bundle to Bundle Component Relationship,1,Proportional,10,
QB-TRN-FUND;QB-COMPLETE;PCG-QB-TRAINING;Bundle to Bundle Component Relationship,QB-TRN-FUND,,BundleComponent,,false,false,false,false,,,QB-COMPLETE,Bundle,,PCG-QB-TRAINING;QB-COMPLETE,Bundle to Bundle Component Relationship,1,Proportional,20,
QB-VegaX200;QB-QRack-750;GPUs;Bundle to Bundle Component Relationship,QB-VegaX200,,BundleComponent,,false,false,false,true,,,QB-QRack-750,Bundle,,GPUs;QB-QRack-750,Bundle to Bundle Component Relationship,1,,2,
RESO;IC-50;Bundle to Bundle Component Relationship,RESO,,BundleComponent,,false,false,false,true,,,IC-50,Bundle,,IC-50,Bundle to Bundle Component Relationship,1,,,
SMSAU;IC-50;Bundle to Bundle Component Relationship,SMSAU,,BundleComponent,,false,false,true,true,,,IC-50,Bundle,,IC-50,Bundle to Bundle Component Relationship,1,,,
SMSCA;IC-50;Bundle to Bundle Component Relationship,SMSCA,,BundleComponent,,false,false,true,true,,,IC-50,Bundle,,IC-50,Bundle to Bundle Component Relationship,1,,,
SMSUK;IC-50;Bundle to Bundle Component Relationship,SMSUK,,BundleComponent,,false,false,true,true,,,IC-50,Bundle,,IC-50,Bundle to Bundle Component Relationship,1,,,
SMSUS;IC-50;Bundle to Bundle Component Relationship,SMSUS,,BundleComponent,,false,false,true,true,,,IC-50,Bundle,,IC-50,Bundle to Bundle Component Relationship,1,,,
