Name,ProductCode,StockKeepingUnit,UsageModelType
QB-PowerSafe 2000D,QB-PWRSAFE-2000D,QB-PWRSAFE-2000D,
QB-PowerSafe 600D,QB-PWRSAFE-600D,QB-PWRSAFE-600D,
QuantumBit Q-Rack 750,QB-QRack-750,QB-QRack-750,
QuantumBit Database (Quantity Commit),QB-QTY-CMT,QB-QTY-CMT,CommitmentQuantity
QB-RAIDForce 500,QB-RAID-500,QB-RAID-500,
Red Hat Enterprise Linux,QB-REDHAT,QB-REDHAT,
"QuantumBit Advisory Services, CSM Premium",QB-SRV-AS,QB-SRV-AS,
Data Normalization Expert,QB-SRV-DNE,QB-SRV-DNE,
Implementation Engineer,QB-SRV-IMP,QB-SRV-IMP,
Integration Specialist Engineer,QB-SRV-ISE,QB-SRV-ISE,
Module Extension Engineer,QB-SRV-MEE,QB-SRV-MEE,
Professional Services - Associate Consultant Daily Rate,QB-SRV-OG-AC-PSH,QB-SRV-OG-AC-PSH,
Professional Services - Project Management Daily Rate,QB-SRV-OG-PM-PSH,QB-SRV-OG-PM-PSH,
Professional Services Daily Rate,QB-SRV-OG-PSH,QB-SRV-OG-PSH,
Professional Service Hours (Consumption),QB-SRV-OG-PSHC,QB-SRV-OG-PSHC,
Program Director,QB-SRV-PD,QB-SRV-PD,
Project Manager,QB-SRV-PMN,QB-SRV-PMN,
Premium Success Plan,QB-SRV-PRM-SP,QB-SRV-PRM-SP,
Quality Assurance Engineer,QB-SRV-QAE,QB-SRV-QAE,
Quick Start Enablement,QB-SRV-QSE,QB-SRV-QSE,
Solutions Architect,QB-SRV-SAT,QB-SRV-SAT,
Professional Services Scope of Work,QB-SRV-SOW,QB-SRV-SOW,
Q-Drive NVX 16TB,QB-SSD 16TB,QB-SSD 16TB,
Q-Drive NVX 2TB,QB-SSD 2TB,QB-SSD 2TB,
Q-Drive NVX Ultra 30TB,QB-SSD 30TB,QB-SSD 30TB,
Q-Drive NVX 4TB,QB-SSD 4TB,QB-SSD 4TB,
Q-Drive NVX 8TB,QB-SSD 8TB,QB-SSD 8TB,
Standard Success Plan,QB-STD-SP,QB-STD-SP,
Silver Hardware Maintenance,QB-SUPP-1000,QB-SUPP-1000,
Gold Hardware Maintenance,QB-SUPP-1005,QB-SUPP-1005,
Software Maintenance,QB-SUPP-2000,QB-SUPP-2000,
Quantum Tokens Definition,QB-TOKEN-DEF,QB-TOKEN-DEF,
QuantumBit Tokens Pack,QB-TOKENS-PACK,QB-TOKENS-PACK,Pack
QuantumBit Essentials Training,QB-TRN-ESSNTLS,QB-TRN-ESSNTLS,
QuantumBit Fundamentals Training,QB-TRN-FUND,QB-TRN-FUND,
QB-Accel VegaX200,QB-VegaX200,QB-VegaX200,
vSphere Desktop,QB-VMW-D,QB-VMW-D,
vSphere Enterprise,QB-VMW-E,QB-VMW-E,
vSphere Standard,QB-VMW-S,QB-VMW-S,
USD Resource Definition Product,RES-USD-DEF,RES-USD-DEF,
QuantumBit Subscription,TEST-SUB,TEST-SUB,
